description,name
Join a group of volunteer travellers on a Cape York Turtle Rescue camp in the Aboriginal community of Mapoon on Cape York Peninsula Queensland Australia.,Cape York Turtle Rescue
"Tata Medical Center (TMC) is a philanthropic initiative from the House of Tata. Its mission is to promote Prevention, Early Diagnosis, Treatment, Rehabilitation and Palliation for cancer patients.",Tata Medical Center (TMC)
Cricketing holiday offering cricket fans opportunities to give something back to local communities by mixing cricket tours  watching cricket games with voluntary work on development projects in the host country,Crickaid
We provide volunteers for work with charities and development organisations worldwide.,Intervol
A unique non-profit organization established to provide communities around the world with a chance to restore cultural artifacts that are in danger of extinction.,Cultural Restoration Tourism Project
"Activities / Volunteer Work: The activities that we would like to offer all our volunteers are as follows: Community, Conservation, Work With Animals, Other Activities",Elephant Whispers Volunteer Program (EWVP)
Ticket to Ride is a small and personal organisation with a unique approach to travelling experiences - focusing on surf coaching that delivers results and responsible travel that puts something back into local communities.,Ticket to Ride
"Reach supports voluntary organisations by helping them secure high-quality business, management, technical and other professional expertise on a voluntary basis.",Reach
Whale Watch Azores offers people from all walks of life a relaxing whale and dolphin watching holiday that can make a real difference to the environment. ,Whale Watch Azores
"We promote worldwide short term and long term voluntary service to impact social, environmental and humanitarian issues.",SCI International Voluntary Service USA
Volunteer San Diego creates lasting community impact through meaningful individual and group volunteer action.,Volunteer San Diego
"Your commitment, time and skills can all play a vital part in improving the lives of deaf people. We are dependent on the public’s generosity – time and money – to enable us to carry out our work.",Sign Health
Teaching Program in China,AITECE
"The Center for Creative Activities is a nonprofit organization, founded in 1986. Get involved, create a better future peacefully, worldwide",The Center for Creative Activities
VOLUNTEERING - CHICKS volunteers come from all walks of life and volunteering is a fun and rewarding experience which stays with you forever.,VOLUNTEERING - CHICKS
Over The Wall is a very special place for children who are affected by serious or life limiting illnesses. It is the only residential camp in the UK structured on Paul Newman's renowned Hole in the Wall Gang camp.,Over The Wall
"Yangrima began to receive GAP volunteers in 1989. By 1991, pairs of volunteers were being sent, changing approximately every four months. ",Yangrima Boarding School
"NetWorks is a Romanian Christian Charity based in Siria in the County of Arad, in northwest Romania. Volunteer or bring a team of volunteers, in this program you can join us for any period of at least two weeks or more",Networks
We?re The Smallpeice Trust - an independent charity providing exciting programmes to promote engineering careers to young people.,Small Peice Trust
"We work in remote rural areas of West Africa, partnering local organisations to find sustainable solutions.",Village Aid
"If you would like to do trekking in the Himalayas, white water rafting, a jungle safari in Chitwan National Park or explore Hindu temples and Buddhist stupas in Kathmandu as a part of your V0LUNTEERING",Best Volunteer Organization Nepal (BVO Nepal)
Anyone can become a Peru's Challenge volunteer. You don't have to have ever spoken a word of Spanish or worked with children to help these communities in the Andes and make a difference for the children there. ,Peru's Challenge
"The aim is to provide care and support, information and advice to African communities in order to reduce the spread of HIV/AIDS and improve their quality of life.",Innovative Vision Organisation
Pamoja Youth Foundation is a youth serving organisation based in Kenya Kibera slums that provides a platform where voice and workdone by young people continue thrive. ,Pamoja Youth Foundation
The Sri Lanka Wildlife Conservation Society (SLWCS) is the first organization established outside of Sri Lanka with the sole purpose to conserve the dwindling biodiversity of Sri Lanka.,Sri Lanka Wildlife Conservation Society (SLWCS)
"Wilderness Challenge operates short tours, accommodated safaris and camping safaris across the Tropical Savannahs and Rainforests of northern Australia ",Wilderness Challenge
"A Canadian membership-based non profit organization independent (organizationally and financially) from both the Nile Basin Initiative (NBI), and the Nile Basin Discourse  (NBD). ",The Nile Basin Society (NBS)
WWOOF Mexico is an information service linking travellers like you with organic farms in Mexico.  By joining WWOOF Mexico you get our listing of member farms where you can stay from a week to several months.,WWOOF Mexico
CSD Diaconia Valdese - Internship / Voluntary Service Opportunity. CSD Diaconia Valdese - Internship / Voluntary Service Opportunity 6-9 month full-time internship,Agape Centro Ecumenico
"Volunteers have always been vital element of Abbeyfield. Not only do they provide practical assistance to our residents, they also offer much needed companionship.",Abbeyfield
"By volunteering with us you will not only help to build valuable capacity, but you will, yourself, learn and grow. ",Life Builder India
Operation Wallacea is a series of biological and social science expedition projects that operate in remote locations across the world. ,Operation Wallacea
Two Way offer a support service to people looking for volunteering experiences worldwide.,Two Way Development
Volunteer in Taiwan,International Youth Cultural Exchange Taiwan
"Established in 1969 as a non-profit conservation organization, the Oceanic Society's primary mission is protect endangered wildlife and preserve threatened marine habitats worldwide. ",Oceanic Society
"A Non-Profit Organisation dedicated to help street children who are orphaned, abandoned, abused or those forced out of their homes due to the inability of their families to cater for their basic needs.",Gathiga Children's Hope Home
We believe that volunteers are essential to the strength of our health services and the vitality of our local communities.,Attend
To alleviate human suffering with medical /dental services in remote locations and provide relief in emergency or needy situations with the love of Christ.,Christian Emergency Relief Teams International
Emelela project is going to encourage and promote positive health and also establish sustainable caring programs.,Emelela
"City Year unites young people of all backgrounds for a year of full-time service, giving them skills and opportunities to change the world.",City Year
We are the government department responsible for the protection and expansion of Britain's forests and woodlands.,Forestry Commission
"Henshaws' charity supports blind and visually impaired people in the North of England. We give expert care, advice and training to anyone affected by sight loss, right where it's needed most.",Henshaws
"   Helping Honduras Kids seeks volunteers who have a burning desire, appropriate talents, and some background & experience to help make a positive difference in the lives of impoverished Honduran children.  ",Helping Honduras Kid
"We run a volunteer, internship and learning project in the Kruger National Park (Balule Nature Reserve, Limpopo province, South Africa). ",Campfire Safaris
Archaeolink are always looking for keen volunteers to help with reconstructions on site and become involved in living history demonstrations. ,Archaeolink
"   Aktion Sühnezeichen Friedensdienste, is a German peace and volunteer service organization founded in the aftermath of World War II to confront the legacy of the Nazi regime.  ",Aktion Sühnezeichen Friedensdienste (ASF)
"The ONLY AUTHENTIC BACKPACKER HOSTEL LOCATED IN DAVID CITY, PANAMA!   We often need additional help in running the hostel and maintaining our high standards of cleanliness and customer service.",Purple House Hostel
   VIBE (Volunteers and Interns for Balinese Education) Foundation is dedicated to providing educational opportunities for Indonesian children and adults.  ,VIBE (Volunteers and Interns for Balinese Education)
"An economic development project of Sister Communities of San Ramón, Nicaragua run by Nicaraguan staff",Finca Esperanza Verde (FEV)
Gamewatchers Safaris is a specialist tour operator for wildlife safaris and beach holidays in Africa and the Indian Ocean offering high quality at competitive prices.,Gamewatchers Safaris
   Our aim is to works with women and children to help them identify and resolve their own problems.   ,Community Aid International (CAIN)
Off Beat Safaris was established in 1989 and Off Beat game farm was purchased in 1996.  Programmes available include: - Gap Year Equestrian & Conservation Volunteer Focus - Wildlife Art Course,Off Beat Safaris
Be part of a volunteer work force,Heart to Honduras
   Plant trees/experience authentic culture with ethnic Mongolian nomadic families.   ,The Clean Environment
Niños de Guatemala was founded in 2006 so as to play a part in building a better future for Guatemala and its citizens. ,Niños de Guatemala
"The GEC and the APARE, propose three different types of voluntary service (both short- and long-term), in areas related to heritage preservation, sustainable development and the environment, in France and abroad. ",Apare-Gec
"We accept the volunteers from different parts of the world and place them in places where they can make the best use of their qualifications. We also offer them with adventures like Jungle Safari, trekking, etc.",Real Nepal
LA HESPERIA BIOLOGICAL  STATION - VOLUNTEERING IN ECUADOR - CLOUD FOREST,Volunteers Ecuador
Volunteers are the lifeblood of Springboard for Children. Springboard for Children offers opportunities to volunteer on a part-time basis or on our gap-year scheme. ,Spring Board
"East Africa aid organization that places self-funding volunteers in Ugandan clinics, schools, farms, etc. for short periods or six months.",United Children's Fund
Here you will find almost everything you need to know about the services we can provide and job opportunities. ,WILF WARD FAMILY TRUST
"For over 150 years Focus Birmingham have provided advice, support and care services to individuals with a visual impairment, physical and learning disabilities.",Focus Birmingham
"Jeunesse et Reconstruction est une association loi 1901, créée en 1948,  membre de CCSVI(UNESCO), de l'ALLIANCE, d'ICYE, et de COTRAVAUX ",Volontariat
One of o­nly two or three Christian moshavim (communal village) in the whole of Israel. Takes o­nly 12-15 volunteers a year from all feeder countries.,Nes Ammim 
"Safari holiday, camping and lodge safaris experts in Tanzania.",Kilimanjaro Tanzanite Safaris Ltd (KITASA)
"   As an international educational agency, ISL provides medical and educational teams of volunteers to provide services for the underserved populations of Central and South America, Mexico, and Africa.  ",International Service Learning (ISL)
Help educate anglo-indian children,The Batesman Trust
Merryweather’s Herbs is the creation and lifetime’s devotion of just two people – husband and wife partnership Ian and Liz O’Halloran. ,Merryweather’s Herbs
"An outdoor adventure school that promises challenging physical activities all across Costa Rica, with a focus on personal development, leadership, and cultural immersion. ",Costa Rica Rainforest Outward Bound School (CRROBS)
   DestIndia-Internships is the leading provider of International internships in India.   ,Destindia
"Connect-123 develops and administers semester study abroad programs, internships and other experiential learning opportunities in Cape Town, South Africa. ",Connect-123
"We focus our work on Haiti, where we support a medical clinic, a school and other projects. ",Healing Art Missions
"Crooked Trails is a non-profit, community-based travel organization helping people broaden their understanding of the planet and its diverse cultures",Crooked Trails
"In return for volunteer help, WWOOF hosts offer food, accommodation and opportunities to learn about organic lifestyles.",Willing Workers on Organic Farms
"Bonus Pastor Foundation gives help for those who suffer from alcohol-, drug- and other addictions, recovering people and their families combining social and psychological assistance with the sharing of the Gospel.",Bonus Pastor Foundation
"Protecting wildlife against poaching is the priority of the Mkhaya Game Reserve, located in Swaziland.",Rhino Rescue Project
"A charitable organization  set up to make a positive difference in the lives of underpriviledged children, young people with disabilities and the poor of Thailand.",Father Ray Foundation
A USIT Volunteer Programme isn't your typical backpacking adventure or city break...,USIT Ireland
We are a group of young people who make a commitment to share a house together for one year and to work with people in need in the community.,Vincentian Volunteers
"   Ubuntu Education Fund is founded on the philosophy of ubuntu, a universal bond of sharing that connects all of humanity.  ",Ubuntu Education Fund
The Mona Foundation's mission is to end the exploitation of primates in captivity. ,MONA-UK
Mothers Without Borders was formed in response to the global orphan crisis. ,Mothers Without Borders
Local area high school Key Clubs spent a recent rainy Saturday together volunteering at the Farm.  ,World Foundation for Children
The Zoological Society of London (ZSL) is a charity devoted to the worldwide conservation of animals and their habitats.,Zoological Society of London (ZSL)
"TeachAManToFish works to support schools and education programs in developing countries to offer a better quality, financially sustainable education to the most needy.",TeachAManToFish
"Tabitha  Foundation UK has been established to support Tabitha Cambodia,a non-profit organization which has been active in Cambodia since 1994.   ",Tabitha  Foundation UK
Volunteers are an integral and very important part of EdUKaid’s work; with out them all of our other projects would be impossible.,EdUKaid
"Blue World through its three programmes - scientific, education and conservation - carries out several projects aiming at obtaining information about the life of the endangered marine organisms",Blue World
We work with rural Kenyan communities to improve educational opportunities by providing and upgrading school buildings  and teaching materials.,Kenya Harambee Schools
Volunteering is often one of the best ways to help a charity to deliver on it's aims and objectives.,Himalayan Learning that education
Helps displaced communities in North India achieve a secure and sustainable future by addressing the root causes of their poverty and ill-health through a range of education and health-based projects. ,Tong-Len
Transform Africa is a UK registered charity committed to fighting poverty and social injustice in the region. Volunteer in Sierra Leone,Transform Africa
"32,000 young people are waiting to be Scouts so we need more volunteers in order for them to join. Are you the person we're looking for?",Scouts
"Feed The Children works with vulnerable children and their families in communities across the world, in situations of poverty, conflict and famine.",Feed The Children International
East Sussex Wildlife Rescue and Ambulance Service,East Sussex Wildlife Rescue and Ambulance Service
AMREF is bringing good quality and affordable health care closer to those who need it most - improving access to health treatment and preventing poor health through community education.,AMREF
"Relief International seeks enthusiastic, dedicated people to serve our beneficiaries and implement our programs worldwide. ",Relief International
"HelpAge International has been working since 1983 to improve the lives of disadvantaged older people, through a global network that today spans more than 70 affiliate organisations in 50 countries.",HelpAge
"The Kindu Trust stengthens vulnerable families affected by poverty by making them financially secure, which in turn prevents children drifting on to the streets.",The Kindu Trust
"The Dominica UK Association, DUKA was established in 1976 following a merger of two small Dominican groups operating in East London.","Dominica UK Association, DUKA"
"Volunteering England (VE) is a charity. We are the national volunteering development agency for England, committed to supporting, enabling and celebrating volunteering in all its diversity.",Volunteering England (VE)
We are a production company specialising in films for Charities and humanitarian Non-Governmental Organisations.,Trojan Horse Productions
"Global cultural Exchange, is a youths, Students, and Adults travel Organization in the Gambia",Gambia Cultural Exchanges
"   We host volunteers worldwide in Arusha Tanzania. We provide for the accommodation, food, Transport and we find for them placement where they can volunteer.Volunteers are taken good care by our staff through out there stay in Arusha.  ",Kilimanjaro Volunteers Exposure (KVE)
"The Forest is a volunteer-run, self-funded, independent, not-for-profit arts space located in the centre of Edinburgh.",The Forest
Our current strategy is to work in partnership with local civil society organisations in Sub-Saharan Africa and Asia which build the self-esteem of children and young people,International Childcare Trust
"Find Your Feet works with vulnerable families living in rural India and Malawi to build a future free from hunger, poverty and discrimination. ",Find Your Feet
"To minister in the name of Jesus Christ to the physical, mental, social of individuals and communities disadvantaged by leprosy, working with them to uphold human dignity and eradicate leprosy.",The Leprosy Mission
Volunteer programme to help save the rare Asian ape,Orangutan Foundation
There are opportunities for a limited number of office-based interns and volunteers to make a significant impact on the health and social well being of vulnerable groups in the former Soviet Union. ,Healthprom
"Supported by both individual and corporate donors, with all of the money going to fund specific street children projects such as New Generation in Burundi and Umthombo in South Africa.",Street Action
Residential archaeological digs,Archeolo-j
"This open enrollment for the volunteer program in Cusco, Peru.",Cooperateperu
We are always looking for passionate individuals looking to volunteer their time or skills.  ,United Through Sport
Volunteers who wish to teach English and spend quality time with the children are more than welcome.,Child Action Nepal
"A non-governmental, charitable organization based in Quito-Ecuador established to help the most underprivileged members of society in the country",Morning Star Foundation Ecuador
This project is geared towards supporting the management and development of indigenous social organizations,Malta Maky
"Rejoice Charity is a grassroots HIV project based in Chiang Mai province, Northern Thailand, near the foot of the famous Doi Suthep Mountain and temple. ",Rejoice Thailand
Volunteers from all walks of life are welcome at Happy Nairobi Kids. ,Happy Nairobi Kids
"Provides proper nutrition to the homebound elderly, which in turn helps them maintain their independence, health and dignity. Provides meals to more than 1,500 San Francisco seniors each day.",Meals on Wheels San Francisco 
"Depaul UK helps young people who are homeless, vulnerable and disadvantaged.",Depaul UK
Take a career break,Careerbreak
"Promotes access and participation of African people in the uptake and delivery of health, education and other social welfare services through the provision of resources, information, advice, training and support. ",Africa Advocacy Foundation
"Kaloko Trust is a UK-based charity which works to relieve poverty and raise livelihoods in rural communities in Zambia, southern Africa.",Kaloko Trust
"Valley and Vale Community Arts, using creativity to release potential and change lives.",Valley and Vale Community Arts
Seeks to provide an alternative education for pupils aged between thirteen and sixteen who are at risk of social or educational exclusion and who are unable to adapt to a formal school environment.,The London Boxing Academy Community Project (LBA)
"Tropical Adventures provides volunteer tour packages for individuals, families and groups interested in exploring the culture, language and natural beauty of Costa Rica.",Tropical Adventures
"Venture Scotland runs an outdoor-based personal development programme for young people aged 16-30, who face complex and difficult problems. ",Venture Scotland
"Everyday Joy, Inc. celebrates the unique qualities and culture of each child, affirming and increasing their feelings of self-worth",Everyday Joy
"Big Hand is WJR's brand new community volunteer programme. It's flexible, accessible and is asking very little.",World Jewish Relief
"The only charity in the Kurdistan Region in Iraq dedicated to improving people's lives through sport, by providing them with facilities and coaching and by promoting sport for all people from all backgrounds.",Salah Rahman Sports Foundation
Western Province Organic Growers' Alliance of Kenya/The Move against poverty organization,WEPOGA
"Provide all young people, regardless of their ability and background, an opportunity to nurture and realise their enterprise and financial capability as well as develop general business and economic understanding.",Young Enterprise Programmes
"Chest, Heart & Stroke Scotland (CHSS) is one of Scotland's leading medical charities.","Chest, Heart & Stroke Scotland (CHSS)"
"We specialise in Gap Years, Career Breaks and tailor made adventures in South Africa, ranging from shoe string backpacking to luxury travel for the more discerning traveller.",Pepper
"Our Community Intern program offers people a chance to live at Koinonia for 3-4 months, go through orientation together, have spiritual and work mentors, and participate in the life of the community.",Koinonia Partners
"Our Nepal Volunteer expeditions programs are completely tailor-made to your requirements. We offer a wide range of activities and experiences that combine physical, intellectual, social and environmental challenges.",Experience Real Nepal
"LIGA International (The Flying Doctors of Mercy) is a non-profit organization that provides free health care and education to the people of Sinaloa Mexico, since 1934.",LIGA International (The Flying Doctors of Mercy)
Discover the best of Peru's nature and archaeology with InkaNatura Travel. ,InkaNatura Travel
"Cadif is local community based organization that duly registered under ministry of home affairs and cultural service as cadif child support project, registration no. S/H no. 13019 with the government of Kenya.",Volunter Placement and Orphan sponsership
"The Gazelle Trust provides essential financial and material assistance, in terms of education, shelter and healthcare, to orphans and vulnerable children in developing countries. ",Gazelle Trust
GOAL ensures that the poorest of the poor and the most vulnerable in our world and those affected by humanitarian crises have access to the fundamental needs and rights of life.,GOAL
"Waterway Recovery Group is a voluntary organisation, helping to restore derelict canals in Britain.",The Waterway Recovery Group
"A Christian led charity, providing practical help and financial support for charitable, educational and medical projects - helping Romanians to alleviate poverty and develop their own charitable sector",Romania Care
Down2Earth International is an international non-profit organisation which works with a range of partners to develop sustainable solutions to issues of social injustice and environmental degradation.,Down2Earth International
"Nicaragua Volunteer Homestay Hosts.  Come spend a few days, a few weeks, or more experiencing pioneer existence as a guest or volunteer in the wilds of beautiful Nicaragua.",Nicaragua Volunteer Homestay Hosts
Rooted in Christ Ministries was founded to help the searching soul find God and to encourage and  strengthen those who have found Him to grow deeper roots in Jesus Christ.,Rooted In Christ Ministries
"is working to help and provide for poor, needy, destitute, disabled and underprivileged esp. children, women and old, the most vulnerable of Gwalior and Chambal region",Gwalior Childrens' Hospital
The African Biodiversity Network strives to ignite and nurture a growing network of change agents working passionately at all levels,The African Biodiversity Network
"A Charity in Africa, Working in Malawi.  If you are enthusiastic, hard-working, self-motivated and proactive, and are able to work under your own initiative, then our volunteer programme might be for you.",Ripple Africa
Humanitarian Dental Relief Organization,DDS4KIDS
"In more than 12 years, the organisation has grown. It now also operates a school, a mobile hospital, runs rural health services for young and old, provides health education and much more. ",Help Children of India
"Africa’s wilderness areas and the wildlife they sustain are precious, but endangered resources.",Africa Foundation
"We  are a Christian mission called by God to serve Nepali people. We are involved in health and development work with Nepal’s government, non-government organisations and local communities. ",International Nepal Fellowship (INF)
The Wildlife Trust of South and West Wales is one of 47 Wildlife Trusts across the UK. ,Welsh Wildlife
"A community-based, charitable organisation that focuses on  the promotion, observance and protection of the rights of children especially the poorest and most vulnerable children in Africa.",CALM Africa
"Fisher's Travel SOS is a unique guide for tourists and business travellers that focuses on providing emergency and critical contact information within a country, destination by destination.",Fisher's Travel SOS
"BGCI is working to protect the world’s medicinal plants, particularly in Southeast Asia, where Traditional Chinese Medicine is the primary healthcare.",Botanic Gardens Conservation International
Donkey Welfare of Namibia has been set up to help the over two hundred thousand donkeys in Namibia. ,Donkey Welfare of Namibia
Ghana's  Homestay / Volunteer Placement Centre,Ready Foundation
U.K.-based charity works with special needs children at two centers in Peru,Kiya Survivors
"CWAF is a UK registered charity that runs the Mvog-Betsi zoo and Mefou National Park in Cameroon, in conjunction with the Cameroon government. ",Cameroon Wildlife Aid Fund (CWAF)
The Busoga Trust is a Christian charity that installs clean water sources in central and eastern Uganda.,The Busoga Trust
"Founded in 1994, we specialise in privately guided journeys throughout Indochina. ",Buffalo Tours
Sends volunteers to help in the Kibera slum in Kenya.,Kibera UK
International Federation of Terre des Hommes works in collaboration with the relevant bodies in the UN system to promote and implement the rights of the child. ,Terre des Hommes
Volunteer in an Oxfam shop : In our online shop :  In an Oxfam office : At an event : As an intern : As a festival steward.  We'll convert your precious time into lifesaving work around the world.,Oxfam
"Whether we are providing technical assistance to start-up organizations, highlighting the inspiring work of young leaders, or helping to restore damaged ecosystems...",Earth Island Institute
"   Serving the most socially and economically disadvantaged people in Kolkata and rural West Bengal With medical care, education, vocational traning and other services Regardless of gender, age, caste or religion.  ",Calcutta Rescue
ur goal is to save the Andean Bear from extinction through in-field scientific studies and through the rehabilitation and release of captive bears.,Andean Bear Conservation Project
"   Children's Welfare Home in 1995 to respect and ensure the rights of abandoned, marginalized, destitute and needy children in Nepal.  ",Volunteer with Childrens Welfare Home in Nepal
"The Forest Service manages public lands in national forests and grasslands, which encompass 193 million acres.",US Forest Service
"Cyntax Foundation is a private non-profit, non-religious, non-political organization with offices in Thailand and the United States of America.",Cyntax Foundation
Volunteer opportunities working on rainforest and biodiversity conservation in Ecuador.  Business Administration ,Maquipucuna
"We are a grassroots nonprofit organization dedicated to protecting the world's remaining primates, great and small.",International Primate Protection League
"We are a non-profit organization helping improve the quality of life of rural, Mapuche families from Southern Chile. ",Chol Chol
"   Volunteers choose which projects to work in from children's orphanages, teaching in schools, working in health centers/ medical clinics etc.  ",LINKS TO AFRICA
"East-Side has more than 250 freelance facilitators on its books, all of whom are experienced and influential arts practitioners.  Volunteers and are developing a series of internships.",Eastside Educational Trust
"   World Youth International Australia (WYI) is a not for profit, non-religious & non-political international development organisation that offers people over the age of 18 the opportunity to volunteer overseas  ",World Youth International (WYI)
"We campaign for democratic procedures such as citizens' initiative, issue-ballot, veto-referendum, and recall in Great Britain and Northern Ireland.",I&R - GB Citizens Initiative Referendum
"The aims of HWRT are to rescue, repair, rehabilitate and  release all native species of wild birds and mammals.",Scottish Wildlife Rescue
Have you ever wanted to do something really different?,Care Trek
We are the charity that takes back lives from leukaemia.,Anthony Nolan Trust
The center is located in the eastern part of the central province of Cameroon and gives shelter to 38 chimpanzees between 5 months and 44 years. ,Sanaga-Yong Chimpanzee Rescue Center
Watoto Wa Baraka (WWB) is a registered non-profit organisation providing support for orphans and rural communities in Kenya.,Watoto Wa Baraka (WWB)
Amigos Del Hogar a group of volunteers dedicated to helping disadvantaged children.,Artesania Sorata
"Programmes in 100 countries, from summer camps and au-pair work in the US to educational programmes. ",Global Adventures
Peace Initiatives International-Africa works with grassroots communities to overcome devastation of conflict and disease in Africa and further peace and justice issues on the continent.,Peace Initiatives International-Africa (PII-A)
"To contribute to the conservation of birds, their habitats and the biodiversity in Ecuador, for the benefit of people and with their active participation.",Aves & Conservacion Birdlife en Ecuador
"Welcome to KIDO Ecological Research Station (KERS) and the YWF-KIDO Foundation, a non-profit, non governmental organization.",Kido
MOVE Nepal is registered as non profit and non government organisation. It is also registered with social welfare council of nepal too. MOVE Nepal offers Volunteer programs in Nepal to the people from all over the world.,Move Nepal
"Small Belize-based conservation NGO running Belize's Manatee Rehabilitation Centre, operating entirely with volunteer support",Wildtracks
Volunteering at Sambhavna    ,Bhopal Medical Appeal 
Volunteers carry out research and protection of flora and fauna in remote locations,"Abruzzo, Lazio and Molise National Park"
"Whether you would like to take a short volunteer vacation or a prolonged gap year, Out of Afrika provides a challenging and affordable option.",Out Of Afrika
Mercy29 is an anti-profit organization. We are reasonably employed by Jesus to investigate the case of those we do not know giving hope along with a future.,Mercy29
"Breakthrough is the UK's leading charity committed to fighting breast cancer through research, campaigning and education.",Break Through
"Tucked into the foothills of the Maya Mountains, two miles up river from the village of San Pedro Columbia in southern Belize",Maya Mountain Research Farm
"Doctors for Global Health welcomes the support of individuals, organizations, and corporations who share its goals and beliefs.",Doctors for Global Health
Orphan and vulnerable children programme within south africa six provinces.,Nelson Mandela Children's Foundation (NMCF)
"This family run farm offers comfortable accommodation in the foothills of the Himalayas near Darjeeling, West Bengal, India. It provides an ideal base for trekking and exploring nearby Sikkim.",Karmifarm
"Established in 1994, HWDT is a registered charity that has pioneered practical, locally based conservation through education and the study of whales, dolphins and porpoises in the Hebrides.",The Hebridean Whale and Dolphin Trust (HWDT)
The John Muir Trust - the leading wild land conservation charity in the UK,John Muir Trust
The Kenyan Children Foundation (KCF) was founded in 1994.  Our mission is “…to impact people’s lives through compassionate involvement with Kenya’s street children.” ,Kenyan Children Foundation
A.A.M.O.R. is a non-profit organization dedicated to help homeless and abused animals in Margarita.,A.A.M.O.R.
   Travel that make Sense!  ,Sensible Travel Solutions 
The mission of The Ecological Foundation Condorhuana is the protection of the environment ,Condorhuana
"Is a non-profit membership organization of 200 domestic and international volunteer and lay mission programs. Currently, more than 10,000 volunteers and lay missioners serve in the U.S. and in 108 other countries",Catholic Network of Volunteer Service (CNVS)
"Welcome to Scope, the disability organisation in England and Wales whose focus is people with cerebral palsy.  ",Scope
A Community run game reserve in Northern Mozambique. Run in partnership with a private guest lodge. , Manda Wilderness Project 
Volunteer,Responsenet
"Whether you want to work for Barnardo?s or volunteer your time, you can search our latest vacancies online. There are opportunities across the UK and in a range of departments.",Barnardos
"The purpose of Childlife  is to provide the street children in Mae Sai with a safe refuge, shelter and home, food, health and non-formal education.",Kinderleben
Conservation projects throughout New Zealand,New Zealand Department of Conservation (DOC)
Volunteering in Vietnam,Global Humanitarian Expeditions
"Mayday Trust provides specialised support, accommodation and life-skills training for vulnerable adults.",Mayday Trust
 Volunteers over the age of 23 required for variety of tasks.,Australian Tropical Research Foundation 
Enjoy Belize while making a positive contribution with your time at Belize Botanic Gardens by becoming a BBG volunteer or intern.,Belize Botanic Gardens
"The Global Xchange programme is a six-month exchange programme which gives young people from different countries a unique opportunity to work together, to develop and share valuable skills and to make a practical contribution where it is needed in local communities.",Global Xchange
"We are always on the lookout for volunteers to make a lasting contribution to the children of South Africa. So wherever you are from, young or old, from whatever walk of life, we would like to hear from you! ",WhizzKids United
Volunteers are needed for 2-week work experience trips in Jan./Feb. and July/Aug. to construct water and sanitation facilities and help with reforestation in Nicaragua.,El Porvenir
"ATE run residential camps for 8-16 year olds at 5 stunning centres in the UK. ATE is a not-for-profit Educational Trust, with a Governing Council of leaders in education who believe in the value of summer camps.",The Active Training and Education Trust (ATE)
"Part of YOUTH AND CHILDREN NET in the spirit of the Presidents Summit in Philadelphia in Spring, 1997 to help children and youth all across America.",Youth and Children Net
FACE India is a volunteer unit of East-West educational & cultural Welfare society established under the Indian society act. ,FACE India
"Nonprofit Educational Organization. Internships, Study Abroad, Travel-Study, field Study Academic credit - undergraduate or graduate level.",AASP Educational/Travel
Joining Hands facilitates placement of volunteers among over 25 partner-NGO’s which work at the grassroots level with diverse communities on varied social issues,Joining Hands
"Rainforest Concern is a Registered Charity in the UK, established to protect threatened natural habitats and the biodiversity they contain, together with the indigenous people who still depend on them for survival.  ",Rainforest Concern
Workcamp and Solidarity in Beautiful Italy,IBO Italia
Volunteer in Nepal,Cultural Destination Nepal
"WSPA’s vision is of a world where animal welfare matters, and animal cruelty ends.  ",WSPA
Education and teaching jobs,Makerere University Business School 
"The Marine Mammal Center is a leading rescue, rehabilitation and release facility for marine mammals.",The Marine Mammal Center
   Global Humanitarian Expeditions (GHE) is a non-profit volunteer service organization...  ,Humanitarian Tours
"Working with Adults with a Learning Disability in Westminster, Camden and  The Royal Borough of Kensington and Chelsea.",Advocacy Project
KenyanAdventure.com is an independent travel company that arranges volunteer placements in Kenya.  ,Kenyan Adventure
"SAMPARC can accomodate 20-50 volunteers in a year , those who have real liking to work for the children and to understand child development programme in India. ",SAMPARC
"RRN works with poor and marginalised people in rural areas across Nepal to help them meet their basic needs, improve their livelihoods and build their communities.",Rural Reconstruction Nepal (RRN)
"An Australian based Catholic Volunteer sending agency that recruits, prepares and sends volunteers with particular expertise to respond to the requests of communities in need.",Palms Cross Cultural Programme
A registered charity and student society at the University of Edinburgh. The society was founded in May 1990 to assist community development overseas and has since grown enormously.,Edinburgh Global Partnerships (EGP)
Community Projects in Ghana,Raw Planet
"Globally, our focus is to empower ministries and develop local leaders who have a vision to use media and healthcare within their communities. As we partner with these believers we know the impact will be greater than anything we could do on our own.",HCJB
VECGK - The projects aim to help the poorest people so that they become able to help themselves or just simply survive.,Village Environment Community Gangkharka
"To help protect the environment, solve the problem of global warming crisis and saving of energy and resources",Earth Care
Monkey Bay's primary objective is to educate and train students and interns through experiential learning and field research support.,Monkey Bay Wildlife Sanctuary
Get involved in the local community.,Sutton Ecology Centre / Sutton Nature Conservation Vounteers
Medical volunteers and surgeons volunteer their time and travel to carry out eye operations and teach eye doctors in less developed countries the skills they need to treat their patients.,Orbis
International workcamps accept about 400 incoming volunteers.,Lunaria
   The Maekok River Village Resort is idyllically located on the banks of the Mae Kok River ...  ,Maekok River Village Resort
   CADIP runs number of volunteer projects in Canada and abroad  ,Canadian Alliance for Development Initiatives and Projects (CADIP)
Volunteer English teaching in China,New Times International
