contact_number,description,email,cause_area,name,website,address
"011-26102851, 26102869011-26102859       ","MISSION: Our mission is to enable people with advanced cancer and their families to make informed choices and decisions and to receive appropriate physical, emotional, social and spiritual support.VISION: Our vision is of a caring and supportive society where people with cancer and their families live with dignity, hope and comfort.   ",info@cansupport.org  ,"Medicine, Diseases and Disorders",CanSupport,http://www.cansupport.org,"Kanak Durga Basti Vikas Kendra, Next to CGHS Dispensary Sector-12, RK. Puram, New Delhi, 110022 INDIA"
6126279020061262571938       ,"CARE's mission is to serve individuals and families in the poorest communities in the world. Drawing strength from our global diversity, resources and experience, we promote innovative solutions and are advocates for global responsibility. We facilitate lasting change by:*strengthening capacity for self-help*providing economic opportunity*delivering relief in emergencies*influencing policy decisions at all levels*addressing discrimination in all its forms. Guided by the aspirations of local communities, we pursue our mission with both excellence and compassion because the people whom we serve deserve nothing less.   ",lyrian.fleming-parlsey@care.org.au  ,"Aid and Development, Women and Girls",CARE Australia,http://www.care.org.au,"GPO Box2014, Cranberra, 2601 AUSTRALIA"
         ,    ,   ,Aid and Development,CECOEDECON,,"ôSwaraj Bhavanö Plot No. F. 159-160 Industrial and Institutional Area, Near Chatrala Circle, Sitapura, Jaipur, 302 022 INDIA"
91-5942-285738        ,    ,madhavan@chirag.org  ,"Community Improvement, Women and Girls",Central Himalayan Rural Action Group,http://chirag.org,"C 57, Friends Colony, New Delhi, 011 065 INDIA"
911147488888911147488899       ,"Centre for Catalyzing Change equips and mobilizes women and girls to achieve gender equality. Their equality is essential to building stronger families, communities, and societies. We envision a world in which women and girls are able to fulfill their dreams free from the constraints of poverty and inequality and in which their full worth is realized and valued. We work so that women can control more resources and contribute meaningfully in decision making at all levels.   ",agogoi@c3india.org  ,"Community Improvement, Women and Girls",Centre for Catalyzing Change,http://www.c3india.org,"C-1 Hauz Khas, New delhi, 110016 INDIA"
     91-20-2588-5982   ,    , meera.oke@chugrad.org ,"Community Improvement, Medicine, Diseases and Disorders",Centre for Human Growth and Development,,"Flat 21, Sahadeo Heights Off Baner Road, Pune, 411 008 INDIA"
08350280969        ,1. To prevent HIV-AIDS and STIs among sex workers. 2. To improve the health and economic conditions of poor and marginalized sex workers. 3. Helping the HIV positive sex worker to get care and support. 4.  Helping the women to get loan facility from the government. 5. To help the women to access legal support when they face problems. 6. To prevent violence on female sex workers by antisocial elements. 7. To eradicate Devadasi system. 8.To provide vocational training to the sex workers. 9. To stop bringing young girls who are below 18 years into sex work. 10. To promote savings habits among women.   ,chaitanya2001@gmail.com  ,"Employment Support, Women and Girls","Chaitanya AIDS Prevention Women Sangha, Mudhol",http://www.chaitanyamahilasangha.org,"Chaitanya AIDS Prevention Women Sangha Opposite: Anupama Hospital, Mallamma Nagar, Mudhol, Bagalkot District, Karnataka, Mudhol, 587313 INDIA"
011 - 26134192/93/94/95/97/98+91 (011) 29233396       ,"CAF India's vision is to build a society motivated to give ever more effectively and help transform lives and communities. We work with individuals, companies and civil society organizations to generate the greatest Impact possible in order to help transform lives and communities across the country. We provide strategic and management support to donors (corporate and Individuals) to ensure greater impact of their philanthropic and CSR Investments.   ",rakesh.goswami@cafindia.orgcontact@cafindia.org ,"Aid and Development, Community Improvement",Charities Aid Foundation India,http://www.cafindia.org,"Plot / Site No.2, First Floor Sector C (OFC Pocket) Nelson Mandela Marg, Vasant Kunj, New Delhi, 110070 INDIA"
+91-98416-56103      +91-98451-88972 ,"CHILD Children’s home’s mission is to bring about a social-transformation in the lives of young children who have been orphaned and ostracized for no fault of theirs. These children come from very poor socio-economic backgrounds in which they’ve either lost their parents to HIV/AIDS or are the abandoned children of commercial sex workers or destitute women. Our mission is to be bringing normally to the lives of these young children, by providing them with an environment conducive to holistic growth and development. A key facet of our mission is to provide an upbringing for our children that will ensure that they become exceptional global citizens with great values and also integrate seamlessly into the mainstream society. CHILD home is not an orphanage, but a loving and caring residential-home, where we aspire to create a normal home-environment for these children, so that they never ever feel under-privileged.In addition to taking care of our children in our residential home, we are also reaching out to various pockets of society that need help, by offering our facilities and ecosystems to support:Education, Clothing, food and counselling support to destitute children, despite their not being resident at our homePlans are underway to create a vocational training centre in our facility that will cater to slum children in our neighbourhood who’ve dropped out of high school, to equip them with hands-on skills that can help them find jobs and aspire for a decent life.Setting up of a CPR and First-Aid training centre, so that other NGO’s can come and avail of this facility to get their staff trained on basic life-saving skills.Education support to HIV positive parent’s children.CHILD is a non-profit organization, registered as a trust in the year 2005, in the city of Chennai in India. It was started by Mr. Senthil Kumar, who was a social worker focused on the HIV/AIDS prevention space. During that work experience, Senthil noticed that the real and silent sufferers of a horrid disease, where the children orphaned by the disease. He picked up a child that he found in the garbage bin of a government hospital, abandoned by the family of the mother who had died of HIV/AIDS. Therein began the journey of CHILD organization.  Today we have 25 beautiful children, who lead good lives and without doubt will grow up to be exceptional global citizens.The past eight years the organization has been successfully involved in providing for the holistic needs of orphans and abandoned children of HIV positive parents, unwed Mother & destitute children. We provide a home environment to these children, so that their complete needs in Education, Nutrition, Safety, and Physical/Mental health are satiated. All are staff are trained and certified by local authorities from the social welfare Board of Chennai. Most importantly, our home offers a value based atmosphere for our children to thrive and blossom.Our home is very particular about offering holistic environment and special emphasis is given to education, as evidenced by the exceptional academic performance of our children. Our Children attend excellent local schools, and most are adept in English and have basic computing skills. It is also of great pride to us, that one of our children is an India national level champion in Archery. All of our children are involved in atleast one sporting activity and many of them have also taken up the fine arts as hobbies.Our children used to live in very crowded quarters, but have since moved to our own new facility which was inaugurated in August of 2013. The new and clean environment has been a huge boon to our children, and their sense of joy is boundless. This new facility is also being used as a community centre, which will support vocational training for high-school drop outs in our neighbourhood and also become a training centre imparting CPR/First-Aid skillsets to other NGO’s.Starting with 2 children in 2005, we have now ramped up to nearly 25 children, thanks to the support of kind hearted individuals and organizations who have been constantly supporting us.  We are completely dependent and appreciative for the donations which we receive from individuals and corporates, both from India and abroad. Your donations and support is the Oxygen that keeps CHILD alive.  CHILD is run by a Trustee and Advisory body that is comprised of highly reputed persons coming from backgrounds as diverse as Medical Doctor, Biotechnology, Information Technology, Education and Semiconductor engineering. All Trustees and advisory board members work on a pro-bono basis. This has allowed us to keep our overheads to between 2-3%. We are very particular that atleast 97% of your contribution has to go into directly benefitting a CHILD.The grant will be used for the following: To take care of the following expenses of our ChildrenTuition FeesFoodTransportationMedical costsUniform and ShoesStationeryClothing and other amenities Support the Out-reach program being put into place at CHILDSetting up of a vocational training center for slum children in the neighborhood who are high school dropoutsSetting up a CPR Training node, which will benefit society at large. What your donation will buy (Annual cost for one Kid):For Food                  -    $ 250 For Tuition               -    $ 500For Uniform             -    $   20   For Picnic                -    $   25   For Snacks              -    $   50   For Medicines          -    $ 100 For Transportation   -    $ 150For Tuition               -    $ 500 ",child_may2005@yahoo.co.in  ,Child and Youth Development,CHILD,http://www.childin.org,"No - 647, Kadappa Road Madhanam Kuppam Kolathur, Chennai, 600099 INDIA"
+91 (0) 866 247-0380        ,"We provide comprehensive aid and care to underprivileged children, boys and girls, of all ages and academic levels on both a residential and non-residential basis. The object is to enable these children to pursue and complete their educations to as high a level as they desire and are capable of achieving.   ",email@childaidfoundation.org  ,Child and Youth Development,Child Aid Foundation,http://www.childaidfoundation.org,"C.A.F. Road Patamatalanka, Vijayawada, 520015 INDIA"
2849 61382849 6900       ,    ,may@cdchk.org  ,"Child and Youth Development, Education",Child Development Centre at Matilda,http://www.cdchk.org,"41 Mount Kellet Rd, The Peak, HONG KONG"
94-(0)63-222430894-(0)63-2224767       ,    ,crcampara@yahoo.com  ,Community Improvement,Child Rehabilitation Centre (CRC),http://www.crcsrilanka.org,"A-03 Dammaratana Mawatha, Ampara, 32000 SRI LANKA"
66-034-595-289        ,"To provide education, shelter and medical care to stateless children and single mothers in the Thai-Burma area of Sangkhlaburi, Thailand. The children we support were born in Thailand but born without status, without rights, without access to subsidized education or healthcare. Most are from Karen and Mon ethnic groups. Political improvements in Burma have not improved their plight as they were born in Thailand.   ",mark.curragh@gmail.com  ,"Child and Youth Development, Women and Girls",Children of the Forest,http://www.childrenoftheforest.org,"212 Moo 3 Nonglu, Sangkhlaburi, 71240 THAILAND"
"25364467, 68, 6991 11 26152389       ",    , cwd@vsnl.net ,Child and Youth Development,Children of the World,,"Plot No. 5 PSP Pocket Sector 8, Dwarka, 110057 INDIA"
622937396229 3700       ,"Children’s Cancer Foundation (CCF) is a non-profit organisation with a mission of improving the quality of lives of children with cancer and their families through enhancing their emotional, social and medical well-being.Children’s Cancer Foundation (CCF) is a non-profit organisation based in Singapore with a mission of improving the quality of lives of children with cancer and their families through enhancing their emotional, social and medical well-being. Since 1992, CCF has helped more than 2,000 children and their families, providing them the much needed support in their battle against the life-threatening illness. In a year, CCF helps more than 500 children and their families who are at different stages of the illness through its programmes and services made possible with public donations. Armed with the vision of providing world-class resources and psychosocial services to families impacted by childhood cancer, CCF employs professional caseworkers and counsellors, and adopts an integrated hospital-home-community service model to offer a spectrum of critical services to our beneficiaries. • In the Hospitals - CCF helps children who are newly diagnosed with cancer and undergoing active treatment with their hospital experience. We offer emotional, financial and social support, with a focus on therapeutic play for the children and support activities for their caregivers. Our caseworkers and counsellors are sited in KK Women’s and Children’s Hospital (KKH) and the National University Hospital (NUH) to work alongside our medical partners in the paediatric oncology wards.• In the Community - With more children surviving childhood cancer, CCF Community Social Work Team provides continual care to help enhance the quality of life for survivors. We help children return to school and support siblings of children with cancer. In collaboration with corporate partners, we offer social and recreational activities for the children and their families. We continue to monitor and support survivors who may have to cope with long term side effects due to the treatment of cancer. The support of community partners are actively sought to provide continuing care to our beneficiaries.• In the Homes of the Children - When a child is at the end stage of his/her life, it is a tremendously challenging time for the dying child and the family members. Palliative and bereavement support are critical services provided by CCF professionals to improve the quality of life of the affected families. Services offered to children with cancer and their families include:•             Place for Academic Learning and Support (PALS)•             Children impacted by Cancer•             Casework and Counselling•             Therapeutic Play•             Caregivers Support•             Financial Assistance•             Support to Siblings•             Back-to-School Support•             Tuition & Befriending•             Social and Recreational Activities•             Palliative & Bereavement Support•             Support to Survivors The kind donations received will help CCF to provide the free core programmes and services in supporting and improving the quality of lives of our beneficiaries and their families affected by childhood cancer.",Cindy.Foo@ccf.org.sg  ,"Child and Youth Development, Community Improvement, Medicine, Diseases and Disorders",Children's Cancer Foundation (Singapore),http://www.ccf.org.sg,"8 Sinaran Drive #03-01 Novena Specialist Centre, Singapore, 307470 SINGAPORE"
66-53-201-81166-53-201-812       ,"To empower marginalised communities in the Mekong Sub-Region to shape their own futures. We achieve this by working with communities to improve healthcare and education for children and provide socioeconomic opportunities for families.Child’s Dream is a charitable, not-for-profit organisation dedicated to empowering marginalised children and youth in the Mekong Sub-Region, which includes Myanmar, Laos, Thailand, and Cambodia. We achieve this by working in partnership with communities to improve the educational and health situation for their children and youth. Our highly motivated staff in Chiang Mai, Thailand, Siem Reap, Cambodia and Yangon, Myanmar goes the extra mile to identify the most needy communities and beneficiaries We have segmented our organization into three focus groups in order to best address our mission.Health – to decrease the child mortality rate and to allow children to participate in education by supporting health programmes and offering life-saving treatmentBasic Education – to offer basic education for all in order to improve literacy and create alternatives to exploitation. We offer a broad array of support ranging from building schools and boarding houses to give students access to quality learning environments, as well as to provide stationery, learning materials and scholarships.Higher Education – to create opportunities for income generation and better quality employment, with a focus on capacity building based on transfer of knowledge and skills. We do this by offering vocational training programmes, employment centers and providing university scholarships to youth. We believe that the key to sustainable development is to carefully listen and understand the true needs of the communities. We use a bottom-up approach that puts the needs of the community at the centre. Once we have established a trusting relationship with a community, we often start our assistance by addressing the needs of the children. We then build on the knowledge gained and the goodwill earned to launch additional community development initiatives. Our funding needs change over time so in order to see the most current needs please visit the following link: http://childsdream.org/donate/funding-needs/ The following are examples of how you can contribute:Building Schools: Depending on the size of the student population and location, the construction of a school building (with between 3 to 6 classrooms) costs US$30,000 to US$60,000 and accommodates around 75 to 200 students. It is also possible to contribute part of the total cost of a school building (e.g. 50%).Boarding Houses: Provide safe and secure living conditions for students to attend school by funding the construction of a boarding house. Depending on the size of the school, a boarding house costs US$20,000 to US$50,000 and accommodates around 20 to 100 students. It is also possible to contribute part of the total cost of a boarding house (e.g. 50%).Children’s Medical Fund: Directly support the needs of a child dealing with significant health issues. Depending on the medical condition, the treatment cost varies from patient to patient. We support approximately 150 children annually with a total budget of US$ 400,000 for an average cost of around $2,700 per child.",marc@childsdream.org  ,"Child and Youth Development, Community Improvement, Education, Healthy Lifestyles",Child's Dream,http://www.childsdream.org,"238/3 Wualai Road, T. Haiya, A. Muang, Chiang Mai, 50100 THAILAND"
     866.3.477207751866.3.4774104  ,    , midychin@dns.kves.tyc.edu.tw ,Education,Chiwen Elementary School,http://www.kves.tyc.edu.tw,"No. 62 Section 3 Tsing Hua Village (Tsuen), Shinwu Township, 32742 TAIWAN"
91-40-2305767691-40-23151110       ,"CHORD is a non-profit organization established primarily to bring about social change; to uplift vulnerable sections of the society in the spheres of education, health and development, especially underprivileged children and their families.   ",sumanmalladi@yahoo.com  ,Child and Youth Development,CHORD,http://www.chordindia.org,"Plot 4, 5&6, SJB Hills, Opposite Ellamma Temple, Bachupally, Hyderabad, 50090 INDIA"
040-64554028        ,"Christ Children Ministries works to help orphans, eradicate child labor, and establish slum schools.   ",gundrarosy@yahoo.com  ,"Child and Youth Development, Education",Christ Children Ministries,http://www.ccmrosy.com,"#1508, Papi Reddy colony Chandanagar, Hyderabad, 500050 INDIA"
918028465999918028465003       ,"1. To establish, promote, encourage, provide maintain organise, undertake manage,build, construct, equip develop, recondition, operate, conduct and to run schoolscolleges, universities and any other kind of educational or vocational educationinstitutions through out India.2. To support, Promote, advocate and/or advance the rights, care. education welfareand well being of children including but not limited to orphaned disadvantagedand abandoned children residing within India.   ",minielias@christelhouseindia.org  ,"Child and Youth Development, Education",Christel House India,http://www.in.christelhouse.org,"Bellahalli Road, Off Hennur Road Kannur Post, Via Bagalur, Bangalore, 562149 INDIA"
0091-9910475074        ,"CII foundation will work towards inclusive development by providing a meaningful bridge between marginalized communities and donors, especially the corporate sector.   ",jawahar.k@cii.in  ,"Community Improvement, Aid and Development",CII Foundation,,"Confederation of Indian Industry 249-F, Sector 18, Udyog Vihar, Gurgaon, 122015 INDIA"
+65 63771789+65 6271 8189       ,To provide compassionate relevant services to children suffering from chronic and life threatening illnesses and their families.   ,jennifer@clubrainbow.org  ,"Child and Youth Development, Aid and Development",Club Rainbow Singapore,http://www.clubrainbow.org/,"Blk 538 Upper Cross Street #05-263/269, Singapore, 050538 SINGAPORE"
 44-1228-564431       ,    ,info@catreks.com  ,Community Improvement,Community Action Nepal,http://www.canepal.org.uk,"Warwick Mill Warwick Bridge, Carlisle, CA4 8RR UNITED KINGDOM"
919-816-105554        ,"Our mission is to provide full free good quality education to under privileged children from disadvantaged backgrounds, who otherwise face barriers to education. Our scholarships cover all standards from Nur. to 8th class.Gamru Village School exists to support the families in Gamru and the surrounding villages by not only giving the children a good education, but also providing health care and medical attention should it be necessary. In certain cases, when funds permit, we also extend this care to our students’ family members. Older students who leave the school also receive further sponsorship for their continued studies at 9th standard and beyond. Our policy is to never turn away any child in need of help. Most of the children’s parents are unskilled labourers or have a low-income job such as a taxi-driver, peon or porter. It is a struggle for these parents to send them to the free government schools as the cost of books, stationery, the uniform and a daily packed lunch is prohibitively expensive for them. We therefore exist to give every child the same chance at a good start in life. Our PurposeTo provide full scholarships to students, including all school fees, meals, uniforms, books & stationerynecessary from nursery class to 8th standard.To teach the Indian curriculum (in line with the local Himachal Pradesh education authority curriculum and examinations,)in an innovative manner with regular extra-curricular classes; Arts & Crafts, Yoga, Gender education, Environmental studies, Horticulture, Dance and an annual educational day-trip when funds permit.To maximize the participation of girls in education and ensure they receive equal opportunities in all aspects of their lives.To provide a day care centre, so infants have a safe, nurturing environment in which to spend the day. This is very important as children otherwise are usually left at home with their older siblings while their parents work (so their siblings cannot come to school) or they are taken along to the construction sites, which are dangerous.To ensure all children receive at least one healthy, nutritious and filling meal a day. We serve all students rice, dal and vegetables and sometimes fruit as well. They eat as much as they need. Nursery students also receive a healthy breakfast of porridge or banana to supplement their diet and ensure good growth and well-being from an early age.To teach and promote the importance of hygiene awareness and good health. We also provide vitamin supplements for all students, as well as health check-ups and dental checks when possible. There is also a reserve fund for any student should medical care, hospitalisation or surgery be necessary, to help with the financial burden on parents.To establish strong community links within the village and help engender a positive attitude to village life. We promote the importance of respecting the environment and recycling, of abstaining from drinking or drugs, treating both genders as equals and visit homes should there be a need to help families in crisis.	  Gamru Village School is located in Dharamsala, in the Kangra District of Himachal Pradesh state in north-west India. It was founded in 2004 by Phil Adams, a British aid worker who lived in the village at the time. Every day he saw children hanging around the village during the day, often looking after younger siblings. After making some enquiries he soon found out the reason for their non-attendance. They all came from very poor homes. With the help of the local Rotary club, Phil found a vacant building and persuaded parents to let their children attend. Gamru Village School started out with 45 students.  10 years later,  in 2014 there are 175 students in attendance, with 8 full-time teachers and 3 support staff. Gamru Village School is a not-for-profit, charitable society providing quality education and care to under-privileged children who would otherwise face serious barriers to education. The school receives no help from the local education authority or the Indian government and relies entirely on the kindness of a handful of sponsors to keep the school running.In 2008 the school very nearly closed due to a lack of funds.It only takes one sponsor to say that they can no longer commit, or for the current landlord to change his mind for the school to come under serious threat.Any donation received will make an impact: Here are the current costs and how your donation could help: $14          Support 1 student for 1 month (all costs covered)$20          Covers all food costs for one student for 1 year$48          Provides basic first aid supplies and vitamin supplements to all students for 1 year$50          Sponsorship for a student in 9th and 10th standard (covers all government school fees)$50          Buys craft materials for the school for a term$65          Covers all running costs for the entire school for 1 day$130        Covers all stationery and book costs for the entire school for 1 month$150        Covers all costs of supporting 1 student in school for 1 year$180        11th and 12th standard student sponsorship (covers all government school fees)$205        9th and 10th standard sponsorship for gifted students (covers all private school fees)$275        Covers the building rent for 1 month$360        Sponsorship of a student in college for 1 year. (Studying for B.Ed or M.A. qualification)$1,011     One months salary for the school’s principal, 7 teachers, 1 assistant and 2 peons$1,635     Covers all book and stationery costs for the entire school for 1 year$3,300     Covers the rent of the school building for 1 year$12,130   Covers all salaries for the Principal, 7 teachers, 1 assistant and 2 peons for 1 year$22,000   Covers all costs for the entire school for 1 year There is a 12 minute documentary all about our school on YouTube. Enter 'Gamru School' in a search of simply click the following link: http://youtu.be/0l1kcYB1b9E Our school website: www.gamruschool.comOur Facebook page: www.facebook.com/GamruSchoolOur Facebook Group: https://www.facebook.com/groups/402098566475003 You can also contact Rachel at cusworth.rachel@googlemail.com , a key fundraiser facilitator for Gamru School. She maintains the website and is always happy to answer any inquiries you may have. She is based in the UK, but spends a lot of time at the school and is involved in all aspects of its maintenance. ",tashu72004@yahoo.comgamruschool@gmail.com ,"Education, Aid and Development",Community Growth Society India (Gamru Village School),http://www.gamruschool.com,"Gamru Village, Disttr. Kangra, Dharamshala, 176215 INDIA"
91-080-2294731791-080-22947307       ,"CUPA's mission is to alleviate the suffering of defenceless animals and to protect them from abuse, violence and injury, inflicted predominantly by humans, but also caused by the vagaries of survival on crowded streets with limited resources.  CUPA does not differentiate between pet, stray or wild animals, since all need protection from cruelty, neglect and abandonment.  Since its inception over two decades ago, CUPA has been committed to designing services and facilities in the realization of these objectives. CUPA also partners with policy makers and has taken legal recourse to protect and safeguard the rights of animals, improving welfare standards and their lives in the process.CUPA is a charitable public trust and is recognized as such by both the Central and State governments.  It is committed to providing much needed healthcare and treatment to Bangalore's stray, working and abandoned animals.  Operating from eight centers across the city, CUPA rescues, rehabilitates and re-introduces animals back into their environment or re-homes them through adoption. CUPA's message is spread through its employees and a network of volunteers who (a) conduct adoption drives and make presentations to various public and private agencies and companies; (b) lobby the government for better animal protection laws; (c) educate children through programs in schools and colleges; and (d) provide outreach support to rural and urban handlers of working animals, especially those who live in remote rural areas beyond Bangalore and do not have access to veterinary care and treatment for their animals.   CUPA-sponsored animal welfare inspectors respond to calls made by the public who report the ill-treatment and/or neglect of pet animals by their owners and handlers as well as road accidents involving strays. CUPA has successfully rehabilitated laboratory Beagles three times in recent years – the latest successful rehabilitation of 156 Beagles in May-June 2016 being the largest ever release and re-home operation of laboratory animals undertaken by any individual or organization around the globe – an animal welfare record!  CUPA is at the forefront for initiating action against the institutional and systemic cruelties imposed on animals that are used in the entertainment industry and for religious purposes. This is particularly true for India’s captive elephants who are severely mismanaged in private hands. A multi-prong approach – including advocacy to strengthen laws, awareness through the publication of 50 reports and an operational model rehabilitation centre – have upped the awareness levels with efforts having gained support and momentum. CUPA was founded in 1991 by Crystal Rogers, an English woman, who settled down in India after witnessing the tragic plight of animals in the country.  Since the 1930s, stray dogs in the city as well as urban community dogs (who, unlike strays, have local guardians, but continue to live on the city streets) were executed mercilessly by the local municipality in a desperate, but dismally ineffective, effort to reduce the population of dogs on the streets. CUPA took over the very same municipal facility in 1994 and converted it into an animal birth control center where dogs are neutered and vaccinated by professional veterinarians. Today, this WHO recommended program is recognized and institutionalized nationwide as the effective and humane Animal Birth Control (ABC) program. Over the years, CUPA has opened satellite centers all around the city, each specializing in one or two aspects of animal welfare: sterilization of street dogs, treatment of injured animals, care for abandoned dogs, relief for large animals (like bulls, donkeys, cows, goats, sheep, etc.), natural habitat for wildlife rehabilitation, canine geriatric shelter and a clinic to treat trauma, accident and injury cases 24/7.  CUPA is the only organization in Bangalore to run a round-the-clock emergency hospital for all animals and pets.  A modern, well-equipped, fee-based clinic and grooming facility for pets helps to defray the cost of running the other centers.Given the spread of services provided by CUPA, a grant would inject a much-needed boost to help improve all the facilities noted above.  Additionally, it would help procure another ambulance, which would divide the workload of emergency cases, extend the catchment area and reduce the time for reaching an injured or sick animal.  Funding would also support the need for professional advocacy of welfare concerns that is crucial for bringing greater attention to the undervalued arena of animal welfare.  A grant would help support awareness programs that could lead to localized projects aimed at initiating and nurturing ethical practices among all socioeconomic classes. CUPA is intensely involved in national-level initiatives around the issues of puppy mills, cruel treatment of temple elephants, and stray dogs.  Funding would help to address the root cause of these complex problems through fieldwork and participant-observation, research and case studies, and collaboration with like-minded organizations, all of which are prerequisites for influencing and bringing about change in public policy pertinent to animal welfare in India. Facebook: https://www.facebook.com/cupaindia",suparnaganguly@gmail.com  ,"Animal Welfare, Environment",Compassion Unlimited Plus Action,http://www.cupabangalore.org,"No. 18/1 D-GF, Kensington Apts. Ulsoor Cross Road, off Bazaar Street, Ulsoor, Bangalore, 560008 INDIA"
+91 080 4175 8088        ,"Concern India Foundation works towards its objective of 'Helping People Help Themselves' by making the disadvantaged self-reliant and thereby enabling them to lead a life of dignity. We strongly believe that the disadvantaged need opportunities, not charity and our focus is to bring about a positive change in the lives of the most vulnerable people of our society through sustainable programs.Our all-embracing approach ensures that through the programs we support, we reach out to diverse target groups of children, special children, women, men, and elderly from the underprivileged sections of the society.   ",pampa.chowdhury@concernindia.org  ,"Community Improvement, Education",Concern India Foundation,http://www.concernindiafoundation.org,"No. 97&98, Coles Road, Second Floor Fraser Town, Bangalore, 560005 INDIA"
+6597872523        ,"We envision a world where social good organisations and pro bono talent effectively partner to better serve our community.Our mission is to engage, mobilise, and empower pro bono talent to strengthen social good organisations.Conjunct Consulting is Southeast Asia's first social change organisation: engaging, mobilising and empowering pro bono talent to strengthen social good organisations in Singapore. We do this through pro bono consulting projects, strategic collaborations, and corporate skills-based volunteering programmes. Since its inception in August 2011, Conjunct Consulting has delivered 117 consulting projects with a total of 77 nonprofit partners serving various community needs and creating over $3.5 million worth of social impact.Conjunct Consulting equips its partners in the social sector with sustainable strategies and thought processes to ensure they are ready for future challenges. Conjunct also empowers the next generation of social change leaders with the business skills and knowledge needed for continual strategic change.   ",nataliekennedy@conjunctconsulting.org  ,"Community Improvement, Other",Conjunct Consulting,http://www.conjunctconsulting.org,"128 Prinsep Street, Singapore, 188655 SINGAPORE"
(91-22) 2512 2422        ,"CAT's aim is to protect environment, with focus on wildlife and forests, especially mangroves. CAT works to educate and enlighten decision makers and the public on the importance of forests for our survival. We provide assistance in the form of technical information, legal advice, aid and equipment, to all those who are confronting environmental problems.   ",debi1@cat.org.in  ,"Animal Welfare, Environment",Conservation Action Trust,http://www.cat.org.in,"5, Sahakar Bahavan, 1st Floor, LBS Road, Narayan Nagar, Ghatkopar (w), Mumbai, 400 086 INDIA"
+91-22-24653502+91-22-24632302       ,    ,ic.del@crymail.org  ,"Child and Youth Development, Social Justice",Cry - Child Rights & You (formerly CRY- Child Relief and You),http://www.cry.org,"DDA Slum Wing, Bharat Ghar Bapu Park, Kotla Mubarakpur, New Delhi, 110 003 INDIA"
44 7789 991 411        ,"The charitable purposes of the DHF are for the public benefit, the preservation and conservation of monuments of historical and architectural importance in the Deccan region of India. Besides recording and preserving these monuments we will create awareness through educational programs for the young on how the sustainable preservation of historic monuments is socally and economically beneficial, organize events, publish books and create commission films that showcase the monuments and cultural heritage of the Deccan.We also nurture community interest to safeguard the monuments, the cultural heritage and the natural environment of the region.   ",cg@deccanheritagefoundation.org  ,Arts and Culture,Deccan Heritage Foundation Ltd.,http://www.deccanheritagefoundation.org,"20-22 Bedford Row, London, WC1R4JS UNITED KINGDOM"
91-959110066391-8226-223001       ,"Deenabandhu works towards the education and rehabilitation of orphaned, destitue and estranged children. Deenabandhu envisions a world without borders where every child is educated and empowered to realize his or her inner strength and this develops a positive self-image and self-esteem which makes him or her a socially productive and responsible citizen.   ",deenabandhutrust@gmail.com  ,"Child and Youth Development, Education",Deena Bandhu,http://www.deenabandhutrust.org,"PWD Colony, Behind Forest Nursery, Chamarajnagar, 571313 INDIA"
