name,country,description,address
Kayin Baptist Convention,myanmar,Kayin Baptist Churches are established in middle of 19th  century and these churches united to form Associations for fellowship   and cooperation.  In 1913 ten Associations jointly formed Kayin Baptist   Convention as a national level organization. KBC is afÞ  liated to Myanmar  Baptist Convention (MBC) and Myanmar Council of Churches (MCC).   ,"Kayin Baptist Convention is to organize all the  Kayin Baptist Churches in Myanmar for coordination and cooperation   in holistic mission.Main Goal    Kayin Baptist Convention is the cooperating body organized   with all the Kayin Baptist Churches in Myanmar. The KBC is committed   to strive for the oneness of the Kayin Baptist Churches, and working   together in Church planting, holistic development of the church   leaders and church members, both spiritually and physically which   will lead to the fullness of life with dignity through worship, fellowship   and meeting, training publishing of literature and cooperation with   churches and organizations, inside and outside the country. Main Activities   Religious and Social activities Primary BeneÞ  ciaries     Members of all the Kayin Baptist churches and  associate  community members of  20 Associations in Myanmar. Kayin Baptist Convention (KBC)396, Bogyoke Road, Lanmadaw, Yangon Tel : 01-214899, 01-229647, 09 507 2086"
KDN,myanmar,   ,"KDN was established in 2004 as a fellowship of Kayin  faith based   (Christian and Buddhist) social service and development organizations.   Since then, through extending our networks and partnerships, KDN   has grown and currently supports initiatives in 11 States and Divisions   across Myanmar with individuals, organizations and communities of   various ethnic groups.      Vision/Mission    KDN believes in the fundamental capacity of people of all  ethnicities to Þ  nd positive solutions, to manage their own development  and determine their own future. To help realize these opportunities   we support local people to increase their skills and knowledge, to   identify and address the priority needs in their communities and to   build relationships and networks across communities, including those   of different ethnicity.                               Through these approaches, KDN aims to contribute to the   development of dedicated, conÞ  dent civil society organizations that are  able to explore and promote effective analysis, policies and strategies   to achieve equal rights and opportunities for people of all ethnic   nationalities throughout Myanmar. Main Activities   Main Activities          - 16 module one year self study course on Community   Management at 14 centres nationwide   - CM alumni projects and TOT trainings   - Women's Savings and Loans   - Rice banks   - Nurse Aid trainings   - Primary Education Support for children   - Evaluation, Monitoring and Planning Forums   - Community Writer's Workshops   - Needs Assessment and Planning Workshops   - Civic Education   - Fellowship Programmes.  KDN1st Floor, KBC-DYW building 396, Bogyoke Aung San Rd,  Lanmadaw, Yangon Tel :  95-1-211183"
Lanthit Foundation,myanmar,   ,"Lanthit Foundation No(460), Shwe Gon Thiri Rd, 37th  Quarter, North Dagon Tsp,  Yangon Tel :  09-5041459"
Layeinsu Buddhist Mingalar Association,myanmar,"  -  Examination on teaching of Virtue and Abhidhamma  - Opening classes on Discourse of Mingala and Abhidhamma   - Opening Mediation Camp for youths   - Free education on English Language and Mathematics    - Capacity Building   - Health Education   - Establishing Library ""Youths from Layeinsu Village and neighbor villages LAYEINSU BUDDHIST MINGALAR  ASSOCIATION  (LBMA)Mingalar School, Ward (3), Layeinsu Village, Maubin Township,   Ayerwaddy Region. Tel :   09 49751515, 09 8585712",
Light,myanmar,"Ar Man Thit SHG was established with 10 memb ers in  October 2007. Ar Man Thit    SHG aims to help peers in care and support services. To attain Healthy Life for PLHIV Main Goal   To create a job opportunities and healthy life  for PLHIV Home base Care, Counseling, Condom distribution, Health  Education, Care giver    service at Hospital, Nutrition support to PLHIV, Funeral support,   Educational       support to OVC (Orphan and Venerable Children), Microgrant People living with HIV/AIDS and Orphan Venerable Children","LightNya /25, KyauK Sein Street, Ward 10, Lashio Township  Tel : c/o 082-26310 ,  c/o 09-47302178"
Little Sisters of the Poor Home for the Aged Poor,myanmar,"The Roman Catholic Archbishop in Yangon founded the Sisters'   Home for the Aged at No 539, Thein Byu Road, North Kandaw Galay,   Mingala Taung Nyunt Township on 21 November 1898 with two ladies   named Gertrude Olivero and Helen Carr. Main Goal  To provide protection and care with earnest  good-will to elderly persons who genuinely have no one to turn to   regardless of their race and religion.   To enable the elderly persons to engage in their respective   religious practices peacefully to prepare themselves for the transition   to the next life. Livelihood and health of the  elderly.  Going to donors' residences to  collect donations in cases where   the donors are unable to come to the Home. Elderly persons without anyone to turn to","Little Sisters of the Poor Home for the Aged Poor 539, Thein-byu Road,Kantawlay (North), Mingalar Taung Nyunt  Township, Yangon, Myanmar. Tel :  95-1-243 983, 243 984"
Local Resource Centre,myanmar,"Shortly following Cyclone Nargis, a number of Myanmar NGOs,   together with international NGOs, set up the Local Resource Centre   to assist local organisations, communities, and civil society groups in   their collective effort in relief and rehabilitation programmes. Later on   LRC moved its focus from disaster response, and then adopted a more   holistic approach towards the development of indigenous civil society   organisations. Towards the development of equitable and free civil society Main Objective  Empowered and accountable Civil Society Groups respectful   of diversity and social inclusion  ","Local Resource Centre224 A, Third Floor, Salmon Business Centre, U Wi Sara Road, Bahan  Township, Yangon Tel : 01-536428"
Loka Ahlinn,myanmar,   ,
Lokahta Criya Foundation,myanmar,"Loka Ahlinn is an independent civil society organization formed   by a group of committed young people called core members who   come from good education background. We have all been active in   the education, academic, media, arts or community service Þ  elds. Loka  Ahlinn was initiated in 2004 and founded in 2006. Preparing various community groups and organizations through  networking and capacity building for nation-wide development Main Goal   To create an atmosphere integrated with skills and capacities  towards knowledge based social mobilization.   To strengthen community groups or organization through   upgrading indigenous knowledge and empowering career opportunities   which lead to community development with participatory approach. Education and capacity building   Agriculture and livelihood   Community development   Emergency aid/Humanitarian assistance Youths  CBOs Farmers/casual labours   Disaster affected population     Loka Ahlinn (Social Development Network) Room 1206, 12th ß oor, Olympic Tower, corner of Mahabandoola  Road and Bo Aung Kyaw Road, Kyauktada Township, Yangon Tel : 09-73034870, 09-73183027, 09-73183028",
Meikswe Myanmar,myanmar,   ,
Metta Development Foundation,myanmar,"  -  Caring HIV patients.   - Supported Nutrition   - Counseling   - By supported them to hospital and clinic, to get ART   treatment.    - Supported orphan children to attend the school.   - Health education   - Conduct forum for self-help group   - Vocational training as sewing for PLHA ",
Moe Kant Kaw,myanmar," - The Metta Development Foundation is a non-governmental  organization, established in 1998,to assist communities in Myanmar   recover from the devastating consequences of conflict and   humanitarian emergency.   The primary objectives of Metta is the evolution of self-reliant   and peaceful societies through social and economic growth.The driving   force behind Metta is the concept the very word embodies-that of   ""loving kindness"". Main Goal    1.  To create a framework to support self-help initiatives.   2. To preserve and restore the natural environment of those   communities and to increase their capacity to do so.     3. To continue maintaining and preserving of cultural   traditions.     4.  To assist in humatarian work.  Metta Development FoundationParami Condominium Housing,Building 12+1A,Room 1302, 16quarter,Hlaing Township.Yangon.. Tel : 01-522266 Fax : 95-1-526 153",
Myanmar Agro Action,myanmar,"  :   To help general public and give knowledge regional public  Moe Kant KawNo ( 2 ) , kant kaw street, Ingapore , Ayeyarwaddy Tel : 0949768108",
Myanmar Anti-Narcotics Association,myanmar,"MAA is a non-political, non-profit, and local non-government  organization in Myanmar and initiated with capacity building training by   agriculture since 2005 and that was founded in February, 2010 with well   experienced professionals who worked at the agriculture sector & environ-  mental conservation sector - Development of the sustainable agriculture  - Promotion of capacity building   -  Poverty alleviation   -  Environmental conservation Main Goal   - To improve capacity building of the community of grass root  level   -  To obtain sustainable agriculture & environ mental friendly   agriculture   -   To provide services in environmental conservation through   community participation and - Capacity Building Training   - Development of Rural Community   - Livelihood Activities in Project Area   - Sustainable Agriculture & Environmental Friendly Agriculture    - Environmental Conservation - People of Rural Areas in Myanmar   - Community in the Project Area Myanmar Agro Action (MAA) No.(9/11) ,Room (502) , 18th street,  Latha Township, Yangon Tel : 09 5035668",
Myanmar Baptist Convention (MBC),myanmar,"MANA was established as a NGO on 26 June,1994  and Registered  in October of the same year.Registered Number is ( 1770 ) Myamar Drug Free Society     Main Goal:  To improve the quality of life of drug - users in Myanmar by   Demand and harm reduction Demand Reduction  Harm Reduction            Collaboration  M&E and Research       Human Resource Management & Planning Drug - users   Linked Spouses / Partners / Families and their associated    communities Myanmar Anti-Narcotics Association ( MANA ) No.( 37/G), Block ( 1/H), Kyun Taw Street,  Tel :(+95-1) 502892,502893 Fax : (+95-1) 532229",
Myanmar Business Coalition on AIDS (MBCA Registered Oce),myanmar,"Rev. Dr. and Mrs. Adonian Judson were the first Baptist  Missionary couple to Myanmar who arrived in 1813. After years of   labour and effort of past missionaries, Burma Baptist Missionary   Convention was organized and formed on the 15th October 1865. The   name changed to BBC in 1954. Since the word Burma is changed to   Myanmar today BBC is known as Myanmar Baptist Convention. :   To spread and propagate the gospel of Jesus Christ and   labour for the ministry and the growth of the church in Myanmar and   throughout the world. Main Goal   - Baptist Churches to be revived and renewed with their holistic  incentives   - To serve human society in terms of peace and prosperity   - To seek the Will Of God in terms of peace justice human value   and dignity - Providing Þ nancial contribution to emergency relief and  rehabilitation activities for natural disasters   - Providing material contribution to people in remote areas   and those working for opium substitution.    - Provide technical assistance (SALT) by which will be supporting   for conservation of forest    - Participating in community development activities such as   water and sanitation, income generation    - Providing awareness training on HIV / AIDS in border areas   - Organizing trainings on capacity building and development   project. All Baptist believers and communities of non-Christians and   other denominationsMyanmar Baptist Convention (MBC)143, Min Ye Kyawswa Road, Lanmadaw Township, Yangon,  Myanmar. Tel :95-1- 223 096, 951-221 465, 95-1-221 466, 95-1-223 231,         95-1-202 501 Fax : 95-1-221465",
Myanmar Business Executive Group,myanmar,"  :   13.1-MBCAÕs regular services are designed to assist businesses   and communities in their HIV response: Executive BrieÞ  ngs; Human  Resource ManagersÕ Workshops; Staff training; Peer Education   Training; Train the Trainers; Co-ordination between service agencies   and companies; assistance in development of workplace policies;   development and implementation of HIV workplace programs;   capacity building of healthcare services in businesses; counseling and   consultation services; providing a forum and network for businesses   and implementing partners to share and coordinate with each other   activities.   13.2-To assist business to form business coalitions and assist   in their social -Individual businesses, business associations   -Workers, their families and the community  Myanmar Business Coalition on AIDS No.380, FMI Center, 10th  ß oor, Bogyoke Aung San Road, Pabedan  Township Tel : Executive Of Þ ce (95-1)514598,          Project  OfÞ ce (95-1)510 460 Head OfÞ ce (95-1)240363,    Fax (95-1)514598",
Myanmar Ceramics Society,myanmar,"   -A total of ( 7660 ) students from 35 targeted village will enjoy  studyibg in a safer and higher quality of building infrastructure which   is also cyclone and earthquake resistance.   - BeneÞ  cient village communities can use these school building  as shelters against storms adn ß  oods.  - SufÞ  cient drinking water supply for students and teachers will  be ensured with the installation of 5000 gallons RWCTs as necessary   at each  targeted village.   - Erecting school latrines with septic tanks will improve   sanitation and promote hygieni conditions for students and teachers Room 401, No.8 Pan Chan Tower, Coner of  Bargayar Road and Dhammazedi Road, Sanchaung Township , Yangon , Myanmar. Tel : (95 1)505972,538316",
Myanmar Christian Fellowship of the Blind,myanmar,"In  Myanmar, the earthenware pottery, without using potter's  wheel was produced since 11000 years ago. Although the ancient   glazed artifacts were found in Bagan which was built in 9th  Century AD,   ceramic historian were less interest in Myanmar due to the scarcity of   ancient Kiln-sites and glazed wares. In 1987, MCS traced and discovered   nearly a thousand number of old-Kiln-sites in Myanmar and rightly   declared the position of Myanmar Ceramics, which started as far back   as 5th Century AD. To raise the life of grass-root level community especially potter's  families by integrating culture and glaze art .    Main Goal:   To encourage the research on the history of Myanmar  Ceramics    To enhance the development of present pottery-industry 1. After Nargis- FoodSecurity, Shelter, IEC material for education   2. Providing Vocational Training  3. Providing trainings on Traditional and modern ceramic making   technology  4. Produce solvolite for ceramic Þ  lter  5. IdentiÞ  cation and displaying of ancient kiln-sites 6. Revolving Fund  7. Organized talk show for Public Health awareness  8. Pond rehabilitation   9. Construction of latrine  10. Support medical beneÞ  t fund 11. Welfare fund for oldage  12. Demo plot with organic fertilizer  13. Infrastructure  14. Plantation for substitution of fuel wood usage Grass-root level community, potters and their family Myanmar Ceramis SocietyRoom 21, Building No.3,Pan Hlaing Housing, Pan Hlaing Quarter,  Kyeemyindine Township, Yangon, Myanmar. Tel : 95-1-224 052,95-1-509 301, 95-9-500 6860",
Myanmar Christian Health Workers' Services Association,myanmar,   ,
Myanmar Christian Leprosy Mission,myanmar,   ,
Myanmar Council of Churches,myanmar,   ,
Myanmar Enhancemnet to Empower Tribals,myanmar,"Established by foreign missionary organizations Main Goal   To unify all the Christian Churches in Myanmar  To have better understanding and friendship among the   Churches   To have mutual trust and recognition of one another's practices   among  Churches   To cooperate in Church affairs where coordination and   cooperation are appropriate   To work toward the ultimate goal of having a uniÞ  ed Church Mission and Ecumenism  Service and Development   Education and Communications   Youth   University Christian Work    Women Member, Churches  Myanmar Council of Churches Ecumenical Sharing  CentreNo. 601, Pyay Road, Kamayut Township, Yangon, Myanmar. Tel : 95-1-513579, 95-1-537957",
Myanmar Health Assistant Association,myanmar,"MEET is founded in 2008. It is local non-governmental and   non-proÞ  table organization aiming to enhance remote tribal vilages,  relief, rehabilitation and development assistance. Since then MEET has   been working for remot tribal villages in two townships (Kanpetlet   and Paletwa), which are situated in southern part of Chin state. MEET   is also supporting widows supported relief program for rat infestation   victims in Paletwa township in 2008, and giging hope for orphans and   physically handicapped children in Yangon. Creating self employment and sustainable development   among Myanmar Tribes.   Support community initiative for Tribal People.   Provide education, relief, rehabilitation and development   programs for Myanmar Tribes Main Goal   To help build the economic and social infrastructures for the  Tribals in Myanmar.   To increase the local food production to sustain food security   to create job opportunities for the Tribals in Myanmar in the areas of   education, agriculture and social assets. - Shelter, Agriculture Myanmar Enhancement to Empower Tribals  ( MEET ) No , 453 , Tawwin st , 7th ward ,Shwepyitha , yangon Tel : 0973092562 , 097318982",
Myanmar Literacy Resource Centre,myanmar,   ,
Myanmar National Association of the Blind,myanmar,"In recognition of the signiÞ  cant role of the NGOs for literacy  promotion activities, the ACCU (Japan) in cooperation with UNESCO and   UNESCO Member States, launched the Program  for the Establishment   of LRCs in Asia and the PaciÞ  c in 1994.Myanmar has been launching  actively literacy programs since 1990 as part of the National Plan for EFA.   As result of concerted efforts made by DMERB (Myanmar), ACCU and   UNESCO,Myanmar Literacy Resource Centre (MLRC) was established   in March 2000. To promote the literacy activities in Myanmar Main Goal   To develop innovative  literacy materials   To act as the Training Centre for NFE personnel   To serve as a centre for sharing information and resources on   NFE through appropriate network systems  ",
Myanmar Nurses and Midwife Association,myanmar,"Vision /Mission    Raise - up the living standard of the Visually Impaired Persons   and attain equal rights in society. Main Objectives    To uplift the welfare system aimed for more convenient lives   of visually Impaired Persons Main Activities    Organizing, networking and capacity building among Visually   Impaired Persons in Myanmar. Primary BeneÞ  ciaries   Visually Impaired persons in Myanmar Sector  Myanmar National Association of the Blind No. 165, Baho Road, Ward II, Maynagone Township, Yangon. Tel : 09-5102118, 09-5111969 Name of Leader Mr. Aung Ko Myint  Name of Contact Person Mr. Aung Ko Myint Emailmnab@myanmar. com.mm Website http://www. mnabmyanmar.org  LOCAL NGO DIRECTORY 71Background   MNMA is an independent, non-governmental association  founded in 1948, it is also one of the professional organizations, working   for nursing and midwifery profession and the improvement of health   services in the country. The Association is a member of the International   Council of Nurse (ICN). There are 216 association branches throughout   the country with a membership of 18026 Nurses, including the Licensed   Nurses,   Midwives and Lady Health Visitors.   The MNMA provides various services such as conveying   updated nursing education, emergency preparedness, sports and   Þ tness and active involvement in social support networking inside  and outside the organization.   The MNMA also provides a maternity shelter for women those   who cannot afford to delivery at a private clinic, the women have to   pay very little to the MNMA for its services, there are 30 to 50 delivery   mothers monthly at maternity shelter of MNMA.   In collaboration with other NGOs, the  MNMA  implements   Community Home-Based Care Project (CHBC) through the guidance   and support of the authorities, Ministry of Health and the Department   of Health and State/Division, District and Township Nurse and Midwife   Association.   The MNMA operates the Community Home-Based Care (CHBC)   since 2001 to help improving the continuum of prevention, treatment   and care available to those who are in need.  Organizing, networking and capacity building among Visually   Impaired Persons in Myanmar. Visually Impaired persons in Myanmar Sector  Myanmar National Association of the Blind No. 165, Baho Road, Ward II, Maynagone Township, Yangon. Tel : 09-5102118, 09-5111969",
Myanmar women Entrepreneurs' Association,myanmar,"Initiated  and   organized  by   Prof. Daw Yi Yi Myint   in 1995    in  order  to raise  awareness of  the  role and capabilities of  Myanmar   women  who  are leading and  doing  business in the  new economy   with  social  responsibility . First president was Daw Sein Sein . To organize  the energies and enterprise of the Myanmar   women into a sisterhood with awareness and  mission  for social  and    self - development  and  with   national  and  international  focus and   visionMain Objective       - To unite and bring into focus and world attention, the role   and capabilities of Myanmar women as entrepreneurs.   - To facilitate communications and discussions and to promote   friendship and    co-operative efforts among women entrepreneurs.   - To participate in and promote activities to raise the social   economic life of Myanmar women and to  encourage environment-  friendly/ culturally sensitive businesses.   - To promote and encourage relationships with national and   international women associations, economists, professionals and    business  academia. - Conduct Continuing Nursing Education Workshops  throughout the country for the professional nurse who works at the   community and in Institutions.    - Operate Projects activities sponsored by different United   Nation Agency Such as; Consortium for HIV / AIDS,  Save the Children   (Food Security)   - Nursing Conferences are held fourth yearly where branch   associations convene at the conference and new central committee   members and Executive committee members are elected.   - Conduct annual meeting where Central committee members   are met and issues are discussed.   - A yearly get together of the retired nurses.  Financial   assistance (a certain amount) for retired nurses when in need at home   or hospital.  - Produce yearly Journals, Magazines and Calendar.   - Provide health education and awareness raising to the public   through pamphlet and health talk.   - Provide maternity shelter for service to antenatal and delivery   mothers.   - Building capacity of nursing staff and community Þ  eld workers  to enable them to apply knowledge within community context.   - Incorporation with MSI provide Sexual and reproductive   Health in (7) Townships Nursing Professions, Women  including Pregnant  Mothers,  delivery, and  post natal  mothers. Young adult and Adulth peoples.  (Reproductive Ages)   People living with HIV /AIDs and their families   Myanmar Nurse and Midwife Association Yadanapon 2nd Street,  Aye Yeik Mon (3), 10/North Ward, Thaketa  Township, Yangon, Myanmar. Tel : Head Of Þ ce 95 1 388631,  President  09 509 3765 ,       Aye Yeik Nyein  95 1 591328  LOCAL NGO DIRECTORY 73Background     Initiated  and   organized  by   Prof. Daw Yi Yi Myint   in 1995    in  order  to raise  awareness of  the  role and capabilities of  Myanmar   women  who  are leading and  doing  business in the  new economy   with  social  responsibility . First president was Daw Sein Sein . Vision/Mission    To organize  the energies and enterprise of the Myanmar   women into a sisterhood with awareness and  mission  for social  and    self - development  and  with   national  and  international  focus and   visionMain Objective       - To unite and bring into focus and world attention, the role   and capabilities of Myanmar women as entrepreneurs.   - To facilitate communications and discussions and to promote   friendship and    co-operative efforts among women entrepreneurs.   - To participate in and promote activities to raise the social   economic life of Myanmar women and to  encourage environment-  friendly/ culturally sensitive businesses.   - To promote and encourage relationships with national and   international women associations, economists, professionals and    business  academia.Main Activities      -Participation  in certain  development  activities  of  related    government departments  and the Union of  Myanmar  Chamber of    Commerce and industry.   - Establish a model village at Kayin Seik in Thanlyin  Township   and initiate  development activities, especially following an integrated   approach after a Rapid  Appraisal with MBA interns' at MWEA :  it   included ;  -  A artesian  wells for  supply of safe drinking water.   -  A building for an afÞ  liated village   middle school.  - A village Health Clinic building for community - based  health   -care( costing  K-3,300,000 donated  by 25  MWEA members )     Myanmar Women  Entrepreneurs' Association  (MWEA ) 288-290, 4th Floor, MWEA Tower, Dagon Township, Yangon,   MyanmarTel :  95-1-254 400, 389 380Fax: 95-1-254 566",
Myanmar Women's Development Association,myanmar,   ,
Myanmar's Heart Development Organisation,myanmar,   ,
Myin Thar Myo Oo Child Development Monastic Education School,myanmar,"Myanmar's Heart Development Organization is one of the   local   NGO in Myanmar which has founded in June, 2006 by eight   volunteers. This organization is based on love and peace for everyone in   Myanmar community by empowering them to perform work effectively   and efÞ ciently as a good citizenship.  Vision/ Mission   Every Myanmar Citizen has greater capacity and living in  developed  society with Love and Peace.   1. Support basic health awareness and vocational training for   every Myanmar Citizen to get higher capacity in livelihood.   2. Provide basic infrastructure for livelihood to create the   developed society.   3. Cooperate and partnership with other organizations and   community for rural development, base on love and peace. Main Goal   1. To assist the community by infrastructures so that to meet  their socio-economic needs.   2. To assist the community in the realization of their speciÞ  c  needs in terms of education to cope their life by self-reliance basis.   3. To do the Long Term and Sustainable development for   community through water and sanitation activities.   4. To improve the performance of decentralized water treatment   systems, thereby providing better protection of public health and water   resources. Main Activities   1) WASH   2) Livelihood (Farmer Field School)   3) Personal & Community Hygiene and DRR Training Primary   Poor and Vulnerable in the Communities Myanmar's Heart Development Organization (MHDO)Room 2C, Nawaratt Condo, 22/24, Sa Mone Street, Pyi Road  (East) Quarter, Dagon Township, Yangon. Tel : 09-73050913, 09-8575939 (Head Of Þ ce) Name of Leader Daw Naw Em Htoo  (President) Name of Contact Person U Aung Zaw Win  (General Secretary) Address    (Sub OfÞ  ce)  1) Laputta Sub-OfÞ  ce No.79, 5 Ward,  Phayar Road, Laputta  District, Ayeyarwaddy  Division.09-497447482) Kalaw Sub-OfÞ  ce Paw Pae Village,  Thikhaung Village  Track, Kalaw  Township, Shan State. 09-497425483) Kyauk Phyu Sub- OfÞ  ce No.131, Zay Road,  West Quarter, Kyauk  Phyu Township. 09-496415824) Thayet Sub-OfÞ  ce Anyeint Street, Shwe  Bon Thar Ward, Thayet  Township. 0949744833Emailmyanmarheart.org@ gmail.com        Website www.myanmarheart. info  LOCAL NGO DIRECTORY 77Background   On June 1993 former Sayardaw Venerable  Kusala registered the   Monastic Education School(Basic)with the Department of promotion   and propagation of the Sasana, Ministry of Religious Affairs, Government   of the Union of Myanmar, as prescribe and started providing clothes ,   shelters, education and medical care to twenty Þ  ve poor orphans from  remote border areas,states and divisions.After Sayardaw Kusala rest in   peace,the present Sayardaw Venerable Ashin Pannacara continues this   school. In 1995-1996 academic year the school was elevated to Monastic   Education Midddle School(Basic).On 7 July 2005 Sayardaw Venerable   Ashin Pannacara increased the school into Child Development Centre   and registered it in the Social  Welfare Department. To nurse and bring up the poor and parentless children all over  the country till they can depend themselves.   (a) To provide needs of the children sufÞ  ciently and take care  of them warmly .  (b) To cultivate all round development  of the children such as   physical,intellect and moral,etc   (c) To acknowledge traditional culture and protect their their   nationality.   (e) To obey the moral and morality of the human being   according to their ages.   (f) To be able to stand  by themselves by teaching and tranning   the facts needed to know for their lives.  ",
Myit Thar Mon,myanmar,   ,
Myittawardi Parahita Monastery,myanmar,"  -Relief & Development Poorest family Myimttamon134, upper Pazumtaung Road ,       Mingalartaungnyunt Towns Tel : 660466, 650978, 609113, 095083870",
Myo Oo Kat Kyaw Free Education,myanmar,"Metta Wadi (Parahita) Monastery was built in 1985 by Sayadaw   BadDamDa Sandawbarta with  (60)  native of  country. To takecare monks and children who are living in the myittawarde  parahita monastery.    To accept the children who are Þ  ve year old and   to make them  pass from the pirmary education to Institute graduate. Main Goal   To improve the standard of living, knowledge and technology   for the children.   To get on relation well with other people.  ",
Nan Oo Education and Parahita School,myanmar,"Started from 2007 , mainly for food  by sayadaw . And then  NFE   supported by learnt elders To be  critigue children Main Goal   To educate 50 children each year  ",
National Council of YMCAs of Myanmar,myanmar,   ,"National Council of YMCAs of Myanmar No.263, Maha Bandoola Street, Botataung Township,PO Box  722, Yangon Tel :  095-1-296434; 380856; 293121Fax: 095-1-298644"
National Ecumencial Chruch Fund,myanmar,"  The National Council is serving  its local YMCAs and local   people as much as possible.  The National Council has three major   Departments:    1. Human Resources Development Department  2. Community Development Department  3. Youth Department  4. Finance, Property and Personnel Department ",
Network Activity Group,myanmar,"   The poor and members or people who somehow related to   Ecumenical Church National Ecumenical Church Fund, Myanmar (ECLOF, Myanmar) No. 601, Pya Road, Kamaryaut Township, Yangon    Tel : 01 512868",
New Generation Social Development,myanmar,"Network Activities Group (NAG) has started relief and recovery   efforts, by the name of Nargis Action Group.  Later, NAG has become a   registered with the Ministry of Home Affairs, committed to the sustainable   development efforts not only in Delta, but also in regions which has been   facing food and livelihood insecurity. In fostering the visions of sustainable   development.  NAG focuses on the Governance Approach, intending to   necessary changes of various stakeholders and existing practices towards   good governance which is essential and core for the sustainable   development  and win-win solutions for all stakeholders. NAG vision is a society which is peaceful, prosperous and sustain-  ably developed. Main Goal   Our Objective is dedicatedly working for the emergence of a   society of Myanmar people which is sustainably developed and prosperous.   In so doing, the main approaches of NAG are building the capacity of the   people and community-based and civil society organizations, creating   economic opportunities, and promoting good governance in target issue   areas. By so doing, important decisions and effective implementations   towards sustainable development of poor and vulnerable people are   expected to be achieved.  ",
New Myanmar Foundation,myanmar,"New Generation Social Development Organization which has   been formed on 1 st May, 1997 with 25 members. It has been legally   recognized by Ministry 0f Social Welfare Relief and Resettlement on   February 18,2009. To prevent Childs from lose human- rights and  to promote  them to be effective future leaders. Main Goal   - To save their lives and to lift up education for  poorest children   and Orphanages  - To implement the rural area development    - To maintain the environmental   - To set up small holding regarding with agriculture and   livestock so on. - To increase food security and livelihood    - Social support   - NFE Free tuition   - To establish demo- cultivation   - Reconstruction    - Fund Raising and Awareness - Poorest children and orphanages   - Cultivators   - Disaster affected Areas New Generation Social  Development Organization No. 3/16/701,Tawwin Road, Shwepyithar Township , Yangon,  Myanmar    Tel : 092302304 - 095(1)611290",
NGO Gender Group,myanmar,"started in 2007 January in Yangon  Institute of Economics To build a strong foundation for our socity  Main Goal Giving volunteer services in  Education & Humanitarian Work Local  Public  New Myanmar FoundationF 7 , 157 / 169 36th street ( middle ),Kyuktada Tsp . Yangon Tel : 0973023795 , 8210 80606249",
Nyein (Shalom) Foundation,myanmar,   ,
Patauk Shwewar Monastic Primary School,myanmar,"Shalom Foundation was established by Reverend Dr. Saboi Jum.   The Advisory Board, policy guiding body, is composed of community and   religious leaders from different ethnic nationalities. ""Friends of Shalom""   has also been informally established with international friends, to play an   important role in advising and evaluating the activities of the foundation   helping with international support and networking. The foundation is   ofÞ cially registered as a local NGO. It head ofÞ  ce is situated in Myitkyina,  Kachin State, a Liaison ofÞ  ce in Yangon, and four regional coordinating  ofÞ ces in Karen, Kayah, Chin and Mon States. A stable and just society for all people in Myanmar Main Goal   - To support in establishing trust between all levels of society    - To support the peaceful means in achieving the desired goals   of ethnic armed groups   - To support individuals to become agents of positive change in   their communities and nation   - To promote individuals to be socially responsible people and   thus to fulÞ  ll their human dignity - Mediation Program    -  Peace Program (Peace Education and Social Integration)   -  Peace Program (Dialogue and  Governance)   - Development Program ",
Phan Tee Eain (Creative Home),myanmar,   ,
Phoenix Association,myanmar,"  :    capacity building, social business, organization development,   networking Vulnerable and poor women and youths Phan Tee Eain (PTE) (Creative Home) No. 98 , A2, Thiri (4) Street, Quarter(2), Hlaing Township. Tel : 09 730 1 7732",
Precious Stone,myanmar,   ,
Ponnya Karri Free Funeral Service Society,myanmar,"Precious Stones started on 15-8-2006 with three persons to  urban people who came to work here for cash work with self -help-  saving-group. Main Goal   -  Precious Stones exists to holistic development of local people,  prioritizing their participation and their communities.  ",
Pyi Gyi Khin,myanmar,"January 29? 2011. To do humanitarian works Main Goal   To help in funerals for poor families Giving free volunteer services for funerals local people PuNyakaRi  Free Funeral Service SocietyNo.(16), Lanthit Street, Sangyiwa Quarter, Mingalardon Tel : 09 731 49442 ? 09 511 7700",
Pyinnya Beikman Education Service,myanmar,"  HIV prevention , care and support ,  ovc Youth , MSM , SW , Mobile ,PLHA , children  Pyi Gyi KhinNo 305 , yankin Garden Housing, Sipine 1 lane, Yankin Tsp. Tel : 8551510 , 01-400261",
Radanar Ayar Rural Development Association,myanmar,"Started in 2005 , mainly for food and  then   education To be a critigue person. Main Goal   for 200 children to be primary    education on each year Teaching Non formal education 200 children each year   Pyin nya Beikman Education serviceYWA  Bo QR , YESAGYO . Tel : 062-30755 Fax: 062-30755",
Ranmarwaddy Rural Development Services,myanmar,"   RADANAR AYAR  Association for the Rural  Development in MyanmarTel : (95) -45- 45673, 09731-72619  Fax: (95) 45-45242No-40, Bogyoke Aung Sann Road, Ward-5,  Bogalay 10231,   Myanmar.",
