cause_area,city,country,description,name,website
"Medical,",Denpasar,Indonesia,"To show Love in action, to impart knowledge and to empower others. LEAP Local Empowerment Assistance Project is a non-government development organization dedicated to assisting Indonesian village communities, through poverty relief and small industry implementation.                                                                                                                     The Local Empowerment Assistance Project ( LEAP) is a multi faceted aid program outreaching to Indonesian village communities.",Local Empowerment Assistance Project,http://www.leapin.org
,Pusat,Indonesia,"Printing Online is a Web-based applications built by e-Studio Webmaster untuk memberikan dan meningkatkan pelayanan kepada pelanggan kami. Where the features and facilities provided are useful for the Order Photo Print Online, Album Own Personal Website, Places and Publications Photo Save your photo ONLINE over the Internet with the concept of technology that we call INTERNET ONLINE DIGITAL PRINTING.",E-studio,http://www.estudio.co.id
"Environment,",Bukit Lawang,Indonesia,"The Orangutan Health Project (OHP), the first of its kind for orangutans, investigates the special behaviours and ecological conditions necessary to maintain health in wild orangutans. OHP is the only ongoing, long-term research project studying orangutan health anywhere in the world.",Orangutan Health Project,http://www.orangutan-health.org
"Hunger/Poverty,Overseas Aid,",Jakarta,Indonesia,"UPC is a non-governmental organizations that work with marginalized urban communities with holistic and participatory approach and put people's interests as top priority.Therefore, marginal urban communities and is the subject of the main stakeholders who have access and control over all activities undertaken.",Urban Poor Consortium,http://www.urbanpoor.or.id
,Jakarta,Indonesia,"The Indonesian Forum for Environment (WALHI - Friends of the Earth Indonesia) is the largest forum of non-government and community-based organisations in Indonesia. It is represented in 25 provinces and has over 438 member organisations (as of June 2004). It stands for social transformation, peoples sovereignty, and sustainability of life and livelihoods. WALHI works to defend IndonesiaÉ??s natural world and local communities from injustice carried out in the name of economic development.",Walhi,http://www.walhi.or.id
,Jakarta,Indonesia,WHO Indonesia Country Office established a wide range of collaborative programmes with the government of Indonesia. The central goal of collaboration is the attainment of the highest level of health by the population and has been playing an important role in national health development.,Who Indonesia,http://www.who.or.id
"Environment,",Jakarta,Indonesia,"Indonesia is very rich in terms of terrestrial and marine biodiversity, yet so many Indonesians live in poverty, our cities are some of the most polluted in the world, year after year our forest go up in flames, and in the monsoon seasons so many people must suffer the woes of floods and landslides, often fatal.",Wwf Indonesia,http://www.wwf.or.id
"Environment,",Jakarta,Indonesia,"YPB, Yayasan Pembangunan Berkelanjutan or Foundation for Sustainable Development was established in line with the spirit of Rio Summit 1992, which has committed to sustainable development. Sustainable development as a new direction of development has included the aspect of social justice and environmental sustainability as well as economic growth. The founders of YPB considered that Indonesia needs to adapt sustainable development as its new development directions to ensure that Indonesia will decent life to its people for the existing generation and the generation to come.",Yayasan Pembangunan Berkelanjutan,http://www.ypb.or.id
,Jakarta,Indonesia,Our missions are:,Yplhc Papua,http://www.yplhc.org/
,Jawa Timur,Indonesia,"LAKPESDAM NU Jombang recognises human beings on two different levels, as individuals and as community members. Individually, the human character is composed of unique thoughts, beliefs, habits and traditions which distinguish it from other community members. Collectively, individuals function and interact as community members on a local, national and global scale. LAKPESDAM NU Jombang seeks to address the development of human beings on both these levels.",Lakpesdam Nu Jombang,http://www.lakpesdamjombang.org
,Yogyakarta,Indonesia,"LSPPA is a non government organization (NGO) that cares at women and children problems. Our goal is to help establishing democratic society and free from all the form of discrimination, especially gender discrimination.",Lembaga Studi Dan Pengembangan Perempuan Dan Anak,http://www.lsppa.org
"Religious,",Yogyakarta,Indonesia,"Pusat Rehabilitasi YAKKUM (YAKKUM RehabilitationÉ??YAKKUM Craft Centre is a non-governmental, Christian social foundation, a subsidiary body of YAKKUM (Christian Public Health Foundation). YAKKUM Rehabilitation-YAKKUM Craft Centre provides rehabilitation for children and young adults with physical disabilities.",Pusat Rehabilitasi Yakkum,http://www.rehabilitasi-yakkum.or.id
"Hunger/Poverty,Overseas Aid,",Kalasan,Indonesia,"ELSPPAT is a non-governmental organization that was established independently in Bogor on 28 January 1996 with special attention on terjaminnya the implementation of sustainable agricultural development and enforcement of the rights of farmers, women and children in rural communities as the most vulnerable in development.",Elsppat,http://www.elsppat.or.id
"Environment,",Kalimantan,Indonesia,"The goals set by CSF to reach, in carrying out the mission, are as follows:",Center For Social Forestry,http://www.csf.or.id
"Environment,Research,",Bandung,Indonesia,"Lablink is a non-profit, non-government, research and consulting organization that promotes equitable and sustainable development, since 1 January 2000",Lablink,http://www.lablink.or.id
"Environment,",Kalimantan,Indonesia,"Yayorin (Yayasan Orangutan Indonesia) is a non-governmental organization (NGO) whose main activities focus on research, education and conservation of orangutans and other wildlife, as well as the tropical rainforests as their habitats. Yayorin was established in July 4th, 1991, at the city of Pangkalan Bun, Central Kalimantan (Indonesian Borneo) and believes in the vision of É??the preservation of the forest for the welfare of human beings today and of next generations to come.É?ù",Yayasan Orangutan Indonesia,http://www.yayorin.org
,Jakarta,Indonesia,"Dana Mitra Lingkungan or DML (Friends of the Environment Fund) was founded in 1983 under the initiative of a group of prominent key opinion-formers, public figures and captains of industries. DML provides a forum for Indonesian industry leaders to look into the environmental effects of their operations and find alternative solutions to the difficult challenges of eco-friendly development. DML's centrist approach strives to promote environmentally-friendly methods that improve a company's bottom line while also improving living standards.",Dana Mitra Lingkungan Dml,http://www.dml.or.id
,Jakarta,Indonesia,"Information Flow Studies Institute (ISAI) is a non-governmental organizations based in Jakarta focusing on activities that include, among other studies, advocacy and campaigns to encourage the freedom of the press, freedom of thought and freedom of expression in Indonesia and Southeast Asia.",Institut Studi Arus Informasi,http://www.isai.or.id
,Jakarta,Indonesia,"The Nurani Dunia Foundation is an Indonesian organization engaged in humanitarian assistance, education and peacebuilding programs in Indonesia. Nurani Dunia was founded by a group of concerned scholars and journalists in 1999 when there was a need for non-governmental humanitarian assistance to victims of social conflict in Indonesia.",Nurani Dunia Foundation,http://www.nuranidunia.org
,Jakarta,Indonesia,"Founded at the end of the year 2000, Tifa's mission is to promote an open society in Indonesia which respects diversity and upholds the rule of law, justice and equality. An open society in Indonesia where the people, government and the private sector advance individual rights particularly the rights and opinions of women, the minority and other marginalized groups, support and nurture solidarity as well as good governance.",Yayasan Tifa,http://www.tifafoundation.org
,Jakarta,Indonesia,Our missions are:,Indonesian Stove Network,http://www.tungku.or.id
"Medical,",Jakarta,Indonesia,"UNA is a permanent consortium of four Italian non-governmental organisations, which have been working together for more than fifteen years. The Regional office for Eastern Africa is located in Nairobi, Kenya, from where UNA manages all projects in the region. The partners NGOs have projects in four countries: Kenya, Somalia, Sudan, and Tanzania.",Unit Of Peace Development Aid,http://www.una.org
"Environment,Hunger/Poverty,Medical,Overseas Aid,",Jakarta,Indonesia,"UNDP is the UNÉ??s global development network, an organization advocating for change and connecting countries to knowledge, experience and resources to help people build a better life. We are on the ground in 166 countries, working with them on their own solutions to global and national development challenges.",Undp Indonesia,http://www.undp.or.id/
"Hunger/Poverty,Overseas Aid,",Jakarta,Indonesia,"The Office of the United Nations High Commissioner for Refugees was established on December 14, 1950 by the United Nations General Assembly. The agency is mandated to lead and co-ordinate international action to protect refugees and resolve refugee problems worldwide. Its primary purpose is to safeguard the rights and well-being of refugees. It strives to ensure that everyone can exercise the right to seek asylum and find safe refuge in another State, with the option to return home voluntarily, integrate locally or to resettle in a third country.",Unhcr Indonesia,http://www.unhcr.or.id
"Human Rights,Overseas Aid,",Jakarta,Indonesia,"Uni Sosial Demokrat is a political Non-Government Organization in Indonesia which acts as a democratic society partner to all political as well as non-political oriented groups, which takes care and has a willing to fight for the realisation of democracy based on the valuation of Human Rights, Freedom, Justice and Equality for all citizens in all area of life.",Uni Sosial Demokrat,http://www.unisosdem.org
,Jakarta,Indonesia,"OnTrackMedia Indonesia (OTMI) is a local NGO that specializes in public awareness campaigns and media training. Our team is made up of seasoned TV and radio journalists and producers that work to international standards. Our combination of BBC and European consultants, with extensive experience in Indonesia and highly trained Indonesian professionals offers quality results.",On Track Media Indonesia,http://www.ontrackmedia.or.id
,Jakarta,Indonesia,Our mission is to be a global environmental think tank to form a sociaty that self-governs and secures the quality of its natural resources and environment while pursuing socio-economic well-being that is equitable and democratic.,Pelangi,http://www.pelangi.or.id
"Children,Educational,",Jakarta,Indonesia,"Village Integrated Service or better known rapidly, is the institution of the Christian interdenominasi stood since 1987 as a response to a call to build villages in Indonesia through education, health, economic and spiritual.",Pesat,http://www.pesat.org
"Environment,",Jakarta,Indonesia,"Borneo Orangutan Survival International is the umbrella organisation for BOS affiliates and supporting organisations worldwide. The BOS affiliates (National Member Organisations) are all supprting the projects carried out and managed by BOS Foundation in Indonesia. In respect to the need for financial support to run these projects, BOS International is supporting our National Member Organsiations with tools to conduct fundraising. We also support our members and partners, with news and updates from BOS Foundations projects in Indonesian Borneo, Kalimantan.",Borneo Orangutan Survival Foundation,http://www.savetheorangutan.info
"Hunger/Poverty,",Jakarta,Indonesia,"The South-East Consortium for International Development (SECID) is a 501 (c)(3) non-profit organization formed in 1977 to enable our member institutions to provide research, training, and extension to developing nations.",South East Consortium For International Development,http://www.secid.org
,Jakarta,Indonesia,"Declared on 28th July 2000 in Bogor, KuIS is a non governmental organization that plays an active role in advocacy, health promotion and network development in local, national and also global level to achieve Healthy Indonesia 2010. As an independent body, KuIS has a network involving NGOs, mass organizations, media, academician, private sectors, professional bodies, and sector groups. It has also established partnership with the Department of Health, BKKBN, and Ministry for Women Empowerment.",Koalisi Untuk Indonesia Sehat/coalition For Healthy Indonesia,http://www.koalisi.org/
,Jakarta,Indonesia,"KOWANI federation is based on a national volunteer organization of women born in 1928 year, located in Jakarta, the capital of the republic of Indonesia. Organisasi ini meraih penghargaan sebagai salah satu untuk perkembangan mekanisme pergerakan nasional wanita baik pertumbuhan dalam lingkup secara nasional, regional, dan internasional. Organization is awarded as one of the mechanisms for the development of the national women's movement both in the scope of growth in national, regional, and international.",Kowani,http://www.kowani.or.id
,Jakarta,Indonesia,LEAD is an international non-profit organisation with a fast growing network of 1800 leaders in more than 90 countries. Our shared mission is to inspire leadership for a sustainable world.,Lead Indonesia,http://www.lead.or.id
,Jakarta,Indonesia,"Research, Education and The Economic and Social (LP3ES) is a Non-Government Organization (NGO), non-profit and autonomous.This organization was founded by a group of student scholars and activists on 19 August 1971. Establishment dilatarbelakangi ideas about the need for alternative thinking in building the nation.","Institute For Economic And Social Research, Education And Information",http://www.lp3es.or.id
"Medical,",Jakarta,Indonesia,"The Foundation for Mother and Child Health (FMCH), known locally as Yayasan Balita Sehat, began as a support group for english speaking mothers and has grown into an organisation that provides support and educational programmes for impoverished Indonesian mothers and their children. Our goal is to eliminate malnutrition and the causes of poverty in the communities we serve. In 2001 we opened a mother-and-child centre in South Jakarta and became a registered charity under Indonesian law.",The Foundation For Mother And Child Health / Yayasan Balita Sehat,http://www.motherandchildhealth.org
,Jakarta,Indonesia,"The Friedrich-Ebert-Stiftung (Stiftung is the German word for foundation) is a non-governmental, non-profit organization committed to the principles and basic values of social democracy and the labour movement.",Friedrich-ebert-stiftung Indonesia,http://www.fes.or.id
,Jakarta,Indonesia,"Community Participation Development Forum in cooperation with the National Democratic Institute for International Affairs (NDI) for the ToT training PBET Phase I in the Hotel Abadi Asri, Bandung Setiabudhi Road, 1-7 October 2006.",Forum For Community Participation,http://www.fppm.org
,Jakarta,Indonesia,?,Institute For Global Justice,http://www.globaljust.org
,Jakarta,Indonesia,"The Indonesian Vegan Society exists to promote a lifestyle that is free from animal products. The reasons for adopting veganism are many and include health, compassion, preserving natural resources, and making better use of water and farm lands.",Indonesian Vegan Society,http://www.i-v-s.org
"Educational,Research,",Jakarta,Indonesia,"Indonesian HR Professionals Society, abbreviated as IHRP, is a not for profit organization of human resource professionals in Indonesia, founded in October 1999. It is a further development of the IHRP e-forum hosted at eGroups.com",Indonesian Hr Professionals Society,http://www.ihrpsociety.com/
"Animal,Environment,",Kumai,Indonesia,Friends of National Parks Foundation (FNPF) is a local non-profit organisation working to preserve IndonesiaÉ??s wildlife and its habitat for her people and for the world.,Fnpf Borneo- The Friends Of The National Parks Foundation,http://fnpf.org
,Surabaya,Indonesia,"TUNAS GREEN environmental organization is a non-profit, kids & young people do actions for a better earth that bermarkas in Surabaya. TH was from 5 of the Scouts from East Java to Australia in March 1999. Since then, the TH hold consistent in its efforts simple and concrete to help the environment better.",Tunas Hijau Club,http://www.tunashijau.org/
"Environment,",Kuta,Indonesia,"Our focus areaes are environmental management, cleaner production, pollution control & prevention, sustainable development  issues.",Yayasan Bali Fokus,http://www.balifokus.org
"Medical,",Kuta,Indonesia,"YKIP's founders were business people, doctors, officials and volunteers who assisted during the 2002 bomb crisis. It soon became evident that in order to accommodate the tons (literally) of medical supplies and monetary donations from well-wishers around the world, a transparent and responsible organization needed to be established. As many of our founders are members of Rotary International, we were able to establish YKIP as such an organization in the eyes of potential donors. We received endorsements from the Australian Ambassador to Indonesia, the diplomatic community in Bali, and the Governor of Bali. Our members come from a variety of faiths and from many different nationalities. The founders set up and helped to organize the Bali Recovery Group which coordinated the work of the NGOs in the first six confusing months after the blast. All of YKIP's projects in 2002 and 2003 were related to the direct victims of the blast. However, most of their needs are now provided for. Based on the success of our initial projects in 2003 (Children's Education Fund, MREC or Medical Resource and Education Centre and the Wayang Kulit Trauma Counseling), YKIP has turned its focus to Health and Education issues--those projects that can improve the lives of the poor who live on Bali. YKIP's role is to raise money for targeted projects on Bali and provide easy access for institutions and individuals to respond to as well as a trustworthy and transparent system to work with.","Yayasan Kemanusiaan Ibu Pertiwi Of Bali, Indonesia",http://www.ykip.org
"Environment,",West Java,Indonesia,"Since established in 1998, Conservation of Natural Nusantara (Konus) have placed themselves as non-government agencies concerned in the preservation of wild hidupan and community forests. In general, Konus doing business in a variety of animal and habitat protection, and try to create a worthy habitation for wild hidupan in Indnesia. Development of awareness that will start from the city to the forest, because both are two things that affect each other and not separated.",Konservasi Alam Nusantara,http://www.konus.or.id
"Disaster Relief,Environment,",West Jakarta,Indonesia,URDI vision is:,"Urdi , Indonesia",http://www.urdi.org/
"Environment,",Prigen,Indonesia,"Kaliandra is an education and training center and responsible tourism destination resort, open year-round (closed only for Idul Fitri celebration), encapsulated in 16 hectares of forest, driven by biodiversity conservation, environmental and cultural understanding and utilisation of local employment and resources. As an education center, we offer many programs to our surrounding poorer communities emphasizing, promoting and training on É??good practice' of agro-forestry and agriculture. Entrepreneurial skills and business management, responsible/ sustainable/ eco-tourism and hospitality product development and English-speaking capability are also very important aspects which we teach. In addition to these community programs, we are also a provider of É??outward bound' style leadership and team-building activity programs taught by our trained team leaders É?? always with an environmental and cultural theme É?? educating groups of up to 120 people.",Kaliandra S.e.j.a.t.i,http://www.kaliandrasejati.org
"Environment,",Sumatra,Indonesia,"Eof is a coalition of three local environmental organizations in Riau, Sumatra, Indonesia : WWF Indonesia's Tesso Nilo Programme, Jikalahari (Forest Rescue Network Riau) and Walhi Riau (Friends of the Earth Indonesia). It was launched in December 2004 to investigate the state of Riau''s forests and the players who influence it.  Eyes on the Forest aims to become a clearinghouse for information on forest conservation in Riau, Sumatra and to serve as a tool for local, national, and international NGOs, companies, governments and any other stakeholders who are willing to take action to conserve forests and protect the rights of the local people who rely on them.   The matter is urgent. Natural forests in Riau are being cleared faster than at any time in history. In 1990, 63% of Riau''s mainland was covered by natural forests. In July 2004, 36% remained. Forest fires, forest conversion, and logging are causing severe damage to critical ecosystems. Often the activities are illegal. Sometimes the rights of local communities are violated in the process.",Eyes On The Forest,http://eyesontheforest.or.id
"Hunger/Poverty,Overseas Aid,",Tangerang,Indonesia,BEST is a Non-Government Organization (NGO) based in Indonesia. Our objective is to improve the prosperity of underprivileged groups in Urban Indonesian society. Most of the programs we run are located in Urban Settlement areas where sanitation and environmental conditions are often poor.,Bina Ekonomi Sosial Terpadu,http://www.best.or.id
"Educational,Research,",Surakarta,Indonesia,"Duta Awam Foundation (called Duta Awam or YDA Solo) is a non profit organization which was born in March 1996, at Semarang, Central Java, Indonesia. Founded by activists and journalists, during the time Duta Awam be a resource for poor farmers to learning and doing advocacy through Advocacy Based on Participatory Monitoring.",Yayasan Duta Awam,http://www.dutaawam.org
"Hunger/Poverty,Overseas Aid,",Sumatra,Indonesia,Heifer Project International is one of many non governmental organization involved in rural development around the world. It works at the grass-root by providing animals and training to organized local groups that request assistance.,Heifer International South Sumatra - Indonesia,http://www.heiferindonesia.org
"Environment,",Sumatera Utara,Indonesia,KKSP is a Non Governmental Organization established in 1987. KKSP Foundation concerns about children in difficult situation.,Kksp Foundation,http://www.kksp.or.id
,Meulaboh,Indonesia,"Foundation Defenders Farmers and Fishermen usually abbreviated or Board is a non-profit institutions engaged in environmental advocacy and empowerment of farmers and fishermen. Board was established in Meulaboh, Aceh in Aceh Barat district on 3 October 1996 by activist groups with a variety of disciplines who have a concern for environmental issues and the empowerment of farmers and fishermen, regardless of differences in race, gender, religion, or political faction.",Fishermen And Farmers Defender Foundation,http://papanaceh.org
"Environment,",Palu,Indonesia,"SMK Tunas Harapan Pati also feel there is a climate change world of late. Climate change is happening because of the effects of global heating, which is still a hot issue. From some of the causes of Global warming, the SMK Tunas Harapan Pati had participated in the reforestation world, although only a few percent. In this portal, CMS, it will inform the public about what is done to this esteemed school environment. Pati expectancy shoots CMS also has internal programs' Green Schools' school that became the motivation to make this beautiful and comfortable in it. CMS also has several programs that have many benefits, among others, to preserve the natural, clean the school environment, and increase the income of the school.",Tunas Harapan Foundation,http://www.tunasharapan.org
"Children,",Solo,Indonesia,"The Gunungan Orphanage and Relief Center was established to provide a safe home for the orphan, abused, destitute and abandoned children in and around Solo, Central Java, Indonesia.",Gunungan Children's Refuge,http://www.gunungan.org
"Overseas Aid,",Solo,Indonesia,"Founded in 2006 in Solo, Central Java, Indonesia, Yayasan Gunungan provides a range of social services to various target groups within the local community. For orphaned and neglected children, Yayasan Gunungan runs a ChildrenÉ??s Refuge in the city center providing them with a safe and loving home, together with a variety of extra-curricula activities. Plans are underway to hopefully build and relocate to a small Children's Village in the countryside just outside the city. A rehabilitation center called Sehati, or One Heart, has also been established for young women and children who are victims of commercial sexual exploitation, trafficking and abuse to help rebuild their lives. In addition, Yayasan Gunungan also runs a Charity Shop in Solo, which sells items donated free by local businesses, to help raise funds for the organisationÉ??s activities, while providing training and employment opportunities to young people from disadvantaged backgrounds. With these initiatives, Yayasan Gunungan is dedicated to supporting and educating those suffering the worst hardship and distress, by giving them opportunities to enhance their lives and thereby help themselves.",Yayasan Gunungan Orphanage And Relief Center,http://www.gunungan.org
"Children,Hunger/Poverty,",Rantepao,Indonesia,"In the summer of 2004, I journeyed to Tana Toraja (Torajaland), as part of my internship in Hotel management. I also hoped to do some volunteer work.  I was put in touch with a local orphanage and soon I realized that they could use some help with their essential work.",Pak Orphanage Project Rantepao,http://www.pakorphanage.org
"Arts & Culture,Community Service,Environment,Human Rights,Hunger/Poverty,",Semarang,Indonesia,An international networking NGO (Non-GovernmentalOrganization) to promote international voluntary service(especially international workcamps) in Asia/ Pacific,Network For Voluntary Development In Asia,http://www.nvda-asiapacific.org
,Selatan,Indonesia,"Coalition Anti debts (You) is a coalition of civil society across Indonesia which consists of various elements of society (farmers' organizations, students, environment, women, indigenous peoples, labor, NGOs, religious organizations, academics, and others) and individuals who are concerned with issue debt abroad.",Koalisi Anti Utang,http://www.kau.or.id
,Bali,Indonesia,Foundation for Environmental Education Center Bali (Bali PPLH) is a non-government organizations engaged in environmental education and community empowerment. Bali PPLH programs implemented to increase public knowledge about the environment with various aspects of them.,Pusat Pendidikan Lingkungan Hidup,http://www.pplhbali.or.id
"Human Rights,Research,",Selatan,Indonesia,"PATTIRO is a non-government organization established in April 17, 1999. PATTIRO exists to promote and create good governance and develop public participation in Indonesia, particularly at local level. Public service improvement, planning and budgeting system development, government apparatusÉ?? and local legislativesÉ?? capacity strengthening, press capacity strengthening and citizen empowerment are PATTIROÉ??s focus of attention.",Pusat Telaah Dan Informasi Regional-center For Regional Information And Studies,http://www.pattiro.org
"Environment,",Selatan,Indonesia,"TERANGI (Terumbu karang Indonesia) , The Indonesian Coral Reef Foundation , is a non profit organization. TERANGI was established in 1999 and is the first non-goverment organization in Indonesia to focus exclusively on coral reef conservation issues.",Terangi,http://www.terangi.or.id
,Selatan,Indonesia,"Institut Titian Perdamaian (Peace Building Institute-PBI) is a non profit organisation which founded on May 14th, 2003, initiated by a congregation of activist and intellectuals who share a common interest in peace buildings, law & justice and the promotion of non-violence culture.",The Peace Building Institute,http://www.titiandamai.org
"Human Rights,",Selatan,Indonesia,"Uplift International's mission is to improve the well being of the worldÉ??s most vulnerable populations by promoting the universal human right to health through education, advocacy, and humanitarian efforts.  Uplift International views health through a human rights lens and human rights through a health lens.",Uplift International Jakarta,http://www.upliftinternational.org
,Selatan,Indonesia,"We are the international movement of peasants, small- and medium-sized producers, landless, rural women, indigenous people, rural youth and agricultural workers. We defend the values and the basic interests of our members. We are an autonomous, pluralist and multicultural movement, independent of any political, economic, or other type of affiliation.",La Via Campesina,http://www.viacampesina.org
"Arts & Culture,Children,Environment,",Manado,Indonesia,"Formed in mid 1998, the North Sulawesi Watersports Association (NSWA) has adopted as its primary goal the promotion of North Sulawesi as a world-class marine tourism destination through fostering high standards of service and safety and especially by promoting more environmentally-friendly watersports activities within the Bunaken National Park, Lembeh Strait and all marine areas of the North Sulawesi province. The NSWA strives for environmentally-responsible and socially-acceptable common solutions to problems that affect not only the marine tourism sector, but also those which generally effect the health of North Sulawesi's valuable marine ecosystems and thereby the local communities which also rely upon them for food and employment.",North Sulawesi Water-sport Association,http://www.divenorthsulawesi.com
"Arts & Culture,",Sulawesi Utara,Indonesia,"As a national nonprofit organization established in 1999 to benefit a wider community, KELOLA works directly with the Indonesian arts communities in response to the needs by providing access to learning opportunities, funding, and information through support from individuals, foundations, and corporations.",Kelompok Pengelola Sumber Daya Alam Kelola,http://www.kelola.or.id
"Environment,",Riau,Indonesia,"JIKALAHARI was founded to push the form of justice and sustainable of forest management in Riau by respect values and principle which is: Justice, Independency, Democracy, Objective, Transparency, Participative, nor affiliation to the political party, Human Right, nor affiliation with the environment destruction institution, law supreme, supporting the local wisdom in nature source management, not work by the fund of foreign debt and institution or organization that destruction the environment, take a side on the marginal society and Indigenous people of Riau.",Jikalahari,http://www.jikalahari.org
"Environment,",Telanaipura,Indonesia,"WARSI is an organizational network established in January 1992, with membership made up of twelve NGOs from four provinces in Sumatra (South Sumatra, West Sumatra, Bengkulu and Jambi), whose focus is biodiversity conservation and community development. But since July 2002, WARSI was amended become Indonesian Conservation Community - WARSI. The new name is aimed to create an obvious justification of what WARSI has been fighting for is conservation.",Kki Warsi,http://www.warsi.or.id
"Human Rights,",Salatiga,Indonesia,"LSKaR (Institute for Studies Reflection and Action for Equality - The Institute for Equality Action and Reflection Studies) is a non-government organizations (NGOs), a non-profit, independent, was founded by a group of activists with various backgrounds church, boarding and student activist movement on 4 December 1997 in Olongapo. Registered in the notary with the Act No. 13, dated 19 September 1999. Registered in the State Court of Olongapo date, 29-09-1999, since the establishment, different LSKaR have been doing business for strengthening the community of citizens (civil society) through the study and participatory research, organizing, advocacy (litigacy and non-litigacy), popular education, and public campaign. Business is done for the strengthening of community residents in the process of democratization for the implementation of democratic social change and egaliter. All the above activities designed and implemented based on the perspective of gender, human rights, and concern for the environment.",Lskar,http://www.lskar.org
"Children,Educational,",Ubud,Indonesia,"The Bali Children's Project (BCP) is dedicated to improving the lives of disadvantaged young people in Bali through education.   It is founded on the belief that as children are empowered to realize their potential, they will enrich their villages and contribute to the world we all share. By providing opportunities for education, we are giving children the chance for a better tomorrow, while lightening the burdens of today.",Bali Children's Project,http://balichildrensproject.free.fr/
"Community Service,Environment,Overseas Aid,Research,",Ubud,Indonesia,"Yayasan IDEP is an Indonesian non-profit foundation that was formally established in Bali, Indonesia in 1999, at the height of IndonesiaÉ??s economic crisis. IDEPÉ??s objective was to respond to urgent needs for sustainable food production and resource management, while conveying the importance of environmental education for sustainable living.",Idep Foundation In Bali,http://www.idepfoundation.org
"Human Rights,",Selatan,Indonesia,"ELSAM, the institute for Policy Research and Advocacy was establishes in 1983 in the spirit of encouraging the development of a democratic political order, by means of strengthening civil society through advocacy and promotion of human rights in Indonesia. Having worked for more than six years on promotion of responsibility mechanism of gross human rights violation, civil and political rights in particular, in the few years ahead ELSAM will initiate more advocacy works to encourage the development of accountability mechanism of economic social and cultural rights violations.",Lembaga Studi Dan Advokasi Masyarakat,http://www.elsam.or.id
,Selatan,Indonesia,"The Indonesian International education Foundation (IIEF) is an Indonesian organization in cooperation with the Institute of International Education (IIE), the most experience and largest private non-profit educational exchange organization in the world.",Institute Of International Education Iie Indonesia,http://www.iief.or.id
"Community Service,Research,",Selatan,Indonesia,"Institute for Policy and Community Development Studies (IPCOS) is a Jakarta based Indonesian Non Government Organization. The Institute was established on 13 January 1995 by several young scholars and intellectuals who share a common interest in policy studies, development and the civil society strengthening.",Institute For Policy And Community Development Studies,http://www.ipcos.or.id/
,Selatan,Indonesia,"JATAM (Mining Advocacy Network) is a network of non-governmental organizations (NGO) and community-based organizations (CBO) working on issues concerning human rights, gender, the environment, indigenous people and social justice in relation to the mining, oil, and gas industries.",Indonesia Mining Advocacy Network,http://www.jatam.org
"Overseas Aid,",Bali,Indonesia,"The Bali Animal Welfare Association (BAWA) is a not-for-profit charity registered in Indonesia. Its mandate is to relieve suffering, control the population and improve the health of Bali's street dogs while educating the local population in animal welfare.",Bali Animal Welfare Association,http://bawabali.com
"Overseas Aid,",Bali,Indonesia,What is UHA?,The Ubud Hotels Association,http://ubudhotelsassociation.com
"Hunger/Poverty,Overseas Aid,",Bali,Indonesia,"The East Bali Poverty Project (EBPP) is a non-profit organisation established in 1998 by a British resident of Bali after an appeal for help by an isolated 7,200Ha mountain village, forgotten by time and progress. When interviewed in November 1998 to determine their priorities if EBPP could help, over 1,000 families requested children's education as a foundation for a better future. An inspiring and productive collaboration then began with the most disadvantaged communities. With the philosophy of É??helping people to help themselvesÉ?ù, all programmes are designed as models that can be replicated, and executed by local people who directly transfer knowledge and appropriate technology within their communities.",East Bali Poverty Project,http://www.eastbalipovertyproject.org
"Hunger/Poverty,Overseas Aid,",Vientiane,Laos,UNDP focus is on helping Lao PDR build and share solutions to these major challenges:,United Nations Development Programme Undp Laos,http://www.undplao.org
"Children,Community Service,Educational,Medical,",Vientiane,Laos,"VFI work to holistically address issues affecting daily life, through local leadership development, integrated training and support in the sectors of education, health care, agriculture, natural resource management, child protection and empowerment and legal protection, and with focus on marginalized communities.",Village Focus International Laos Vfi,http://www.villagefocus.org
"Human Rights,Medical,",Vientiane,Laos,"In Lao PDR, UNFPA works with the Government and international non-governmental organizations to support programmes that help women, men and young people to:",Unfpa Lao,http://lao.unfpa.org
"Educational,Hunger/Poverty,Medical,",Vientiane,Laos,"The Social and Economic Developers Association (SEDA) was created to bring sustainable economic and social change to the disadvantaged people of Laos. We are a non-profit, non-government, Laos-based organization, dedicated to improving education and health, and providing economic opportunities for a long-term solution to poverty - and a brighter future for the Lao PDR.",Social & Economic Developers Association,http://seda-laos.org
"Arts & Culture,",Luang Prabang,Laos,The GreenHeart Foundation is dedicated to Lao cultural preservation through the promotion of Lao textile arts. It is our goal to economically and socially benefit Lao rural mountain artisans and thereby contribute to the wider community.,The Greenheart Foundation Laos,http://www.GreenHeartFoundation.org
"Educational,Hunger/Poverty,",Champasak,Laos,"Sustainable Laos Education Initiatives Inc. is a Canadian registered non-profit organization that fundraises and runs environmental education projects in remote rural areas in Lao PDR. We accept poor, eager youth, who want to develop themselves and their communities in socially and environmentally sustainable ways, to come and board with us for 1-year, learning programs. We also have short, intensive workshops on issues relavent to the community.",Sustainable Laos Education Initiatives,http://www.sustainablelaos.org
