,address,cause_area,contact_number,contact_person,description,email,name,website,,
351,"CO-9-GF Kompleks Masyarakat Penyayang, Jalan Utama, 10450 Pulau Pinang",Social Enterprise,+604 2282 758 / +604 2295 648,Mr. Bertie Tye- General Manager,"Who are we

Eden Handicap Service Centre is a non-profit charitable organisation (NPO) which provides various free services to disabled individuals. The centre is not related to any business groups, enterprises or companies.
It was started in 1991 with a simple concept: to help the disabled come to terms with their disabilities, to engage them in fellowship with other disabled and able-bodied friends, and to provide adequate training to place them in suitable jobs.
The centre’s focus is on the physically and mentally challenged children and young adults from diverse backgrounds, regardless of race or religion.
Our services

Community Services: (Tel: 04-2282758)
Children Hostel: 1 & 3 Jalan Taylor, 11600 Penang (Tel: 04-8263094)
The Eden Day Care and Hostel opened in 1994. It was established with the aim to ensure that disabled children have the chance to obtain education. The hostel supports the children’s’ academic development by assisting them in their fields of study. Those who are mentally challenged are sent to special schools whereas those physically disabled will attend a normal government school. They are also taught in basic living skills which help them to be independent. A part-time physiotherapist is engaged to exercise with the children. The hostel also helps the the children to seek medical treatment at the Penang General Hospital.
Training|Sheltered Workshop|Women Centre|Hostel: 1 Jalan Sir Hussein, 11600 Penang (Tel : 04-8260717)
The training unit provides programs for the intellectually disabled including self-help skill, vocational training, sheltered workshop and job placement that focus on the individual to achieve a normalized, independent life to the fullest extent possible. To date, jobs have been successfully secured for 30 disabled women and 25 disabled men.
Craft and Souvenir: 1 Jalan Sir Hussein, 11600 Penang  (Tel : 04-8285285,04-2282758)
Handicraft classes run on ad-hoc basis and has been active since 1993 with trainees who were physically disabled. The students are trained to create useful skills in order to generate income.
Recycling: 102 Lengkok Kampung Jawa 2, 11900 Bayan Lepas, Penang(Tel/Fax : 04-6442912)
The recycling workshop started in 1997 with the vision to encourage the disabled become self-confident and independent. The recycling unit provides employment opportunities for the physically and intellectually disabled. The training takes on a simple ?Buddy System? concept, that is the intellectually challenged under the supervision of the physically disabled.
Cleaning Service:
Create employment for people with disabilities. Cleaning services provided to corporate companies, factories, offices, etc with reasonable price.
Recreation/Fellowship:
Organises outings, get-togethers, fellowship for the disabled to socialise, interaction, and provide opportunities for the disabled to see the outside world.
Number of Paid Staff: 52 (Abled and Disabled Staff)
Sources of Funds: Donations
Estimated Monthly Expenditure: RM70,000
Our needs

Volunteers are very welcome. If interested please contact Eden for more information
Non-cash donations:
– Groceries and household items
– Other appliances
Eden also helps the disabled to obtain cleaning jobs, to help them with their finances. These disabled cleaning staff are trained and reliable. Wherever possible, please use this service which they have in the Penang area. Please call the Eden office for more information.
Our activities
Create employment for trained disabled people. Cleaning service for office or residential in Penang please contact:
Donation in form of financial aid to information as followed:-
Name of account holder:
Eden Handicap Service Centre Berhad
CO-9-GF Kompleks Masyarakat Penyayang
Jalan Utama
10450 Penang
tel: 04 228 2758
fax: 04 229 6951
Cheques should be made payable to
Eden Handicap Service Centre Bhd.
Name of Bank:     CIMB Bank Berhad
Address of Bank:
Lot 33-G-08
Prangin Mall
Jalan Dr. Lim Chwee Leong
10100 Penang, Malaysia
Current Account No.:     07130004346058
Swift Code:     CIBBMYKL
(for foreign donors only)
Eden’s Email:     edenhdc@yahoo.com",edenhdc@yahoo.com,Eden Handicap Service Centre Bhd,http://www.edenhandicap.org,,
352,"Voice of the Children (M) Sdn. Bhd. 31C (Third Floor) Jalan 52/1 46200, Petaling Jaya Selangor, Malaysia",Social Enterprise,+603 2094 0078 / +603 7960 4776,Millicent Bogert  / Sharmila Sekerajasekaran,"Who are we

Voice of the Children (VoC) was founded in 2008 to advocate on issues affecting children. VoC recognizes that the welfare and protection of every child in Malaysia can only be realised through the adoption, implementation and enforcement of the Convention of the Rights of the Child in Malaysia. As part of its core mission, VoC advocates for law and policy reform to ensure that every child in Malaysia is protected from all forms of abuse and is no longer at risk of violation.
VoC was established in order to fill a gap in existing children’s services, which traditionally have specialised in caring for children by supplying food, shelter, education and other direct services. By focusing instead on legal and policy issues affecting children, VoC occupies a distinct niche in Malaysia. We aim to be a resource for both service organizations and the legal community by providing information and advocacy on laws, policies, and treaties that impact children.
Web: http://www.voc.org.my/
Facebook: http://www.facebook.com/voiceofthechildren

Our needs

They welcome volunteers, particularly:
Please email them and tell them what you might want to do.
VoC is also looking for donations of office equipment and supplies, particularly the following items (in good, working condition, please):
Voice of the Children gratefully accepts donations of both time and money.
To make a monetary donation, please find information on their Donations and Contributions page.
Finally, if you are interested in donating money or organising a fundraising event, please email them or contact them by phone.",sharmila@rim.org.my / tartufi@gmail.com,Voice of the Children,http://www.voc.org.my/,,
353,"603 Jalan 17/12, 46400 Petaling Jaya, Selangor, Malaysia",Social Enterprise,+603 7954 0701,Yeong Moh Foong,"Who are we
United Voice is a self-advocacy group for persons with learning disabilities. Its vision is to form a national body for persons with learning disabilities in Malaysia.
Our objectives

United Voice started in 1995 when 3 volunteers recruited a small group of persons with learning disabilities and formed what was then known as the Self Advocacy Group. The group’s name was changed to United Voice in 2000. For 10 years since its inception, United Voice was sponsored by Dignity and Services, an organisation that also advocates for the rights of persons with learning disabilities. However, since 12 July 2005, United Voice was registered as a society and became an independent entity.
At the time of writing, United Voice had a total of 60 members.
Estimated Monthly Expenditure: RM30,000
Our needs

Volunteers needed to support its members in its hand-made greeting cards and bookmark project. Other than that, they often need volunteers to help out with Employment Project, selling products at bazaars, fundraising events, go outings with the residents and other events. They are also looking for volunteers who can teach members Art, basic computer skills, sewing, sports etc. Or the volunteers can help out in office work like Administrative work, general work, updating website, newsletter etc.
United Voice’s monthly operating expenses amount to approximately RM30,000. It has 7 full time staff and 4 part time staff. United Voice is in need of regular funds to cover its monthly expenditure and is also sourcing funds to purchase a van to provide transportation services for its members.
Our Employment Project has a Arts & Craft Studio, Bakery and an Art Gallery. Currently we have 25 members working under the Employment Project.
Cash donations and donations in kind welcomed.
Cheques made payable to: United Voice
Directions by Public Transport:
Take LRT to the “Asia Jaya” LRT Station. Then take the Rapid KL feeder bus no. 628. Stop at the “Happy Mansion” bus stop. Cross the road and you will see a “6-10 Grill” restaurant. Walk across the field and go down the flight of stairs. You will see a row of shop lot. United V is located in the middle of the shop lot.
Explore the NGO on  Social Enterprise Alliance",unitedvoiceinfo@gmail.com | uvfundraising@gmail.com,United Voice,http://www.unitedvoice.com.my,,
354,"Kompleks MAB, Jalan Tebing Off Jalan Tun Sambanthan 4, 50470 Kuala Lumpur. (P.O.Box No. 10687, 50722 Kuala Lumpur)",Social Enterprise,+603 2272 2677 ,,"Who are we

The Mission of the Malaysian Association of the Blind is to empower persons with visual impairment by providing them with services and opportunities for greater participation, involvement, and integration into society, as well as to promote prevention of blindness.
The Malaysian Association for the Blind (MAB) is the premier voluntary organisation in Malaysia serving visually impaired persons. It provides services that help the blind and prevent the tragedy of avoidable blindness.
Established in 1951 by the then Department of Social Welfare to look after the general well-being of blind persons in the country, MAB has since carried out this role and much more. Its activities have extended from Kuala Lumpur to other parts of the country. These include educational programmes, rehabilitation courses, vocational training and placement service. In addition, MAB also runs a Braille library, a “talking” book library, a Braille Publishing Unit, an Information Technology Centre, Resource Centre and a Sale and Production Unit to name a few. Its prevention of blindness programmes are realized through the eye hospital which MAB established in 1986.
In recent years, MAB has reached out to the visually impaired folks in the rural areas where rehabilitation services and training programmes are provided to them within their home environment, through its community-based rehabilitation (CBR) schemes.
The Malaysian Association for the Blind always works towards creating greater public awareness concerning the abilities and capabilities of the visually impaired persons under its charge. This is to ensure their better integration into the society and a better quality of life.
In order to accommodate the changing needs, demands and challenges of the modern world, MAB strives constantly to improve and expand its services for the betterment of visually impaired people by introducing new courses and acquiring new equipment.
Our needs
To achieve its aims, the Association has to depend on public donation and assistance, MAB is very thankful to all its well-wishers for their kind support throughout the years.
Some of MAB’s services include:-
1) Vocational training(KL and Pahang)
With this programme the Blind will be able to acquire knowledge and skills aimed at preparing them for employment. The courses available include woodwork, massage, telephony and information communication technology. English language courses are also available. The duration of the courses ranges from 1 – 2 semesters. There are two centres, one in Kuala Lumpur and one in Kuantan, Pahang.
KL Centre: at Wisma MAB, Jalan Tebing, Off Jln Tun Sambanthan 4, KL
Tel: 03-22722677 Fax: 03-22722676
Pahang Training Centre: TAMAN HARAPAN AGRICULTURAL TRAINING CENTRE, Pahang.
Taman Harapan, 28000 Temerloh, Pahang
Telephone : (09) 297 2303
Fax : (09) 297 2024
Email : info@mab.org.my
Capacity : 30 trainees
Age : 16 to 45 years
Vocational Training Courses cover:
Skills training
Aftercare
2) ABC Centre(Assistance to Blind Children Centre)
Assistance to Blind Children Centre (ABC)
The Early Intervention Programme was established in 1994. The ABC Day Care Centre was established in 1998.
Services:
Please contact the Coordinator / Supervisor for further information at 03-22722677 ext. 116 or complete the Early Intervention Programme Form and email or fax to us.
Location of ABC Centres:
Kuala Lumpur:
PDK Permata, Kompleks MAB,
Jalan Tebing, Off Jalan Tun Sambanthan 4,
50470 Kuala Lumpur.
Tel. No: 03-22722677 ext. 116
Klang:
No. 141A, Lorong Sri Sarawak 22,
Jalan Tun Sambanthan,
Klang.
Tel. No: 03-33425690
Kota Bharu:
No. 5519 Jalan Telipot,
Kota Bharu,
15150 Kelantan.
Tel/Fax 09-7418757
Days: Monday to Friday (8:30A.M. – 12:00P.M.)
Age Group:
Babies and Preschoolers –  0 to 6 years
Unable to attend school due to multiple disabilities – 7 years and above
Programme:
Orientation and Mobility
Basic Living Skills
Motor skills
Pre-school activities – Brailling, Reading, and Numbers
Recreational activities
Counselling
3) Community Based Rehabilitation (CBR)
CBR was established in 1985 as the outreach programme to assist the poor and rural blind.
Services :
Please contact the CBR Services for further information at 09-2972303 (Pahang), 06-4817702 (Negeri Sembilan and Melaka) or email toenquiry@mab.org.my
4)Welfare Unit
The Welfare Unit of MAB was established in 1998 to provide assistance to the visually impaired in a systematic, organized and practical manner.
Services include:
Please contact the Welfare Unit for information and assistance at 03-22722677 ext. 132.
5) Social Activity Centre
Activities include:
6) Elderly Blind Club
Activities include:
Please contact 03 – 22722677 ext. 121 for further details on Social Activity Centre or Elderly Blind Club.
How volunteers can help

There will be two types of volunteers:
Long-Term Volunteers:
These will be volunteers who intend to serve MAB for at least one year and they should register with MAB by completing and faxing or emailing the Volunteer Application Form.
Short-Term Volunteers:
These will be volunteers who are interested in providing services for just a short period of time or just for the immediate project or activity.  Examples of such volunteers will include inter-actors and school students.  These short-term volunteers do not need to fill in the application form.
However, after having served for at least one year, they could register as long-term volunteers.
Kindly contact 03-22722677 ext. 121 if you would like further clarification or information on Outreach Care Programme.
Donations
Donations from the public is very important to enable the Malaysian Association for the Blind to continue and serve the visually impaired by expanding and improving its services.
If you would like to contribute to help the visually impaired, kindly please refer to the Donation Form.
Monetary donations are tax exempted under the Provision of Section 44(6) of the Income Tax Ordinance No. 48 of 1947.
Ref. No. IRD 01/35/42/51/179-6.0490.  Gazetted No. L.N. 407 dated 10.6.1952
Upcoming events

Previous events can be viewed here. Please contact organisation for future events.
 ",enquiry@mab.org.my,Malaysian Association for the Blind (MAB),http://www.mab.org.my,,
355,"Leisure Commerce Square Block A2 Unit 126 Level 1 Jalan PJS 8/9 Bandar Sunway Petaling Jaya 46150 Selangor Darul Ehsan, Malaysia",Social Enterprise,010 - 288 1201,,"BACKGROUND/HISTORY
Description of Charity
Dignity & Services (D&S) is an advocacy movement speaking and acting on behalf of and alongside persons with learning disabilities (intellectual disabilities). D&S aims to be an independent voice to ensure that persons with learning disabilities are offered the basic human right of being treated as other human beings. Dignity & Services was incorporated in Malaysia on 29th July 1991 (Company No : 221939-T).
Aims
One self-advocacy group which D&S helped to set-up is called UNITED VOICE. United Voice meets at Dignity Services regularly. This group learns leadership skills by running their own meetings, organising camps, social activities and seminars. They also receive support with self-expression through writing, reading and drama, the Group has its own bank account and produce a four monthly newsletter – United Voice News. See separate listing on HATI for United Voice.
One of D&S future plans is to set-up services throughout Malaysia by appointing regional representatives to undertake their advocacy work. D&S also has a monthly column in The Star (www.thestar.com.my) under the heading One Voice discussing related issues. It appears on the first Thursday of the month.
Estimated Monthly Expenditure: RM 15,000
NEEDS
Volunteers are welcome. Please contact Dignity and Services directly for more information and their future events or activities.
D&S would appreciate donations to cover its annual expenditure of about RM180,000 (2004 budget). The annual expenses include staff salaries, transport and traveling expenses, rent and utilities, telephone charges and other office expenses and overheads. Also D&S would appreciate assistance whether financially or in kind for its plan to have a Club House
Cheques Made Payable to “Dignity & Services Bhd”
Direction/ Map:
D&S home is located at 45 Medan Burhanuddin Helmi, Taman Tun Dr. Ismail, 60000 Kuala Lumpur",dns.dignityandservices@gmail.com,Dignity & Services,http://www.dignityandservices.org,,
356,"No. 1, Jalan Besar, 39100 Brinchang, Cameron Highlands, Pahang",Social Enterprise,+6019 514 5851 (Saras),Peter Nicoll,"Who are we

When Established: 09/2001
By Whom: Residents of Cameron Highlands
R.E.A.C.H. is a community-based organisation established for the preservation, restoration and maintenance of Cameron Highlands as an environmentally sustainable agriculture and hill resort within a permanent nature reserve.
R.E.A.C.H aims to:
Our needs

Cash donation for utilities
Any Volunteer Services Needed: Yes -maintenance and reading
Purpose of Volunteer Needs:
We organise bird watching activities and visit to Orang Asli villages as part of a reading programme.  Please see our Facebook page for updates.",nitiya31880@yahoo.com.sg,Reach Org,http://www.reach.org.my,,
357,"Upper Penthouse, Wisma RKT, No.2 Jalan Raja Abdullah, 50300 Kuala Lumpur",Social Enterprise,+603 6201 2150,Dr Reza Azmi,"BACKGROUND/HISTORY
By Whom: Dr Reza Azmi
An internet-based resource about nature and the natural areas of Asia. Focus areas are:
Objective
To promote the exploration, documentation and conservation of natural areas in Asia.
NEEDS
Wild Asia is on the lookout for skilled, dedicated and independent individuals to join our team as interns! Wild Asia welcomes interns from around the world. Recently they had the opportunity to host interns from Malaysia, France, Australia and Germany. Their work scope varies from field research conducting bird population survey and environmental impact assessments in an oil palm plantation in Sarawak to Responsible Tourism market surveys to consolidating database and administration.
If you have 3 months or more to spare on a full-time basis, why not intern with us. We welcome people with diverse backgrounds who wish to spare some time working with us either on specific projects or for a set duration of time. We are favourable towards individuals who are proactive and initiative-driven team player, possess the ability to work independently with limited supervision and have the desire to learn about and support our mission.
Application procedure
Explore the NGO on  Social Enterprise Alliance",info@wildasia.org,Wild Asia,http://www.wildasia.org,,
360,,Environment,+6011 1577 6802,,"
The MareCet Research Organisation is a non-profit, non-governmental organisation established in 2012 committed to increasing scientific knowledge, implementing conservation actions, strengthening policies, and generating awareness on marine mammals and the greater marine environment. A brainchild of Dr. Louisa Ponnampalam and Fairul Izmal Jamal Hisne, MareCet is first and only non-profit, non-governmental organisation solely dedicated to the research and conservation of marine mammals in Malaysia.
The name MareCet (pronounced ma-rei-set) is derived from the combination of the words Mare and Cetacean. The word Mare is from the Latin language that carries the meaning, ocean, while Cetacean is the scientific grouping of whales, dolphins and porpoises. By combining the two words into MareCet (with Cet being a shortened form of Cetacean), the name signifies the two main focus of the organisation: (1) The ocean, in general and (2) marine mammals, in particular.
It is envisioned that in the long-term, the Organisation will be a center where various parties are able to study, conduct research, and receive training in various aspects connected to the two main focus areas of the Organisation. The aim is for MareCet to be more than just an organisation of like-minded people, but a centre of excellence for the continuous development in the field of marine sciences, particularly marine mammal science, in the future.
Our vision
To be the leading organisation in the Southeast Asian region involved in marine mammal research and conservation.
Our mission
To increase scientific knowledge on marine mammals in the region and to improve the understanding of and appreciation for the marine environment amongst the general public.",ask.marecet@gmail.com/partner.marecet@gmail.com,The Marecet Research Organisation,http://marecet.org/,,
362,,Environment/Youth,,,"Who we are

Power Shift Malaysia (#PowerShiftMsia) is a climate change movement initiated by youths, for youths. We engage with various movements to generate momentum towards clean, renewable energy sources and a safe climate future for youths.
Our mission
We want to educate young climate and environmental leaders to learn, to develop their skills and to turn their passion into action. It is hoped that when participants return to their home state after participating in #PowerShiftMsia workshop, they will create and run their own campaigns for climate, environmental and social justice. Together, we will create a new wave of climate activism for a better future
 
Who can join
Participants need to be:
Contact us, here.",powershiftmsia@gmail.com,Power Shift Malaysia,http://powershiftmalaysia.org.my,,
363,"41, Lorong Burhanuddin Helmi 11, Taman Tun Dr. Ismail, 60000 Kuala Lumpur, Malaysia",Environment/Talent,+60 3-7731 8361,,"The international Kuala Lumpur Eco Film Festival is Malaysia’s first and longest-running environmental film festival. In the last eight years, the Festival has reached out to approximately 80,000 Malaysians through its film screenings and programs at selected venues all over the Peninsula.
Conceptualized and organized by not-for-profit environmental organization, EcoKnights, the Festival is a platform to facilitate building a nation of ecologically conscious businesses, individuals, and communities through on-ground activities and film screenings focused on critical environmental issues and stories such as pollution, trans-boundary haze, indigenous people’s rights, wildlife protection, nuclear energy, climate change, sustainable food production, waste management, local environmental heroes and more.
We hope that the audiences will leave feeling that they can be a part of the solution to environmental problems. With a growing public awareness for the environment, the Festival aims to increase this groundswell through inspiring and educational films which hopefully will motivate people to go out and make a difference in their community and around the world. We involve environmental organizations and green businesses through the Green Market, where groups can share opportunities to get involved and promote sustainable consumption and productions.While we will feature national and international films, we also hope to highlight the works of local filmmakers and foster an interest in environmental film making through mentoring and a filmmaking forum. An important component is the opportunity for open discussion related to the films, either with filmmakers or with experts on the film’s topic.
Our goal is to model sustainability in all areas of the film festival, including: reducing waste and providing recycling at screenings and events (with a goal of “Zero Waste”); offsetting carbon emissions; using recycled materials; encouraging the use of public transportation and carpooling; supporting local, organic, and fair trade producers.",info@kleff.my,Kuala Lumpur Eco Film Festival (KLEFF),http://kleff.my,,
373,"C/o School of Humanities, University Science Malaysia, 11800,Penang ",Environment,04 6533829,,"Water Watch Penang (WWP) is a non-profit organisation set up in November 1997 as part of the Sustainable Penang Initiative under the auspices of the Socio-economic & Environmental Research Institute (SERI) of Penang.
WWP’s main objective is to create awareness for water conservation amongst the general public, research on water issues, tips on water saving, consultancy on water recylcing and water education in the schools.
Our Aims
To promote study, awareness, knowledge, conservation, protection and the practice of a water saving society towards the sustainable development of water resources in accordance with the aspirations of Agenda 21 of the United Nations and Malaysia’s Environmental Commitment.
In pursuance of these aims, WWP shall:", nwchan1@gmail.com ,Water Watch Penang (WWP),http:// http://www.waterwatchpenang.org ,,
375,"15, Jalan Akuatik, 13/77C D’Kayangan, Section 13, 40100 Shah Alam, Selangor.",Environment,+603 55121 006,,"PEKA MALAYSIA is an NGO known as Pertubuhan Pelindung Khazanah Alam Malaysia, which was formed to stop the destruction of natural resources, to defend the rights of environment and be the voice of nature. We aim to create awareness about nature, sound health, preservation and the sustenance of the environment.
The logo symbolises the shape of a leaf that provides an ultimate inspiration of the Association for the Protection of Natural Heritage of Malaysia (Pertubuhan Pelindung Khazanah Alam Malaysia – PEKA). The leaf inspires PEKA to create awareness, strength and assurance in defending the natural heritage.
PEKA means sensitive in “Malay” language and is rightly suitable towards its course.
Get Involved Help Us Protect Malaysian Forest
PEKA Malaysia, the society for the protection of Malaysian forests is working together with volunteers and sponsors to protect the ecological and cultural resources of our forests.
Whether it’s through:
1. Land donation
2. Financial contribution
3. Sponsorship of trees
4. Voluntarism
5. Support of critical legislation
All these will help us achieve our goal of conserving and preservation of our forests. At the same time, replanting of lost forests is critical because we are losing them fast.
Mission
To be the force in ensuring the protection and conservation of our natural environment.
Vision
For Malaysia to enjoy and sustain a clean and healthy natural environment for the present and future generations.
Motto
See Nature, See Life",hello@pekamalaysia.org,Pertubuhan Pelindung Khazanah Alam Malaysia,,,
377,"85, Jln. Sultan  Abdul Jalil, 30300, Ipoh,  Perak, Malaysia",Environment,,,"The Malaysian Karst Society (MKS) is a non-profit organisation formed to conserve the karst outcrops in Malaysia. Karst is landscape underlain by limestone which has been eroded by water through dissolution, producing various formations, these include the limestone hills and caves.
MKS organises trekking, climbing, caving and other karst related activities to generate interest and awareness in karst. Here you will find the photos and updates on our past and future trips. If you have an interest in exploring the dark recesses of caves, or simply feel that beautiful Malaysian karst outcrops need to be conserved, please contact us .",,Malaysian Karst Society (MKS),http://www.mykarst.org,,
378,"c/o No. 60, Jalan 21/35, 46300 Petaling Jaya, Selangor, Malaysia",Environment,+6011 2800 2860,,"OBJECTIVES
MESSAGE FROM THE PRESIDENT, Nithi Nesadurai
“It is my pleasure to welcome you to the website of EPSM, a small and dynamic group focusing on urban environmental issues and climate change in Malaysia. We feature our work and activities on the environment since we were formed in 1974.”
HISTORY
EPSM was founded at a public meeting held at the University of Malaya in Kuala Lumpur on 11 January 1974 by a group of Malaysians concerned about protecting the environment. It is a membership-based national organization, run by an elected Executive Committee on an entirely voluntary, non-profit basis.
THE FOUNDER
Gurmit Singh was born in Penang, on 3 November 1942. He is prominent student leader in the 1960s and 1970s, Gurmit is former secretary-general of the National Human Rights Society of Malaysia (Hakam). He got into environmental advocacy in 1974, long before caring about the environment became fashionable (though one may argue that, in Malaysia, the environment still isn’t getting the attention it deserves).
Gurmit served the Environmental Protection Society of Malaysia (EPSM) as president for two decades until 1994, but remains an adviser. He is currently chairperson of the Centre for Environment, Technology and Development Malaysia (Cetdem), a non-profit committed to “improving environmental quality through the appropriate use of technology and sustainable development”
RECORD
EPSM has highlighted environmental problems through the mass media, made representation to government agencies, campaigned against polluters, undertaken surveys and studies, and contributed towards environmental education and awareness through talks, forums, seminars and its publication, Alam Sekitar.
Our record of campaigns include the following. Through networking and collaboration with both government and non-government bodies, we have contributed to various successful campaigns focusing on Endau-Rompin, Batu Caves, Tembeling National Park, Papan, Bakun Dam, the Societies Act Amendments and the Environment Impact Assesment. EPSM has also monitored the Environmental Quality Act 1974 and its subsequent regulation.
REPRESENT
In terms of representation, EPSM is currently represented on a wide range of bodies including the Environmental Quality Council, National Habitat Committee, National Steering Committee on Local Agenda 21 and the Construction Industry Development Board’s Technical Committee for best Environmental Practices.
LINKS WITH OTHER NGOs
We are linked to other NGOs through MENGO, a platform of Malaysian Environmental Non-Government Organizations which brings together environmental NGOs in Malaysia in the interests of environmental protection.",epsm@epsm.org.my,Environmental Protection Society Malaysia (EPSM),http://www.epsm.org.my,,
382,c/o MPA 3rd Floor (Annex Block) National Cancer Society Building No. 66 Jalan Raja Muda Abdul Aziz 50300 Kuala Lumpur Malaysia ,Children/Differently Abled/Environment,+603 2694 2362 ,Shahida Musa,"To advocate for child rights and raise awareness on child abuse and neglect; to protect children from abuse and neglect; to support abused children through the legal system to prevent further trauma.
Organisation mandate:  Provide training or education on child rights, Undertake legal casework on behalf of children, Work directly with children, Work in partnership with organisations, Work with media and press
Works with age groups :  Children 0 – 18",mapcorg@po.jaring.my/ cyyda@pc.jaring.my,Malaysian Association for the Protection of Children (MAPC),,,
383,"Pondok Polis Lot 51777, Jln Setiabudi, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan ",Environment/Support Groups,2094 2330 / 2095 5450,Tan Sri Abdul Aziz Abd. Rahaman (President),"Who are we
Persatuan Pemilik Rumah Bukit Damansara (Bukit Damansara Home Owners’ Association) was approved under the Akta Pertubuhan 1966 Registration No: 836 on 7 June 2000. As of to-date, we have over 400 members.
Our objectives:",bukit_damansara@hotmail.com,Persatuan Pemilik Rumah Bukit Damansara,http://www.bukitdamansara.org.my,,
385,"""The WorldFish Center ReefBase Project Jalan Batu Maung, Batu Maung 11960 Bayan Lepas Penang, Malaysia""",Environment/Support Groups,04 6202270,,"The ReefBase Pacific project is Component 2D of the Coral Reef InitiativeS for the Pacific (CRISP), executed by The WorldFish Center and funded by the Agence Française de Développement and the United Nations Foundation.
ReefBase Pacific is the first regional focus of the global ReefBase project and provides a unique collection of information for the Pacific region. The ReefBase Pacific project aims to improve quality and accessibility of data and information on reef-associated livelihoods, fisheries and biodiversity. The project has generated internet, DVD and printed formats of the information to facilitate distribution and accessibility across a wide range of stakeholders and users.
The WorldFish Center is an international non-profit research organization dedicated to reducing poverty and hunger by improving fisheries and aquaculture. The WorldFish Center is the host for ReefBase, the world’s leading information system on coral reefs.
ReefBase products provides scientists, managers and students with quality data and information relevant to the monitoring, conservation and management of these vital natural resources.", worldfishcenter@cgiar.org ,ReefBase,http:// http://www.worldfishcenter.org ,,
386,"c/o Forest Research Institute Malaysia (FRIM) 52109 Kepong, Selangor Malaysia",Environment,+603 6272 2516 ,,"The Asia Pacific Association of Forestry Research Institutions (APAFRI) is an independent non-profit body, which aims to enhance research and technology development capabilities in support of conservation and management of forest resources in the Asia-Pacific region.
The establishment of APAFRI was prompted by the need to provide a viable institutional framework for research collaboration in the region. Since 1991, the Forestry Research Support Programme for Asia and the Pacific (FORSPA) has been fulfilling the networking function. APAFRI , a follow-up of FORSPA, is an outcome of the desire of the countries in the region and the donor community to develop a more self-reliant and sustainable mechanism to strengthen research networking. It was launched during the meeting of the Heads of Forestry Research Organizations in the Asia-Pacific held in Bogor, 20-23 February 1995.
The International Union of Forest Research Organizations (IUFRO) has recognised APAFRI as its Asia-Pacific chapter. APAFRI has been collaborating closely with the IUFRO Special Programme for Developing Countries (SPDC) in strengthening research in the Asia-Pacific region, and APAFRI’s Executive Director has been co-opted as regional coordinator of IUFRO-SPDC.
The Secretariat of the Association was initially based at the FAO Regional Office, Bangkok, Thailand. Following the decision of the First General Assembly of the Association held at Ho Chi Minh City in March 1997, the Secretariat has been shifted to the Faculty of Forestry, University Putra Malaysia(UPM), Selangor, Malaysia. In year 2001, Secretariat was relocated to Forest Research Institute Malaysia , Kuala Lumpur, Malaysia.
APAFRI Vision
Our Vision is to be recognized as a dynamic, strong and self-reliant forestry research association in the Asia-Pacific region which promotes innovative research and development efforts in support of national and regional development.
APAFRI Mission
APAFRI aims to promote and assist in the development of the region’s scientific research and development culture and capacity and to foster the establishment of institutional and professional collaboration among the region’s forestry researchers. APAFRI’s activities support sustainable management and utilization of forest resources at the local, national and regional levels.",secretariat@apafri.org,Asia Pacific Association of Forestry Research Institutions (APAFRI),http://www.apafri.org,,
387,"2nd Floor, Wisma Hing, No.78, Jalan SS2/72, 47300 Petaling Jaya, Selangor D.E., MALAYSIA",Environment,+60 3 7957 2007,,"Who are we
The Global Environment Centre was established in 1998 to work on environmental issues of global importance. The Centre is registered in Malaysia as a non-profit organization (Reg. no. 473058-T) but works regionally and internationally both directly and through many partners. It supports information exchange and capacity building as well as undertakes strategic projects particularly in developing countries. It works in partnership with other like-minded agencies worldwide.
Our mission
To support the protection of the environment and sustainable use of the natural resources to meet local, regional and global needs, through strategic partnerships with communities and  like-minded organizations.
Our objectives
1. To promote integrated management of biodiversity and water resources with a focus on community involvement and biodiversity conservation.
2. To promote the protection and sustainable use of forests and wetlands with a focus on integrated management for biodiversity and climate change
3. To enhance awareness, understanding and capacity as well as partnerships between different organizations and sectors to address environmental issues.
Our programmes

These are:
River Care Programme
The focus of this programme is to promote and support the integrated management of river basins with particular emphasis on ensuring that biodiversity and wetland conservation and community considerations are incorporated into river basin management.
Forest and Biodiversity Programme
The Forest Programme includes activities related to assessment and management of forests at local, national and regional levels. mangrove and hill forests in partnership with local communities. The Programme includes a focus on protection and rehabilitation of
Peatland Programme
The Peatland Programme includes a broad range of activities related to assessment and management of peatlands at local, national and global level. involvement, biodiversity and climate change. The Programme includes a focus on community
Outreach and Partnership Programme
This programme area incorporates activities relating to general capacity building, environmental education, information exchange and awareness raising on global environment issues.
 
Monthly Tree Planting Program – 2013 is going on. Click here to download the detailed profile and application form.
Our Facebook page, here.",outreach@gec.org.my,Global Environment Centre (GEC),http://www.gec.org.my,,
