"cause_area","name","description","address","website","contact_number","email","city"
"health-disaster-relief","Public Disaster Relief Volunteer Association Thailand","Public Disaster Relief Volunteer Association Thailand Aside from the co-operation with police Fire Brigade Division, the association also coordinates with Por Tesk Tueng Foundation in many ways of operation such as to contribute foods for the fire
    victims, bring sick persons to hospital. Nowadays the communication among us regularly users walkie-talkie for our rapid operation. Contact : PUBLIC DISASTER RELIEF VOLUNTEER ASSOCIATION OF THAILAND 122/1 Soi Sasanar 1 (Ravedee) Rama 6 Rd., Sam sen-nai , Phyathai, Bangkok 10400 Tel. 279-0373 , 279-0371 (Fax : 662) 271-3498","","http://pdrv.fire2rescue.com","279-0373 , 279"," "," "
"health-disaster-relief","Saint Louis Foundation","Saint Louis Foundation Saint Louis Foundation aims to help poor patient and elderly, support children education as well as promote medical research and
     educational scholarship Contact : Saint Louis
        Hospital
        27 South Sathorn Rd.,Bangkok 10120
        Thailand.
        Tel. +662 210-9999, 675-5000 contact@saintlouis.or.th","","http://www.saintlouis.or.th","+662 210-9999, 675"," "," "
"health-disaster-relief","Siam-Care Foundation","Siam-Care Foundation Siam-Care Foundation is a-not-for-profit organization which aims to provide helping HIV/AIDS infected and affected children adult through its health-care education
    project.  The foundation has extended its philanthropic activity project to cover human trafficking and abused children and women. Contact : Siam-Care Foundation 66/43 Soi Khua Klay 1
    

    
        Muban Thipnakorn Lad Praw 80 Bangkok Thailand 10310 PO Box 86 Sutthisan Post Office
    Bangkok 1032
    Thailand +66 (0)
            2.530.5902
        

        
            +66 (0)
            2.539.5299 Fax number +66 (0)
    2.935.5183 siamcare@siamcare.org","","http://www.siamcare.org/"," "," "," "
"health-disaster-relief","Thai Osteoporosis Foundation","Thai Osteoporosis Foundation Under the Royal Patronage of Princesses Galayani Vadhana The foundation has registered on May 29, 2006 resulting of the incorporation of various medical disciplines which Consists of Surgery, Orthopedics, ,
    Rehabilitation Medicine, Obstetricians, Physicians in order to set up a center of academic and osteoporosis event in the country. And as an organization to coordinate at the international level. Contact : 100, 4th floor, Supawadee Tower Building Room number 94/2-3 Soi Mitraanan Nakornchaisri Rd. Samsen Nai, Dusit Bangkok, Thailand 10300 Tel.(66) 2-241-7932-33 Fax.(66) 2-241-7933 email : topf2002@gmail.com","","http://www.topf.or.th",".(66) 2-241-7932","topf2002@gmail.com"," "
"health-disaster-relief","Pediatric Cardiac Surgery Foundation (PCSF)","Pediatric Cardiac Surgery Foundation (PCSF) was founded in 1997 by Thanpuying Suprapada Kasemsan and a group of
    cardiac surgeon at the Institute of Cardiovascular Disease of Rajavithi Hospital in oder to help children and save the children’s life who live in poverty and
    suffer from heart diseases by performing operations. This will shorten a waiting list and at the same time increase the capacity of taking care of children who are in severe conditions and need
    urgent operations. Contact : Pediatric Cardiac Surgery Foundation 2 Rajavithi Hospital, Ratchatewi Rd. Bangkok 10400 Tel :  02-354-8108-37 ext. 4304,
    083-978-0330","","http://www.pcsf.org/","02-354-8108-37"," "," "
"health-disaster-relief","People Eye Care Foundation","People Eye Care Foundation To help blind people and those who have eyes problem on viewing especially on cataract and to create an understanding how to cure the catarct properly in order to have healthy eyes. Telephone:+662 310 3122 Province: Bangkok Address: 2 Soi Soonvijai 7, Bangkok Hospital Building, 5 Floor, New Petchburi, Bangkok, Thailand 10320 Volunteers: Review:","","http://www.pecf.or.th Contact: http://www .pecf.or.th/contact-en .html","+662 310 3122",""," Bangkok"
"health-disaster-relief","Raksthai Foundation","Raksthai Foundation The RaksThai Foundation is a member of CARE International which aims to create knowledges base on HIV/AIDS and infection protection system, helping underprivileged, poor and disaster victims continually. Contact: Mr. Promboon Panitchpakdi Telephone: +66 026 265-8888 Province: Bangkok Address: 185 Pradiphat Rd. Soi Pradiphat 6 Samsennai, Payathai, Bangkok 10400 Thailand Volunteers: Review:","","http://www.raksthai.org/","+66 026 265-8888","info@raksthai.org"," Bangkok"
"health-disaster-relief","Red Cross Society","Red Cross Society Health-care and disaster-relief projects throughout Thailand Contact: Telephone: 0-2256-4038 Province: Bangkok Address: The Thai Red Cross Society 1871 Henry Dunant Rd.,Patumwan Bangkok 10330 Volunteers: Review:","The Thai Red Cross Society 1871 Henry Dunant Rd.,Patumwan","http://www.redcross.or.th Facebook:   http://www.facebook .com/ThaiRedCross","-2256-4038","intertrc@redcross.or.th"," Bangkok"
"health-disaster-relief","RURAL AREA MEDICAL AID FOUNDATION","RURAL AREA MEDICAL AID FOUNDATION Under The Royal Patronage of His Majesty the King Dedicated to the society by helping the poor in the rural remote areas far away from civilization or hospital. Contact: Telephone: 02-519-8314 Province: Bangkok Address: 11/7 M.6, Sukapibal 5 Soi 32, K.Orngern, Khet Saimai, Bangkok 10220 Volunteers: Yes Review:","11/7 M.6, Sukapibal 5 Soi 32, K.Orngern, Khet Saimai, Bangkok 10220","http://www.rama-foundation.or","02-519-8314","rama_foundation@msn.com"," Bangkok"
"health-disaster-relief","Sangha Metta Project","Sangha Metta Project Buddhist monks promoting AIDS care and prevention (Chiang Mai) Contact:        Laurie Maund Telephone: 053 328137; Mob. 0871873212 Province:     Chiang Mai Address:    47/30 Mu Baan Daen Tawan
    Nua, Suthep Road, Tambon Suthep, Muang District, Chiang Mai Volunteers: Review:","47/30 Mu Baan Daen Tawan
    Nua, Suthep Road,","www.buddhanet.net/sangha-metta /project.html","053 328137; ","lauriejm@gmail.com","     Chiang Mai"
"health-disaster-relief","St. Camillus Foundation of Thailand","St. Camillus Foundation of Thailand Is one of the first activities opened in Asia to accommodate and help sick orphan children living with HIV/AIDS. Contact: Fr. GIOVANNI CONTARIN Telephone: 038 685 480 Province: Rayong Address: 1/1 soi Kiri, HuaePong, Rayong 21150 Volunteers: Review:","1/1 soi Kiri, HuaePong, Rayong 21150","http://www.camillian-rayong.org","038 685 480","cscrayon@loxinfo.co.th"," Rayong"
"health-disaster-relief","TB/HIV Research Foundation","TB/HIV Research Foundation Reduce the burden on the people affected by tuberculosis, HIV/AIDS and other diseases of poverty Contact: Telephone: 053-713135, 053-752162, Fax 053-752448 Province: Chiang Rai Address: 1050 Satarnpayabarn Rd., Muang District,
    Chiang Rai 57000 Volunteers: Review:","1050 Satarnpayabarn Rd., Muang District,
    Chiang Rai 57000","http://www.tbhivfoundation.org/index.php","053-713135, 053","thrf@tbhiv.org thrf.tbhiv@gmail.com"," Chiang Rai"
"health-disaster-relief","Thai Lahu Foundation","Thai Lahu Foundation Help ethnic minority Lahu who live in Chiang Mai and Chiang Rai province of Northern Thailand. LHDP works together with 16 villages of six
    districts Contact: Telephone: 053-867-400 Mobile: +66-8-6185-8760 Province: Chiang Mai Address: 16 Moo 5, T. Sa-nga-baan, A. Doi Saket,
    Chiang Mai 50220, Thailand Volunteers: Yes","16 Moo 5, T. Sa-nga-baan, A. Doi Saket,
    Chiang Mai 50220, Thailand","http://www.thailahu.com/en/","053-867-400 ","info@thailahu.com"," Chiang Mai"
"health-disaster-relief","Tour de Thailand Charity Bicycle Rides","Tour de Thailand Charity Bicycle Rides A fully supported charity bike ride from Chiang Mai to Phuket Contact: Christopher Byrd Telephone: 081-173 4469 Province: Prachuap Khiri Khan Address:  Tour de Asia Bicycle Touring Co.,
    Ltd. 15/120 Phetkasem Road, Hua Hin,    (Between Soi 27 & 29 in ""B-Quik"" parking lot) Prachuap Khiri Khan, 77110 Volunteers: Review:","Tour de Asia Bicycle Touring Co.,
    Ltd.","http://www.tourdethailand.com Facebook:   http://www.facebook .com/tour.de.thailand","081-173 4469","info@tourdeasia.org"," Prachuap Khiri"
"health-disaster-relief","Thai Familylink Foundation","Thai Familylink Foundation A network to strengthen those with psychiatric illness through education, support and advocate on behalf of. Work to better the
    lives of both patients and caregivers by nonprofits. Contact:  Khun Somboon Chungto Telephone:  089-117-5283, 02-968-9659 Province: Nonthaburi Address:  2nd Floor Physical Therapy, Srithanya
    Hospital 47 Moo 4, Tiwanon Road, T.Taladkhan, Nonthaburi 11000. Volunteers: Yes Review: October 2013","2nd Floor Physical Therapy, Srithanya
    Hospital","http://www.thaifamilylink.net/ Facebook:   https://www.facebook .com/Saiyaiboon","089-117-5283,","i.saiyai@hotmail.com"," Nonthaburi"
"health-disaster-relief","Ramathibodi Foundation","Ramathibodi Foundation Under the Royal patronage of HRH Princess Mahachakri Sirindhorn The establishment of Ramathibodi Foundation under the Royal patronage of HRH Princess
    Makachakri Sirindhorn is to open opportunities to donors to donate their fund which shall be allocated to support medical development and help poor patient in order to obtain proper medical
    treatment through faculty of medical science of the Ramathibodi Hospital working. Vision The foundation is not-for-profit organization which aims to be a charity organization
    in people mind performing as a middle center in order to help Thai people having a sustainable good health. Objective : -          -     To
    Support medical expenses for all level of people in order to obtain standard medical             treatment thoroughly. -          -      To
    promote up-to-date medical equipment provision which is the main factor in support the       the most efficiency of medical treatment. -          -      To
    support and to improve and to build medical building to give medical services to patient and people thoroughly. an -          -       To
    support scholarship to medical student and nurse in order to open education opportunity and to support efficiency of medical personnel. -          -       To
    promote medical study and research in various project including medical innovation development  as a sustainable foundation to maintain and assist the patient in the future -          -       To
    Develop and support personnel welfare in order to promote quality of living and to create morale for more efficiency on medical services. Contact : Ramathibodi Foundation Under the Royal Patronage of HRH Princess Mahachakri Sirindhorn 270 Rama VI, Payathai, Rachatavee, Bangkok 10400 Tel : 66(0)-2201-1111 Fax : 66(0)-2201-1481 Mail : info@ramafoundation.or.th","","http://www.ramafoundation.or.th","66(0)-2201-1111"," "," "
"health-disaster-relief","Vejdusit Foundation","Vejdusit Foundation Under the Patronage of HRH Princess Galayani Vadhana the Vejdusit Foundation has medically contributed and publicly health serviced in various form to Thai society including financial helping to disadvantage and needy patients for over 26 years
    with its main objectives following : -         To assist patient with low incomes to receive medical
    treatment without charge. -         To medically support, staff and nursing in academic. -         To cooperate with other charities for public interest. -         To patronage the patient under the Royal patronage. -         To assist and promote research analysis on medical and
    nursing. -         To establish medical teaching institution. Contact : Vejdusit Foundation Bangkok hospital building 7th floor. 2 Soi Soonvijai 7, Petchaburi Rd. Bangkok 10310 Tel : 02-310-3071","","http://www.bangkokhospital.com/vejdusit/","  02-310-3071","vejdusit@bgh.co.th"," "
"human-rights","Adventist Development and Relief Agency Thailand","Adventist Development and Relief Agency Thailand Assisting refugees from Laos, Cambodia and Myanmar with health care and basic human needs. Contact: Telephone: 053 839-402 Province: Chiang Mai Address: Unit 1A, Aleena Garden178/109 World Club
    Land Soi 4, Hang Dong, Chiang Mai 50230, Thailand. Volunteers: Yes Review:","Unit 1A, Aleena Garden178/109 World Club
    Land Soi 4, Hang Dong, Chiang Mai 50230, Thailand.","http://www.adrathailand.org/","053 839-402","office@adrathailand.org"," Chiang Mai"
"human-rights","Amnesty International
    Thailand","Amnesty International
    Thailand promoting respect for all the human rights Contact: Telephone: 02 513-8745 Province: Bangkok Address: 90/24 Soi Ladpao 1, Jompol , Chatuchak, Bangkok
    10900 Volunteers: Review:","90/24 Soi Ladpao 1, Jompol , Chatuchak, Bangkok
    10900","http://www.amnesty.or.th Facebook Account:  http://www.facebook .com/AmnestyThailand  Twitter Account:  http://twitter.com /amnestyonline","02 513-8745","info@amnesty.or.th"," Bangkok"
"human-rights","Alliance Anti
    Trafic (AAT)","Alliance Anti
    Trafic (AAT) Supports girls who are victims of trafficking and commercial sexual exploitation and their main field of activity is in Thailand. Contact: Telephone: 02 214 5157 Province: Bangkok Address: P.O.Box 60 Minburi Post Office Bangkok 10510 Thailand Volunteers: Review:","P.O.Box 60 Minburi Post Office Bangkok 10510 Thailand","http://www.aatthai.org/","02 214 5157","th.info@allianceantitrafic.org"," Bangkok"
"human-rights","EarthRights International (ERI)","EarthRights International (ERI) Defending human rights and the environment in Southeast Asia and other parts of the world Contact: Telephone: 081-531-1256 Province: Chiang Mai Address: Southeast Asia Office, PO Box 123, Chiang Mai University, Chiang Mai, 50202 Volunteers: Review:","Southeast Asia Office, PO Box 123, Chiang Mai University,","http://www.earthrights.org","081-531-1256","infoasia@earthrights.org"," Chiang Mai"
"human-rights","Foundation for Consumers","Foundation for Consumers The foundation for Consumers main objective is to protect cosumers right not to be overly taken advantage by manufacturer, seller and trader. Contact : Foundation for Consumers 4/2 Soi Watanayotin Kwang Payathai road, Khet Rajtawee Bangkok 10400, Thailand Tel : 02-248-3734-7 Fax : 02-248-3733","","http://www.consumerthai.org/","  02-248-3734-7"," "," "
"human-rights","Human Right Lawyer Association","Human Right Lawyer Association -   To promote and protect human rights -    To promote education and to disseminate rights to be accepted in society, make peopl alert,
    and abide by the principle of human rights. -   To Strengthen the network of human rights lawyers and more extensive rights in order to have its status and role in society. -    To Promote and protect ability to access to justice, Civil liberties and human rights, as
    well as ability to appeal and to carry legal prosecution charge to benefit the public and/or to protect human rights with taking any action in the law with being representative of person for
    legal process in line with the purpose of the association. -     To promote its campaign and to push the policy and law of human rights to be enforced. Human Rights Lawyers Association 111 Soi Sittichon Sutisarn Vinitjai Samsean Noak, Huakwang Bangkok, Thailand 10310 Tel : +66 02 6930682","","http://naksit.org/","  +66 02 6930682"," "," "
"human-rights","Isara Foundation","Isara Foundation Projects focus on the improvement of education (free Learning Center, government school volunteer teachers, and scholarships), health and safety (helmet campaign), and the environment (Recycling
    Center and trash clean-up campaigns). Contact: Mr.Kirk Telephone: 042-460-827 Province: Nong Khai Address: 897/1 Mee Chai Rd. Amphur Muang, Nong Khai, Thailand 43000 Volunteers: Yes Review:","897/1 Mee Chai Rd. Amphur Muang, Nong Khai, Thailand 43000","http://www.isara.org/ https://www.facebook .com/isara.foundation","042-460-827",""," Nong Khai"
"human-rights","Labour Rights Promotion Network Foundation","Labour Rights Promotion Network Foundation Foundation vision To promotelabour rights etwork To be a foundation of labor strive to enhance the quality of life,to protect rights equality, and promote self-sufficiency with  creating social to live together peacefully. Contact : Labour Right Promotion Network Foundation 25/17-18 Mahachai Meuangthong Village Sakakorn Rd., Tumbol BangyaPreak, Amphur Muang Samutsakorn, Thailand 74000 Tel +66 034-434-726, +66 8 6163-1390","","http://www.lpnfoundation.com/",NA," "," "
"human-rights","National Catholic Commission on Migration","National Catholic Commission on Migration Serve the pastoral and humanitarian needs of the growing number of migrants in Thailand and neighboring countries Contact: Telephone: 02681-3900 Ext: 1710 Province: Bangkok Address: 122/11, 7th Floor, Soi Naksuwan, Nonsi Road, Yannawa, Bangkok 10120 Volunteers: Review:","122/11, 7th Floor, Soi Naksuwan, Nonsi Road,","http://www.nccmthailand.org/","02681-3900 ",""," Bangkok"
"human-rights","OXFAM International","OXFAM International OXFAM International Charity is a not-for-profit organisation based in United Kingdom, its objectives and mission is to fight against poverty in many undeveloped and developing countries including
    Thailand.  OXFAM International mainly focuses on 4 criteria to fight with poverty. - Human Right - Human Development - Disaster Relief - Natural Resource conservation for local people. Contact : OXFAM International Office address: Second Floor, 228-240 Banbury Road, Oxford OX2
    7BY, United Kingdom International nformation@oxfaminternational.org","","https://www.oxfam .org"," "," "," "
"human-rights","Pavena Hongsakula Foundation for Children and Women","Pavena Hongsakula Foundation for Children and Women The Pavena Hongsakula Foundation for children and Women has been found in 1988 by. Khun Ying Pavena Hongsakula, a former politician.  The main objectives of the foundation are to : 1.   To help abused children and women in every abusive forms and to regain the physical   and
    mental condition of those children and women. 2.    To help children and women who have bad destiny and homeless be able to live   normally
    and peacefully. 3.    To support and develop income and skill for  poor and disadvantage children. 4.    To promote Thai culture activities. The foundation has services on 24 hours on receiving complaints as well as helping children and women who being infringed, threatened, assault and scam for prostitution.  Its telephone
    hotline number 1134 or 02-5770496 to 501 Contact : Pavena Hongsakula Foundation for Children and Women 84/14 Tumbol Lumpakgood Amphur Tanyaburi Patumthani province, Thailand Tel : +66 02 5770496 to 501","","www.pavenafoundation.org","1134 "," "," "
"women-other","Alliance Anti Trafic","Alliance Anti Trafic Alliance Anti-Trafic (AAT) aims to protect women and children in Southeast Asia from sexual exploitation and trafficking. Contact: Alliance Anti Trafic P.O.Box 60 Minburi Post Office Bangkok 10510 Thailand. Tel. +66 2 2145157","","http://www.aatthai.org/",". +66 2 2145157","Thailand@allianceantitrafic.org"," "
"women-other","Bangkok Charity Orchestra","Bangkok Charity Orchestra The Bangkok Charity Orchestra (BCO) is the first orchestra to be committed
    to raising funds for charities in Thailand. It is established with the aims to support well respected charities as well as to promote classical music in Thailand while being a platform for
    aspiring musicians to perform to a high standard. Contact : Bangkok Charity
    Orchestra
    59/9 Sukhumvit 31
    Bangkok 10110
    Thailand Tel
    : +66 (0)2 259 9900 contact@charityorchestra.org Mon: Closed Tue-Fri: 10:00 <U+2192>
    19:00
    Sat: 08:00 <U+2192> 18:00
    Sun: 08:00 <U+2192> 17:00","","http://www.charityorchestra.org/","+66 (0)2"," "," "
"women-other","Association for the Promotion of the
    Status of Women under
    the Royal Patronage of HRH Princess Soamsawali","Association for the Promotion of the
    Status of Women under
    the Royal Patronage of HRH Princess Soamsawali Women’s Education and training and Emergency Homes for
    women and children, Women's Education and Training
    Centre (WE-TRAIN) and the women's Clinic. The Emergency Home provides temporary shelter, food and physical and mental rehabilitation services for women and children. On any given day, there are about 150 women and children sheltering at
    the Emergency Home. On June 21, 1987, former U.S President Jimmy Carter and his wife Rosalynn Carter presided over the founding ceremony of the We-Train Center. Mr Carter, as chairman of the Global 2000 Foundation
    donated one million Baht for the construction of the Women's Clinic. Contact: Telephone: 02 929-2301-07 Province: Bangkok Address: 501/1 Dechatungka Rd. Sikan Donmuang Bangkok
    10210 Volunteers: Yes Review: Aug 2013 Read Review... Updated: 20th Jan 14","501/1 Dechatungka Rd. Sikan Donmuang Bangkok
    10210 Volunteers: Yes","http://www.apsw-thailand.org","02 929-2301-07","info@apsw-thailand.org"," Bangkok"
"women-other","Books for Thailand Foundation","Books for Thailand Foundation Books for Thailand Foundation has contributeds English books to local educational institutions more than 10 years.  The foundation is a not-for-profit organization and collaborates with Asia
    Foundation being the contributory leader of English books in various fields of study such as Agriculture, Biology, Chemistry, Children Books, Computer, Law, History, Literature,
    Business Management, Political Science, Mathematics, and Finance etc.  With its policy to donate these books obtained from its affiliates abroad to local educational institutions, other
    non-profit organization, vocational and social related institutions, media and cultural organizations as well as research and analytical institutions. Contact : Books for Thailand Foundation Kasem Bundit University, Building # 3, Floor 10th 1761 Patanakarn Rd., Suan Luang, Bangkok 10250 Tel : +66 02 320 2777 Ext 1335","","www.bft.or.th","+66 02 320 2777 ","book4thailand@gmail.com"," "
"women-other","Central Welfare & Vocational
    Training for Women","Central Welfare & Vocational
    Training for Women Provides vocational training for disadvantaged women
    enabling them to support their
    families. Contact: Telephone: 02 961 1882 / 02 583 8350 Address: 78/3, Moo 1, Tiwanon Rd., Pakkret,
    Nonthaburi Volunteers: Yes Review:","78/3, Moo 1, Tiwanon Rd., Pakkret,
    Nonthaburi","http://61.19.255 .77/web/centraltraining/","02 961 1882 / 02",""," Nonthaburi"
"women-other","Empower Foundation","Empower Foundation Promotes alternative opportunities for sex workers Contact: Telephone: 02 526 8311 Province: Bangkok, Chiang Mai, Mae Sai Address: 57/60 Tiwanon Road, Nonthaburi Volunteers: Yes Review:","57/60 Tiwanon Road, Nonthaburi","http://www.empowerfoundation.org/","02 526 8311","badgirls@empowerfoundation.org"," Bangkok, Chian"
"women-other","Foundation for Women","Foundation for Women Providing various services for women (Bangkok) Contact: Telephone: 02 433 5149 Province: Bangkok Address: 295, Soi Jarundanitwong 62, Bangplud, Bangkok
    10700 Volunteers: Review:","295, Soi Jarundanitwong 62, Bangplud, Bangkok
    10700","http://www.womenthai.org","02 433 5149","info@womenthai.org"," Bangkok"
"women-other","Mckean Rehabilitation Center","Mckean Rehabilitation Center Mckean Rehabilitation Center is the first private integrated rehabilitation center in northern Thailand under its slogan “Heartfelt service care as relatives”, the center provide elderly care, Disabled care and patient care services on daily and monthly basis. Contact : Mckean Rehabilitation Center 68-69 Koh-Klang Moo 8, Pa-Daet, Muang, Chiang Mai, Thailand 50100 Tel: (+66) 053-817170, 053-817171, 053-124263  Fax: (+66) 053-","","http://www.mckeanhosp.com/","+66) 053-817170,"," "," "
"women-other","Mae Chee Thai Foundation ( Mahapajapati
    Theri College )","Mae Chee Thai Foundation ( Mahapajapati
    Theri College ) Gives nuns and underprivileged women an education and a
    sense of social Mission Contact:Mae Chee Yupin Duangchan or Mae Chee Srisalab Upamai Telephone: 044-249-398/9 Province: Nakhon Ratchasima Address: 95 Moo 7 Tambon Phu Luang, Pak Thongchai
    district, Nakhon Ratchasima 30150 Volunteers: Review: BPF","95 Moo 7 Tambon Phu Luang, Pak Thongchai
    district, Nakhon Ratchasima 30150","http://www.thainun.org/","044-249-398/9",""," Nakhon Ratchas"
"women-other","Night Light Bangkok","Night Light Bangkok Operates under two branches: Nightlight Design, Co. Ltd, the registered jewelry business offering holistic employment, and Nightlight Foundation, the non-profit branch focusing on holistic intervention for women, families and communities affected by the global sex industry. Contact:Ms. Panomporn Utaisri Telephone: 02 255 2230 Province: Bangkok Address: PO Box 1414, Nana Post office, Bangkok 10112 Volunteers: Yes Review:","PO Box 1414, Nana Post office, Bangkok 10112","http://www.nightlightinternational.com/bangkok/","02 255 2230","bkk@nightlightinternational.com"," Bangkok"
"women-other","Global Alliance against traffic
    Women","Global Alliance against traffic
    Women Self - Empowerment Programme for Migrant
    Women (SEPOM
    ) Children of former sex workers and Japanese men need help
    overcoming health problems, alienation as well as
    issues of nationality Contact: Mari Nyota Telephone: (053) 756-411 Province: Chiang Rai Address: Self - Empowerment Programme for Migrant Women (SEPOM ) , 120
    Moo 15,  Sunluang Kong Road, Muang district, Chiang Rai 57000. Volunteers: Review: BPF","Self - Empowerment Programme for Migrant Women (SEPOM ) , 120
    Moo 15,  Sunluang Kong Road, Muang district, Chiang Rai 57000.","http://www.gaatw.org/","(053) 756-411","sepom2002@yahoo.com"," Chiang Rai"
"women-other","Pratthanadee Foundation (Previously Goodwill Group Foundation)","Pratthanadee Foundation (Previously Goodwill Group Foundation) Helping disadvantaged women through educational training. Contact: Telephone: 02258 9346-9 Province: Bangkok Address: 25/9 Soi Sukhumvit 16. Sukhumvit Road, Khlong
    Toei Bangkok 10110 Volunteers: Yes Review:","25/9 Soi Sukhumvit 16. Sukhumvit Road, Khlong
    Toei Bangkok 10110","http://www.pratthanadee.org/","02258 9346-9","goodwill@goodwillbangkok.org"," Bangkok"
"women-other","Openmind Project Foundation","Openmind Project Foundation Mission Helping local people to help local people with the help of volunteers and IT. To bridge knowledge divides between rich and poor by helping the underprivileged gain access to better learning opportunities with the help of modern information technology and overseas
    volunteers. To contribute to the conservation of our environment, nature and wildlife. To offer overseas volunteers affordable and meaningful grassroots volunteer work abroad opportunities in Thailand, Laos, Cambodia and Nepal. Contact : Openmind Project Foundation 856/9 Moo.15 Prajak Rd. Amphur Meung, Nongkai province 43000 Tel 088 564 0734","","http://www.openmindprojects.org/"," 088 564 0734"," "," "
"women-other","University Foundation of Thailand","University Foundation of Thailand International institution modeled after U.S. community
    colleges (North East Thailand) Contact: Telephone: 042-460517 Province: Nongkhai Address: Old Provincial Hall at Prap Hau Monument, Tambun Naimuang, Amphoe
    Muang, Nongkhai 43000, Thailand Volunteers: Yes Review:","Old Provincial Hall at Prap Hau Monument, Tambun Naimuang, Amphoe
    Muang, Nongkhai 43000, Thailand","http://www.fgcc.ac.th","042-460517","info@fgcc.ac.th"," Nongkhai"
"women-other","Hotline Center Foundation","Hotline Center Foundation Providing free psychological counseling (Bangkok) Contact: Ms. Ornanong Intarajit Telephone: 02276 2950 Province: Bangkok Address: 145/6 Hotline Villa, Viphavadi-Rangsit 20
    Road Yaek 6-1, Chutuchak, Bangkok 10900 Volunteers: Review:","145/6 Hotline Villa, Viphavadi-Rangsit 20
    Road Yaek 6-1, Chutuchak, Bangkok 10900","http://www.hotline.or.th","02276 2950","hotlinecenter@hotmail.com"," Bangkok"
"women-other","Siriraj Foundation","Siriraj Foundation Siriraj Foundation is a part of Siriraj Hospital to help disadvantaged and poor patient in the hospital by charity auction, fund raising.  The foundation also promote and support medical
    research of its medical science faculty. contact : Siriraj Foundation Mahidol Bumpen Building No. 2 Wanglang Rd. Bangkoknoi, Bangkok, Thailand 10700 Tel : 0-2419-7658-60#101-104","","http://www.si.mahidol.ac .th/","-2419-7658-60#101","donate_siriraj@hotmail.com"," "
"women-other","Second Chance Bangkok","Second Chance Bangkok Used furniture clothes and appliances donations are sold at the Second Chance Bangkok shop; proceeds from the sale of your goods help generate employment, start businesses, fund social projects. Contact: K. Oi Telephone: 08 7026 4205 Province: Bangkok Address: 99/101 Ardnarong Rd. Klongtoey Klongtoey Bangkok 10110 Volunteers: Review:","99/101 Ardnarong Rd. Klongtoey Klongtoey Bangkok 10110","http://www.scbkk.org/","08 7026 4205","info@scbkk.org"," Bangkok"
"women-other","Social Action for Women – Thailand","Social Action for Women – Thailand Social Action for Women provides shelter, health, and educational facilities for HIV-positive Myanmar immigrant women and children in and around Mae Sot, Thailand. The organization runs a Health
    Care House which provides shelter and treatment to women living with HIV, a safe house for children orphaned by AIDS and a reproductive health program to provide sex education to thousands of
    migrants from Myanmar, particularly those working in nearby factories. Social Action for Women follows a rights-based approach, and is a leader in promoting society-wide respect for and
    empowerment of migrants living with HIV in Thailand, regardless of their gender, age, or immigration status. It operates in partnership with several national and international networks working to
    improve the lives of immigrant women and children. CONTACT Telephone: +66 55 542 964 Fax: +66 55 542 964 Street Address: P.O. Box 51Street Mae Sot P.O. Mae Sot Tak, 63110 THAILAND","Street  P.O. Box 51Street","http://sawburma.net/","+66 55 542 964"," "," "
"women-other","Thai Volunteer Service Foundation","Thai Volunteer Service Foundation Thai Volunteer Service Foundation (TVS) was formally registered in 2000 providing different training and activities so that young people can be encouraged to be volunteers to help those who are
    disadvantaged in the society and can become agents of social change. TVS has organized different projects for young people including Full-Time Volunteer, Human Rights Volunteer, Young People
    Development for Social Change and Teacher Volunteer etc. There are about 700 alumni of these projects now not including the hundreds from the Part-Time Volunteers project. TVS also have the
    Collaboration for the Young Generation in Mekong Region project aims to build up collaboration among youth in Mekong Region. Contact : Thai Volunteer Service Foundation (TVS) 409 Soi Rohitsook, Pracharajbampen Rd.,. Huay-Kwang, Bangkok 10320, Thailand.","","http://thaivolunteer.org/","(66) 269 104 379","volunteerservice@gmail.com"," "
"women-other","The Information Technology for Inmates Project","The Information Technology for Inmates Project Provides computer skills to prisoners so they can
    re-establish their self -esteem and hope for a better life, the initiated by Her Royal Highness Princess Maha Chakri. Contact: Dr Chadamas Thuvasethakul, Telephone: 02-216-5860 Province: Bangkok Address: Floor 6, 28/61 Phaya Thai Road, Ratchathewee, Bangkok 10400 Volunteers: Review:","Floor 6, 28/61 Phaya Thai Road, Ratchathewee, Bangkok 10400","http://www.princess-it.org","02-216-5860","info@princess-it.org webmaster@kanchanapisek.or.th"," Bangkok"
"women-other","VolunteerSprit Network","VolunteerSprit Network VolunteerSpirit Network is a rebirth of the conglomeration of social workforce that brought
    together the volunteers who helped ease the tragic tsunami disaster occurred in 2004 and those who place a significance of volunteerism and giving in society.  It aims to bring the
    cooperation and to enhance the work of any volunteering organizations and individuals in Thailand. Contact : 2044/21 New Petchaburi Road, Bangkapi, Huay Khwang, Bangkok 10310 Tel : 662 319 5017(Tel) +662 319 5019
    (Tel)","","http://www.volunteerspirit.org/","662 319 5017(","volunteerspirit@gmail.com"," "
"women-other","Volunthai: Volunteers for Thailand","Volunthai: Volunteers for Thailand Volunthai exists to give travelers around the world  a first-hand look at traditional Thai culture, and help rural children along the way with English teaching, helping on charitable project
    etc. Contact : Bangkok Office 86/24 Soi Kanprapa Prachacheun Rd Bahng Sue, Bangkok 10800 Chaiyaphum Office 52/189 Non Hi Meung Gow Amphoe Meung Chaiyaphum","","http://volunthai.com/"," "," "," "
