name,description,website,cause_area,address,country,contact_number,email,contact_person
SACRIFICE FAMILIES AND ORPHANS DEVELOPMENT ASSOCIATION (SFODA),I . Children feeding Center activitesIIâ Care support for OVC and families infected by HIV/AIDS in the community projectIII.  HIV/AIDS prevention related to Drug usesIV . HIV AIDS Prevention Focus on VN entertainment worker or SMART girl Program     Activities:,http://www.sfoda.org,1 .Children feeding Center2.Care Support for OVC and families infected by HIV /AIDS in the community project 3.HIV/ AIDS Prevention related to Drug use .4 .HIV AIDS Prevention Focus on VN entertainement worker or SMART girl Program.  ,"#631, St. Tonle Sab, Doemkor Village, Sangkat Chroy Changva, Khan Russey Keo, Phnom Penh, Cambodia.",Cambodia,012 71 35 72/ 012 849542 ,sfoda_ngo@yahoo.com,"#631, Street Tonle  Sap , Group 8, Phum Deumkokr, Sangkat Chroy Changwa, Khan Russey keo, Phnom Peh. Email : sfoda_ngo@yahoo.com               Tel : 012 71 35 72/  012 842 495       MS Ouk Moninarom"
SIHANOUK HOSPITAL CENTRE OF HOPE (SHCH),"To maintain and extend comprehensive care and treatment for PLHA through the Continuum of Care      To contribute to the control of the HIV epidemic in Cambodia by continuing care for HIV/AIDS patients, and supporting the goals and strategies of NCHADS.",http://www.sihosp.org,"Continued achievement of Universal Access of HIV/STI prevention, treatment and care services in Cambodia","St. 134, Sangkat Vealvong, Khan 7 Makara , Phnom Penh, Cambodia.",Cambodia,(855-23) 882 485,info@sihosp.org,"Dr. Thai Sopheak, Head of Infectious Disease Department and Community Programs, (855-11) 842 034, sopheakthai2003@yahoo.com"
SAVE INCAPACITY TEENAGERS (SIT),"1. Outreach/BCC and home visit activities2. referal to helth service as STI,TB,ART, Pre_ART, SRH,FP,CD4,ANC,PMPCT,MCH,HIV testing.3. Finger prick for HIV and STI testing.4. SHG meeting.5.condoms and lubricant",http://www.sitcambodia.wordpress.com,HIV preventionCHBCP,"Kroum Village, Prek Anhchanh Commune, Mukompoul District, Kandal Province",Cambodia,(855-12) 473 751,sit_teen@yahoo.com,"Mr. Chhun Roeurn, Director, (855-12) 473 751, sit_teen@yahoo.com"
SCHOOL OF PUBLIC HEALTH AND SOCIAL WORK OF ST. ELIZABETH (SPHSW),"Provide accomodation, healthcare, education, nourishment, water  and etc for HIV possitive children (orphans/semi orphans)",n/a,House of Family Phnom PenhHouse of Family Sihanouk Ville,"No 126, St. 41BT, Group 5 Sangkat Boeung Tumpon Khan Meanchey, Phnom Penh",Cambodia, 081 868 869/ 016 733 668,houseoffamily@gmail.com,Ms. Renata Machalkova Country Coordinator Tel: 097 29 89 029 Email: houseoffamily@gmail.com
TROTRUNG NING AKPIWAT SOKAPEAP NEAK KRE KROR (TASK),1. Self Help Group(SHG)2. Church Capacity Building for Community Development CCBCD3.The Little Conqueror (TLC),http://www.task.org.kh,Self Help Group(SHG),"No 40,Street 363,Deum Macleur Village, SangkatChbarAmpovI, Khan Mean Chey.    Phnom Penh",Cambodia, 023 95 oo 15/012 790 681,blue_tent@yahoo.com,Mr. Suos  Sina Director Tel: 012 790 681  Email: blue_tent@yhoo.com
URBAN POOR WOMEN DEVELOPMENT (UPWD),,n/a,,"#35AEO St 265, Sangkat Beung Salang, Khan Toulkork, Phnom Penh",Cambodia,(855-23) 995 580,upwd@online.com.kh,"Ms. Soum Samoun, Executive Director, (855-12) 64 69 55, samoun.soum@gmail.com"
VITHEY CHIVIT/ROAD OF LIFE  (VC),1. Education on HIV prevention and lifestyle issue on HIV prevention and Positive Prevention.2. Community Prevention Education  On HIV prevention.3. Voluntary Confidential Counseling and Testing (VCCT) on Pre- test counseling.4. Home Visit and Psychosocial support5. Prevention from Parent-to-Child Transmission Edcation(PPTCT) on Primary prevention and Secondary preventioin.6. Community Prevention Education  On HIV prevention.7. Basic medical care and treatment education On OI/ ARV management.8. Family planning Education9. Income Generation Activities10. Drop in center11. Advocacy Project,n/a,Sustainable Action against HIV and AIDS In Cambodia,"St. 501, Community 271, Krang Angkrong 1 District, Krang Tnoung Commun, Phnom Penh",Cambodia,"(855) 11 655-821 , (+855) 12 864 -193",vitheychivit@yahoo.com,"Mr. Hout Totoem, Executive Director, (855-12) 864 193,(855-77) 393 536, (855-97) 77 61 377, vitheychivit@yahoo.com"
WOMAN DEVELOPMENT ASSOCIATION (WDA),,n/a,,"#69Eo+1, Street 97, Group 31, Sangkat Phsa Deum Thkov, Khan Chamkarmon, Phnom Penh",Cambodia,(855-23) 720 807,wda05@online.com.kh,"Ms. Soreach Serethida, Executive Director, (855) 12 955 105, ssereithida@yahoo.com.kh"
WOMENâS MEDIA CENTRE OF CAMBODIA (WMC),Produce Radio Programs and live on air,http://www.wmc.org.kh,No Means No,"#30 St.488 Sangkat PhsardeumThkov, Khan Chamcarmorn, Phnom Penh",Cambodia,(855-23) 223 597,wmcc@online.com.kh,"Mrs. Chea Sundaneth, Executive Director, (855-16) 713 714, ed@wmc.org.kh"
WOMEN ORGANIZATION FOR MODERN ECONOMY AND NURSING (WOMEN),"1-Provide care and support and prevention on HIV/AIDS to PLHIV, Ews, male clients, comminty mobility people 2-Child protection, child government and child sponsorship program, 3-Promote community partcipation on climate change and adaptation, 4-Raising awareness on sexual and reproductiove health, 5-Provide care and support to chronical ill as cancer, 6-Provide small scal credit loan to community people, 7-NGO capacity building.",http://www.womencambodia.org,"1-Integration care and support to PLHIV, 2-Livelihood program 3-Climate change and adaptation 4-Childre protection, child sponsorship.","House 987, Street 38C, Phum Tra II, Sangkat Stueng Meanchey, Phnom Penh.",Cambodia,"(855-23) 633 306 2, (855-12) 949 982",women@camnet.com.kh,"Mr. Chea Sarith, President, (855-12) 949 982, women@camnet.com.kh"
WOMEN SERVICE ORGANIZATION (WOSO),"1. HIV/AIDS Home Base Care2. Strengthening Good Governing for HC, HCMC and VHSG",n/a,1. Integrated Care and Prevention (ICP)2. Health System Strengthening (HSS),"Makak village, Snom Krapeu commune, Kompong Speu province",Cambodia,"(855-12) 368 410, (855-12) 877 801",woso.oungdara@hotmail.com,"Mrs. Mr. Oung Dara, Program Manager, 012 877 801 / 012 217 049, woso.oungdara@yahoo.com"
WORLD RELIEF CAMBODIA (WRC),1. Prevention2. Education3. Vocational and Language Training (VOC)4. Home Based Care,http://www.wr.org,HOPE Project,"Address:#30,Street 287,Toul Kork. Mail:P.O Box 126,Phnom Penh,Cambodia.",Cambodia,023 880 520/023 881 402,cambadmin@wr.org,Mr.Tim Amstutz Country Director  Tel: 023 880 520/012 206 906 Email: Tamstutz@wr.org
WORLD VISION CAMBODIA (WVC),"1.Empowered and participated community people to promote maternal child health, especially Prevention Mothers to Child Transmission (PMTCT)2.Strengthen the linkage between maternal child health and HIV&AIDS services to enhance MCH and address HIV prevention, especially PMTCT.3.Improved Care and Treatment for HIV positive women, pregnant women and HIV-Exposed infants.",http://www.worldvision.org.kh,HAPCAMI/Operation Projects,"House 20, Street 71, Tonle Bassac, Chamkar Morn, Phnom Penh, PO Box 479",Cambodia,(855-23) 216 052 / 217-923 ,contact_cambodia@wvi.org,Mr. Jason Evans Country Director Tel: 012-555-632 E-mail: jason_evans@wvi.org
