UEN No,Charity Status,Date of Charity Registration,IPC Status,IPC Period,Website,Details URL,country,name,address,cause_area
S71SS0056J,Registered,21/07/1986,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OWMxNmMzYTEtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Endocrine and Metabolic Society of Singapore,28 SIN MING LANE #05-143 MIDVIEW CITY Singapore 573972,Health
S93SS0101L,Registered,03/03/1994,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OTRkNmQyMmItN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Eng Kong Christian Church,"- -  134-136, Braddell Road Singapore 359919",Religious
201408320W,Registered,24/10/2014,Not applicable,Not applicable,engineeringgood.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YjNjZjdhZDAtZWZmNi1lMzExLTk2ZTktMDA1MDU2YTQxZjJk,Singapore,ENGINEERING GOOD LTD.,111 SOMERSET ROAD #12-05 TRIPLEONE SOMERSET Singapore 238164,Others
T03SS0008B,Registered,15/11/2003,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=Yzc2NzYwZWUtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Environmental Challenge Organisation (Singapore),87 BEACH ROAD #06-01 CHYE SING BUILDING Singapore 189695,Others
S95SS0164F,Registered,12/09/1996,Live,From 09/08/2016 To 08/08/2018,http://www.epilepsycare.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ODQ2ZWNjNGMtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Epilepsy Care Group (Singapore),112 LAVENDER STREET #03-01 FAR EAST REFRIGERATION BUILDING Singapore 338728,Health
201536378N,Registered,21/10/2015,Live,From 01/11/2017 To 31/10/2018,www.equal.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZWZkNDY0ZTUtYWI2ZC1lNTExLTliNDItMDAwYzI5ZjYzOWJh,Singapore,EQUAL-ARK SINGAPORE LTD.,100 JALAN MASHHOR   Singapore 299177,Social and Welfare
S76SS0030D,Registered,12/01/2011,Not applicable,Not applicable,http://www.efs.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDQxMjUxNzctN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,EQUESTRIAN FEDERATION OF SINGAPORE (E.F.S),100 JALAN MASHHOR   Singapore 299177,Sports
200908466C,Registered,12/12/2016,Not applicable,Not applicable,www.eradancetheatre.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=Y2M2YjZjMGItZGEyZS1lNjExLWI1NWMtMDAwYzI5ZjYzOWJh,Singapore,ERA DANCE THEATRE LIMITED,90 GOODMAN ROAD #03-54 GOODMAN ARTS CENTRE Singapore 439053,Arts and Heritage
200311368K,Registered,24/06/2005,Not applicable,Not applicable,http://www.escapetheatre.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZGE4NDI2ZmEtNzg2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ESCAPE THEATRE LTD.,1 KIM SENG PROMENADE #15-12 GREAT WORLD CITY Singapore 237994,Arts and Heritage
200511927D,Registered,19/05/2006,Not applicable,Not applicable,www.essec.edu/asia,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=N2ZiNWU5NWYtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ESSEC,5 NEPAL PARK   Singapore 139408,Education
S87CC0446F,Registered,08/04/1987,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZmU1OTM5NGItN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,EST OF DOO GEE LILY ALSO KNOWN AS LILY GEE DOO DECEASED,21 COLLYER QUAY #16-1 HSBC BUILDING Singapore 049320,Others
S83CC0020C,Registered,20/12/1983,Not applicable,Not applicable,http://www.bmtrust.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MzEyZWM5NWYtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,EST OF HENRY BOLTER DEC'D,1 Coleman Street #8-1 The Adelphi Singapore 179803,Social and Welfare
S84CC0077E,Registered,25/09/1984,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MWQwMjg1NzgtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ESTATE OF CHEW WOON POH DEC'D,21 COLLYER QUAY #16-1 HSBC BUILDING Singapore 049320,Others
S88SS0038G,Registered,26/11/1988,Not applicable,Not applicable,http://www.elassembly.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=M2ZhZWJjZTYtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Eternal Life Assembly,170 UPPER BUKIT TIMAH ROAD #09-03 BUKIT TIMAH SHOPPING CENTRE Singapore 588179,Religious
S67SS0009K,Registered,31/01/1985,Not applicable,Not applicable,www.elbc.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YmVlYTdmZmItNzg2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Eternal Life Baptist Church,28-A Kim Keat Road   Singapore 328808,Religious
201312095N,Registered,24/04/2015,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZDAxMzhhMjEtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ETONHOUSE COMMUNITY FUND LIMITED,178 CLEMENCEAU AVENUE #06-00 HAW PAR GLASS TOWER Singapore 239926,Social and Welfare
S89CC0679A,Registered,26/08/1989,Live,From 01/04/2015 To 31/03/2018,http://www.pa.gov.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YjRiM2VjZTgtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,EUNOS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,180 BEDOK RESERVOIR ROAD   Singapore 479220,Community
S92CC0913B,Registered,19/10/1992,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MGM5NWQ5MDYtN2I2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,EURASIAN ASSOCIATION ENDOWMENT FUND,139 CEYLON ROAD  EURASIAN COMMUNITY HOUSE Singapore 429744,Others
S64SS0001E,Registered,27/06/1995,Live,From 18/05/2015 To 17/05/2020,http://www.eurasians.org/home.html,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MzljOTliNzYtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,"Eurasian Association, The",139 Ceylon Road   Singapore 429744,Others
S78SS0019A,Registered,24/03/1986,Not applicable,Not applicable,www.evangelbc.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NjcwOTBkYzEtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Evangel Baptist Church,20 ALJUNIED ROAD #03-01/02 ELITE BUILDING Singapore 389805,Religious
T09SS0023G,Registered,12/03/2009,Not applicable,Not applicable,http://www.evangel-bpc.org/,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YWJkNmRhMTEtN2I2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Evangel Bible-Presbyterian Church,202 PANDAN GARDENS  GALILEE BIBLE PRESBYTERIAN CHURCH Singapore 609338,Religious
198201011E,Registered,23/10/1986,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZWI5ZjY1MjUtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,EVANGEL CHRISTIAN CHURCH LTD,3791 JALAN BUKIT MERAH #08-12 E-CENTRE @ REDHILL Singapore 159471,Religious
198403735R,Registered,12/03/1987,Not applicable,Not applicable,http://www.evangel.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NzhjYjM5MWItNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,EVANGEL FAMILY CHURCH LTD,577 YISHUN RING ROAD   Singapore 768693,Religious
198001725R,Registered,21/03/1984,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzJlOTExMTMtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,EVANGELICAL FELLOWSHIP OF SINGAPORE LTD,7 ARMENIAN STREET #03-08 BIBLE HOUSE Singapore 179932,Religious
S61SS0157D,Registered,27/05/1985,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MjcxMjUxNzctN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,"Evangelical Free Church of Singapore, The,",2 KALLANG AVENUE #10-26 CT HUB Singapore 339407,Religious
201610151M,Registered,01/10/2017,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OTAxMjcxODctYjE5NS1lNjExLWI5NzgtMDAwYzI5ZjYzOWJh,Singapore,EVANGELICAL THEOLOGICAL COLLEGE OF ASIA LTD.,35 SELEGIE ROAD #09-28 PARKLANE SHOPPING MALL Singapore 188307,Religious
S90SS0008K,Registered,09/11/1990,Not applicable,Not applicable,http://www.ee.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NGNjYTEzMTMtN2I2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Evangelism Equipping Mission (Singapore),30 Lorong 27 Geylang #04-01/02 Citiraya Centre Singapore 388164,Religious
S96SS0064J,Registered,08/07/1996,Not applicable,Not applicable,http://www.everynation.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MWRhZjRkYzEtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Every Nation Church (Singapore),2 KALLANG AVENUE #10-14 CT HUB Singapore 339407,Religious
201216939N,Registered,23/05/2013,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDg3ZWJjMzMtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,EXCLUSIVELY MONGRELS LIMITED,102 JALAN KURAS  SEMBAWANG HILLS ESTATE Singapore 577768,Others
201719854W,Registered,05/02/2018,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MDNkMmVhZGUtMjJiMy1lNzExLWE2NzAtMDA1MDU2OTYyODYw,Singapore,EXTRAORDINARY PEOPLE LIMITED,7500A BEACH ROAD #01-313 THE PLAZA Singapore 199591,Social and Welfare
T05SS0005B,Registered,14/05/1992,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZGIxZTQ5YWItNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Fa Hua Monastery,381 UPPER PAYA LEBAR ROAD   Singapore 534974,Religious
S88CC0566A,Registered,31/03/1988,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MTVlNjE0YjEtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAH SI LAM BUDDHIST TEMPLE,1 LENGKONG SATU   Singapore 417474,Religious
S87CC0541F,Registered,03/12/1987,Not applicable,Not applicable,https://www.fairfieldmc.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MDNlNjE0YjEtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAIRFIELD METHODIST CHURCH,1 TANJONG PAGAR ROAD  FAIRFIELD METHODIST CHURCH Singapore 088437,Religious
S64SS0017H,Registered,17/01/1984,Not applicable,Not applicable,http://faithag.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YjY0YzVhNGItNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Faith Assembly of God Church,Singapore,Religious
S97SS0159B,Registered,07/04/2000,Not applicable,Not applicable,http://www.fbcs.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDI3NWM1MTgtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FAITH BIBLE CHURCH SINGAPORE,21 WEST COAST CRESCENT #19-04 BLUE HORIZON Singapore 128045,Religious
S86SS0053E,Registered,16/12/1988,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ODJhZjIzYTUtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Faith Bible-Presbyterian Church,3 & 5 Tavistock Avenue   Singapore 555108,Religious
S95CC1091E,Registered,27/04/1995,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ODE4Y2EzMGUtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,"FAITH CHARITY TRUST,THE",21 COLLYER QUAY #16-1 HSBC BL Singapore 049320,Religious
S87SS0046D,Registered,15/05/1987,Not applicable,Not applicable,http://www.fcbc.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZDcwODY1YjEtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAITH COMMUNITY BAPTIST CHURCH,750A CHAI CHEE ROAD #04-01 VIVA BUSINESS PARK Singapore 469001,Religious
198304879W,Registered,19/10/1985,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDFjNjFhMTktNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FAITH INDEPENDENT BAPTIST CHURCH LTD,87 BEACH ROAD #04-04 CHYE SING BUILDING Singapore 189695,Religious
S87CC0504G,Registered,01/10/1987,Not applicable,Not applicable,http://www.faithmc.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NjA4ZWIwYjctNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAITH METHODIST CHURCH,400 COMMONWEALTH DRIVE   Singapore 149604,Religious
197900124H,Registered,28/03/1996,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZmE2MDM5ZGQtNzg2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAITH MISSION HOME LTD,14A LORONG 11 GEYLANG   Singapore 388706,Religious
S93SS0116G,Registered,16/10/1995,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YmJiMDI0YzQtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAITH SANCTUARY,14 ARUMUGAM ROAD #02-02 LION BUILDING C Singapore 409959,Religious
T04SS0050J,Registered,13/10/2004,Live,From 01/07/2016 To 31/12/2018,http://www.faithacts.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MTUwNTAxNDAtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FAITHACTS,50 COMMONWEALTH DRIVE #01-506  Singapore 142050,Social and Welfare
S98SS0035L,Registered,31/08/2010,Not applicable,Not applicable,http://www.fes.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzQ2YTcwZjQtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Family Enrichment Society,1 Scotts Road #21-14 Shaw Centre Singapore 228208,Social and Welfare
S97SS0016C,Registered,01/02/1997,Not applicable,Not applicable,http://www.familylifefirst.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YTFiZTc0ZjktN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FAMILY LIFE FIRST,13 LORONG 8 TOA PAYOH #04-1127 BRADDELL TECH Singapore 319261,Social and Welfare
S85SS0018D,Registered,15/04/1989,Live,From 01/11/2015 To 30/04/2018,http://www.familylife.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZjJkZWMxM2MtN2I2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Family Life Society,2 Highland Road  #LG-01 Catholic Archdiocesan Education Centre Singapore 549102,Social and Welfare
T07SS0225D,Registered,04/03/2011,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OWY4ZDcyOTYtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Family of Grace Evangelical Free Church,11 WOODLANDS CLOSE #07-03 WOODLANDS 11 Singapore 737853,Religious
S94CC1040A,Registered,25/08/1994,Not applicable,Not applicable,http://www.sasw.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZmMwY2Y2ZDktNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FAMILY RESOURCE AND TRAINING CENTRE,324 CLEMENTI AVENUE 5 #1-209  Singapore 120324,Social and Welfare
T04CC1760B,Registered,26/01/2004,Not applicable,Not applicable,http://www.febc.edu.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YjdiYWRlYTItN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FAR EASTERN BIBLE COLLEGE,9A GILSTEAD ROAD   Singapore 309063,Religious
197400956G,Registered,02/07/1986,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YmQwOGYzMTQtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FEBA LIMITED,30 LORONG AMPAS #07-01  Singapore 328783,Religious
S92SS0016L,Registered,01/08/2016,Not applicable,Not applicable,http://www.artfederations.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NzY3NjMzZWYtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,"Federation of Art Societies, Singapore",10 Kampung Eunos #01-01 FASS Singapore 417775,Arts and Heritage
S62SS0052E,Registered,18/01/1986,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDRmMzkxMzgtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,"Federation of Youth Clubs, Singapore",5001 BEACH ROAD #08-62 GOLDEN MILE COMPLEX Singapore 199588,Others
S91SS0020B,Registered,24/11/1992,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MjE2YmZlNzAtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Feeha Cheng Seah Temple & Old Folks Home,12 Jalan Ampas   Singapore 329515,Religious
S96SS0134G,Registered,18/05/1999,Live,From 01/10/2015 To 30/09/2018,http://www.fycs.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YWRiZTc0ZjktN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Fei Yue Community Services,185 BUKIT BATOK WEST AVENUE 6 #01-187  Singapore 650185,Social and Welfare
S94SS0031G,Registered,16/07/1994,Live,From 01/10/2015 To 30/09/2018,http://www.fycs.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MzExODYxOGYtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FEI YUE FAMILY SERVICE CENTRE,185 BUKIT BATOK WEST AVENUE 6 #01-187  Singapore 650185,Social and Welfare
201300850N,Registered,15/04/2014,Not applicable,Not applicable,http://www.singaporefca.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OTdjYjkzNmMtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FELLOWSHIP OF CHRISTIAN ATHLETES SINGAPORE LIMITED,1 MACTAGGART ROAD #02-01D INVEST HO BUILDING Singapore 368089,Religious
S60SS0021F,Registered,03/07/1985,Not applicable,Not applicable,http://www.fessingapore.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=M2YyZWM5NWYtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,"Fellowship of Evangelical Students, Singapore",420 North Bridge Road #05-05 North Bridge Centre Singapore 188727,Religious
S65SS0025D,Registered,10/12/2010,Live,From 30/08/2016 To 29/08/2018,http://www.fencingsingapore.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MmM2YWViYmQtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Fencing Singapore,3 STADIUM DRIVE   Singapore 397630,Sports
S89CC0688K,Registered,03/10/1989,Live,From 01/04/2015 To 31/03/2018,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=Mzk4ODA0ODYtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FENGSHAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,20 BEDOK NORTH ST 2   Singapore 469644,Community
S98SS0112D,Registered,20/09/1999,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MWM2YmZlNzAtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Festival of Praise Fellowship,15 Beach Road #03-07 Beach Centre Singapore 189677,Religious
S75SS0053H,Registered,13/05/1985,Not applicable,Not applicable,fgb.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzdiMzU2NmMtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FGB Gatekeepers Singapore,19 CHINA STREET #03-02  Singapore 049561,Religious
200408452G,Registered,19/08/2005,Live,From 01/04/2015 To 31/03/2018,http://www.filos.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZDYwOGYzMTQtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FILOS COMMUNITY SERVICES LTD.,38 CHAI CHEE AVENUE #01-177  Singapore 461038,Social and Welfare
S79SS0013H,Registered,06/03/1987,Not applicable,Not applicable,www.ferc.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MTFlZmI4OWQtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,"First Evangelical Reformed Church, The (FERC)",652 Yio Chu Kang Road   Singapore 787076,Religious
201132553D,Registered,18/04/2013,Not applicable,Not applicable,http://www.flamencosinfronteras.com.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=Y2VkZjI5MzItNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FLAMENCO SIN FRONTERAS LTD.,1 LORONG 24A GEYLANG   Singapore 398525,Arts and Heritage
S85CC0188B,Registered,10/06/1985,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzE3NTE3YWUtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FLORA SHOOKER TRUST,21 COLLYER QUAY #16-1 HSBC BUILDING Singapore 049320,Religious
T12SS0101H,Registered,08/02/2013,Not applicable,Not applicable,http://www.facebook.com/flute.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NjI2ODRhZDYtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,FLUTE ASSOCIATION SINGAPORE,31 EASTWOOD GREEN   Singapore 486368,Arts and Heritage
T00SS0024B,Registered,25/10/2007,Not applicable,Not applicable,http://www.fgs.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YWQ4YTg2MzMtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Fo Guang Shan (Singapore),1 PUNGGOL PLACE   Singapore 828844,Religious
200108115N,Registered,05/06/2002,Live,From 01/04/2016 To 30/09/2018,www.family.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=M2E4NGIzMmItNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FOCUS ON THE FAMILY SINGAPORE LIMITED,9 BISHAN PLACE #08-03 JUNCTION 8 SHOPPING CENTRE Singapore 579837,Social and Welfare
200609590N,Registered,17/08/2009,Not applicable,Not applicable,http://fomos.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MWNiMDBhM2YtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,FOMOS LTD.,3 ANSON ROAD #07-01 SPRINGLEAF TOWER Singapore 079909,Religious
