name,cause_area,country,city
ACT Foundation (Aksi Cepat Tanggap),Refugees, Indonesia,"Ciputat,  Jakarta"
Action Relief,Refugees, Indonesia,Sigli
Albert Schweitzer Familienwerk Foundation Philippines,Refugees, Philippines,n/a
"Antipolo Seminary Foundation, Inc. ",Refugees, Philippines,Paraaque City
Ateneo Human Rights Center,Refugees, Philippines,Makati
Cambodian-American Organization For Human Resources Training and Development (CAO),Refugees, Cambodia,Phnom Penh
Child's Dream Foundation,Refugees, Thailand,Chiang Mai
Cooperation and Development Group (CDG),Refugees, Vietnam,Hanoi
Fleur-de-Lis Centre for PEACE Inc.,Refugees, Philippines,Bacolod City
Khmer Youth Association,Refugees, Cambodia,Phnom Penh
Komite Monitoring Perdamaian dan Demokrasi/Committee for Peace and Democracy Monitoring,Refugees, Indonesia,"Syiah Kuala,  Banda Aceh"
Lembaga Pemantau Pembangunan Daerah,Refugees, Indonesia,Medan
LSM Metroxylon Maluku,Refugees, Indonesia,Ambon
Mercy Mission,Refugees, Malaysia,Kuala Lumpur
"Mindanao Integrated Resource Development, Inc. (MIRD)",Refugees, Philippines,Zamboanga City
Pertubuhan Kebajikan Mesra Rawang Selangor,Refugees, Malaysia,Rawang
Philippine Peace and Solidarity Council,Refugees, Philippines,"Novaliches,  Quezon city"
PHILSOCORDS,Refugees, Philippines,Zamboanga
PKPU,Refugees, Indonesia,Jakarta Timur
Rejoice Thailand,Refugees, Thailand,Suthep Muang
Socio-Economic Development Organization of Cambodia (SEDOC),Refugees, Cambodia,Phnom Penh
The Association of the Blind in Cambodia (ABC),Refugees, Cambodia,Phnom Penh
Tribal Media Group,Refugees, Myanmar,"Tedim PO., "
ACT Foundation (Aksi Cepat Tanggap),Population/ Human Settlements, Indonesia,"Ciputat,  Jakarta"
Action Relief,Population/ Human Settlements, Indonesia,Sigli
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Population/ Human Settlements, Philippines,Baguio City
Cambodian Volunteers for Community Development,Population/ Human Settlements, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Population/ Human Settlements, Cambodia,Phnom Penh
"CARE, Inc. (Christian Action for Relief & Empowerment)",Population/ Human Settlements, Philippines,Las Pinas City
Christian Action for Relief & Empowerment (CARE),Population/ Human Settlements, Philippines,Las Pinas City
Cooperation and Development Group (CDG),Population/ Human Settlements, Vietnam,Hanoi
ECOLINK Philippines,Population/ Human Settlements, Philippines,Oroquieta City
Global CEO Alliance Foundation Inc.,Population/ Human Settlements, Philippines,Makati
"Green Valley College Foundation,Inc.",Population/ Human Settlements, Philippines,Koronadal
He Cares Foundation,Population/ Human Settlements, Philippines,Quezon City
Kababaihan Gabay ng Bayan  (KAGABAY),Population/ Human Settlements, Philippines,Makati City
Kalinga Filipino,Population/ Human Settlements, Philippines,Quezon City
Khmer HIV/AIDS NGO Alliance (KHANA),Population/ Human Settlements, Cambodia,Phnom Penh
Lembaga Pemantau Pembangunan Daerah,Population/ Human Settlements, Indonesia,Medan
LSM Metroxylon Maluku,Population/ Human Settlements, Indonesia,Ambon
MAHITA,Population/ Human Settlements, Malaysia,Hyderabad
"Mindanao Integrated Resource Development, Inc. (MIRD)",Population/ Human Settlements, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Population/ Human Settlements, Philippines,Bacor
National Youth Parliament Alumni Association,Population/ Human Settlements, Philippines,Quezon
"Philippine NGO Support Program, Inc. (PHANSuP)",Population/ Human Settlements, Philippines,Quezon City
PHILSOCORDS,Population/ Human Settlements, Philippines,Zamboanga
PKPU,Population/ Human Settlements, Indonesia,Jakarta Timur
Poverty Reduction and Development Association (PoR-DeA),Population/ Human Settlements, Lao People's Democratic Republic,Sisattanak distr.
Rejoice Thailand,Population/ Human Settlements, Thailand,Suthep Muang
"Science Associates for Development Programme ""SADP""",Population/ Human Settlements, Lao People's Democratic Republic,Vientiane
The People Improvement Organization (PIO),Population/ Human Settlements, Cambodia,Phnom Penh
World Youth Foundation (WYF),Population/ Human Settlements, Malaysia,Lebuh Ayer Keroh
Xavier University Governance and Leadership Institute,Population/ Human Settlements, Philippines,Cagayan de Oro City
ACT Foundation (Aksi Cepat Tanggap),Peace and Security, Indonesia,"Ciputat,  Jakarta"
Action Relief,Peace and Security, Indonesia,Sigli
Asia Society for Social Improvement and Sustainable Transformation,Peace and Security, Philippines,Makati City
Asian Resource Foundation,Peace and Security, Thailand,Bangkok
"Balay Rehabilitation Center, Inc.",Peace and Security, Philippines,Quezon City
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Peace and Security, Philippines,Baguio City
Cambodian Institute for Development and Human Rights (CIDH),Peace and Security, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Peace and Security, Cambodia,Phnom Penh
Center for Peace Education,Peace and Security, Philippines,Quezon City
Center for Social Development (CSD),Peace and Security, Cambodia,Phnom Penh
Cooperation and Development Group (CDG),Peace and Security, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Peace and Security, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Peace and Security, Philippines,Baguio City
Dara Community for Development in Cambodia (DCDC-Cambodia),Peace and Security, Cambodia,Phnom PenhCity
ECOLINK Philippines,Peace and Security, Philippines,Oroquieta City
Fleur-de-Lis Centre for PEACE Inc.,Peace and Security, Philippines,Bacolod City
"Green Valley College Foundation,Inc.",Peace and Security, Philippines,Koronadal
Institute for Policy and Community Devlopment Studies (IPCOS),Peace and Security, Indonesia,Jakarta Selatan
Interfaith Communication Forum (ICF/FORKASI),Peace and Security, Indonesia,KAbupaten Gorontalo
International Police Commission Philippine Command Association,Peace and Security, Philippines,Taguig City
Kalinga Filipino,Peace and Security, Philippines,Quezon City
Komite Monitoring Perdamaian dan Demokrasi/Committee for Peace and Democracy Monitoring,Peace and Security, Indonesia,"Syiah Kuala,  Banda Aceh"
Lembaga Pemantau Pembangunan Daerah,Peace and Security, Indonesia,Medan
MAHITA,Peace and Security, Malaysia,Hyderabad
Marinduque Council for Environmental Concerns (MACEC),Peace and Security, Philippines,"Cathedral Compound,  Boac"
"Mindanao Integrated Resource Development, Inc. (MIRD)",Peace and Security, Philippines,Zamboanga City
National Youth Parliament Alumni Association,Peace and Security, Philippines,Quezon
Persatuan Kebajikan Kenanga Waja Malaysia,Peace and Security, Malaysia,Semenyih
Philippine Peace and Solidarity Council,Peace and Security, Philippines,"Novaliches,  Quezon city"
PHILSOCORDS,Peace and Security, Philippines,Zamboanga
PhnomSrey Association for Development,Peace and Security, Cambodia,KampongCham
Poverty Reduction and Development Association (PoR-DeA),Peace and Security, Lao People's Democratic Republic,Sisattanak distr.
Rotary Club of Johor Centennial,Peace and Security, Malaysia,Johor Bahru
"Science Associates for Development Programme ""SADP""",Peace and Security, Lao People's Democratic Republic,Vientiane
Secular Nation Foundation,Peace and Security, Malaysia,Kuala Lumpur
SILAKA,Peace and Security, Cambodia,Phnom Penh
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Peace and Security, Philippines,Cotabato City
Special school,Peace and Security, Singapore,Singapore
"Suluk International Advocacy Foundation,Inc",Peace and Security, Philippines,"Patikul,  Sulu"
Surigao Economic Development Foundation Inc.,Peace and Security, Philippines,Surigao City
The National English Teaching Resource Center of Cambodia (NETREC),Peace and Security, Cambodia,Phnom Penh
The People Improvement Organization (PIO),Peace and Security, Cambodia,Phnom Penh
The Supreme Council for the Confucian Religion of Indonesia,Peace and Security, Indonesia,Jakarta
ThinkActPeace Foundation - Philippines,Peace and Security, Philippines,Las Pinas City
Tribal Media Group,Peace and Security, Myanmar,"Tedim PO., "
Viveka Welfare and Educational Illam Malaysia,Peace and Security, Malaysia,Selangor
Women Initiative and Children Education Foundation,Peace and Security, Indonesia,Sigli
World Youth Foundation (WYF),Peace and Security, Malaysia,Lebuh Ayer Keroh
Xavier University Governance and Leadership Institute,Peace and Security, Philippines,Cagayan de Oro City
Action Relief,"Narcotics, Drugs & Crime", Indonesia,Sigli
Cooperation and Development Group (CDG),"Narcotics, Drugs & Crime", Vietnam,Hanoi
Council for the Restoration of Filipino Values (CRFV),"Narcotics, Drugs & Crime", Philippines,Baguio City
Dara Community for Development in Cambodia (DCDC-Cambodia),"Narcotics, Drugs & Crime", Cambodia,Phnom PenhCity
Drug Free Youth Association,"Narcotics, Drugs & Crime", Malaysia,Puchong
Fleur-de-Lis Centre for PEACE Inc.,"Narcotics, Drugs & Crime", Philippines,Bacolod City
"Glorious Harvest Community Foundation, Inc.","Narcotics, Drugs & Crime", Philippines,Cebu City
International Police Commission Philippine Command Association,"Narcotics, Drugs & Crime", Philippines,Taguig City
Kalinga Filipino,"Narcotics, Drugs & Crime", Philippines,Quezon City
Komando Barisan Rakyat/ KOBRA,"Narcotics, Drugs & Crime", Indonesia,Karawang
Komite Pemantau Aparatur Negara Republik Indonesia (KOPANRI),"Narcotics, Drugs & Crime", Indonesia,Jakarta Timur
Leadership Character Development Institute,"Narcotics, Drugs & Crime", Cambodia,Phnom Penh
Lembaga Pemantau Pembangunan Daerah,"Narcotics, Drugs & Crime", Indonesia,Medan
LSM Metroxylon Maluku,"Narcotics, Drugs & Crime", Indonesia,Ambon
National Youth Parliament Alumni Association,"Narcotics, Drugs & Crime", Philippines,Quezon
Pelita Ilmu Foundation,"Narcotics, Drugs & Crime", Indonesia,Jakarta Selatan
"Philippine NGO Support Program, Inc. (PHANSuP)","Narcotics, Drugs & Crime", Philippines,Quezon City
"Science Associates for Development Programme ""SADP""","Narcotics, Drugs & Crime", Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),"Narcotics, Drugs & Crime", Lao People's Democratic Republic,"Chanthabouri dist., "
The Supreme Council for the Confucian Religion of Indonesia,"Narcotics, Drugs & Crime", Indonesia,Jakarta
Tribal Media Group,"Narcotics, Drugs & Crime", Myanmar,"Tedim PO., "
Viveka Welfare and Educational Illam Malaysia,"Narcotics, Drugs & Crime", Malaysia,Selangor
Action Relief,Law & Legal Affairs, Indonesia,Sigli
Ateneo Human Rights Center,Law & Legal Affairs, Philippines,Makati
Cambodian Institute for Development and Human Rights (CIDH),Law & Legal Affairs, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Law & Legal Affairs, Cambodia,Phnom Penh
Cooperation and Development Group (CDG),Law & Legal Affairs, Vietnam,Hanoi
Council for the Restoration of Filipino Values (CRFV),Law & Legal Affairs, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Law & Legal Affairs, Philippines,Baguio City
Dara Community for Development in Cambodia (DCDC-Cambodia),Law & Legal Affairs, Cambodia,Phnom PenhCity
ECOLINK Philippines,Law & Legal Affairs, Philippines,Oroquieta City
ERA Consumer Malaysia,Law & Legal Affairs, Malaysia,Petaling Jaya
Federation of Indian NGOs Malaysia,Law & Legal Affairs, Malaysia,PETALING JAYA
Khmer HIV/AIDS NGO Alliance (KHANA),Law & Legal Affairs, Cambodia,Phnom Penh
Komando Barisan Rakyat/ KOBRA,Law & Legal Affairs, Indonesia,Karawang
Komite Monitoring Perdamaian dan Demokrasi/Committee for Peace and Democracy Monitoring,Law & Legal Affairs, Indonesia,"Syiah Kuala,  Banda Aceh"
Komite Pemantau Aparatur Negara Republik Indonesia (KOPANRI),Law & Legal Affairs, Indonesia,Jakarta Timur
LEMBAGA ASISTENSI PEMERINTAH DAERAH,Law & Legal Affairs, Indonesia,GIANYAR
Lembaga Pemantau Pembangunan Daerah,Law & Legal Affairs, Indonesia,Medan
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Law & Legal Affairs, Indonesia,Purwokerto
LICADHO,Law & Legal Affairs, Cambodia,Phnom Penh
National Youth Parliament Alumni Association,Law & Legal Affairs, Philippines,Quezon
PHILSOCORDS,Law & Legal Affairs, Philippines,Zamboanga
Police Watch and Human Rights Committee,Law & Legal Affairs, Malaysia,Kuala Lumpur
"Science Associates for Development Programme ""SADP""",Law & Legal Affairs, Lao People's Democratic Republic,Vientiane
STAR Kampuchea,Law & Legal Affairs, Cambodia,Phnom Penh
"Suluk International Advocacy Foundation,Inc",Law & Legal Affairs, Philippines,"Patikul,  Sulu"
Women Initiative and Children Education Foundation,Law & Legal Affairs, Indonesia,Sigli
Xavier University Governance and Leadership Institute,Law & Legal Affairs, Philippines,Cagayan de Oro City
Yayasan Bina Dharma,Law & Legal Affairs, Indonesia,Kabupaten Soppeng
Action Relief,Labor, Indonesia,Sigli
Albert Schweitzer Familienwerk Foundation Philippines,Labor, Philippines,n/a
Association for Children's Community & Development,Labor, Philippines,"Cebu City,  Philippines"
Cambodian-American Organization For Human Resources Training and Development (CAO),Labor, Cambodia,Phnom Penh
CARE-Venture International,Labor, Singapore,Singapore
Cooperation and Development Group (CDG),Labor, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Labor, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Labor, Philippines,Baguio City
ECOLINK Philippines,Labor, Philippines,Oroquieta City
Homenet Indonesia (MWPRI),Labor, Indonesia,Malang
Kalinga Filipino,Labor, Philippines,Quezon City
Komando Barisan Rakyat/ KOBRA,Labor, Indonesia,Karawang
Lakas ng Ekonomiya ng Alyansng Pilipino,Labor, Philippines,Mangatarem
Lembaga Bina Potensi Masyarakat (LBPM) ,Labor, Indonesia,Manado
Lembaga Pemantau Pembangunan Daerah,Labor, Indonesia,Medan
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Labor, Indonesia,Purwokerto
MAHITA,Labor, Malaysia,Hyderabad
National Youth Parliament Alumni Association,Labor, Philippines,Quezon
PHILSOCORDS,Labor, Philippines,Zamboanga
Poverty Reduction and Development Association (PoR-DeA),Labor, Lao People's Democratic Republic,Sisattanak distr.
"Science Associates for Development Programme ""SADP""",Labor, Lao People's Democratic Republic,Vientiane
Special school,Labor, Singapore,Singapore
STAR Kampuchea,Labor, Cambodia,Phnom Penh
ThinkActPeace Foundation - Philippines,Labor, Philippines,Las Pinas City
Tribal Media Group,Labor, Myanmar,"Tedim PO., "
Action Relief,International Organization, Indonesia,Sigli
Association of Development Financing Institutions in Asia and the Pacific (ADFIAP),International Organization, Philippines,Makati City
Association of the Blind in Cambodia,International Organization, Cambodia,Phom Penh
Brotherhood of Destiny Inc. (BROOD),International Organization, Philippines,Baliuag
Cambodian-American Organization For Human Resources Training and Development (CAO),International Organization, Cambodia,Phnom Penh
Cooperation and Development Group (CDG),International Organization, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",International Organization, Philippines,Baguio City
Friends of Overseas Filipinos Incorporated (FOFI),International Organization, Philippines,Pasig City
Global CEO Alliance Foundation Inc.,International Organization, Philippines,Makati
Goodwill Group Foundation,International Organization, Thailand,Bangkok
"Green Valley College Foundation,Inc.",International Organization, Philippines,Koronadal
"Harvest Christian School International of Cebu, Inc.",International Organization, Philippines,Cebu
Help Organization International,International Organization, Malaysia,Lahore
Integrated Qur-an Research Assembly of the Philippines,International Organization, Philippines,Masiu
"Inter Religious Council, Malaysia",International Organization, Malaysia,Kuala Lumpur
International Police Commission Philippine Command Association,International Organization, Philippines,Taguig City
International Rice Research Institute,International Organization, Philippines,Metro Manila
National Youth Parliament Alumni Association,International Organization, Philippines,Quezon
Persatuan Kebajikan Kenanga Waja Malaysia,International Organization, Malaysia,Semenyih
"Philippine NGO Support Program, Inc. (PHANSuP)",International Organization, Philippines,Quezon City
Philippine Peace and Solidarity Council,International Organization, Philippines,"Novaliches,  Quezon city"
PHILSOCORDS,International Organization, Philippines,Zamboanga
Poverty Reduction and Development Association (PoR-DeA),International Organization, Lao People's Democratic Republic,Sisattanak distr.
Quezon City Center for Women in Development (QCCWD),International Organization, Philippines,Quezon City
Research Center for Aceh Development Studies,International Organization, Indonesia,Lhokseumawe
Research Center for Aceh Development Studies (ReCADev),International Organization, Indonesia,Lhokseumawe
Rotary Club of Johor Centennial,International Organization, Malaysia,Johor Bahru
"Science Associates for Development Programme ""SADP""",International Organization, Lao People's Democratic Republic,Vientiane
Secular Nation Foundation,International Organization, Malaysia,Kuala Lumpur
"Suluk International Advocacy Foundation,Inc",International Organization, Philippines,"Patikul,  Sulu"
The Supreme Council for the Confucian Religion of Indonesia,International Organization, Indonesia,Jakarta
Tribal Media Group,International Organization, Myanmar,"Tedim PO., "
A Bu-Ari Education and Community Development Project,Indigenous People, Thailand,Chiangrai
ACT Foundation (Aksi Cepat Tanggap),Indigenous People, Indonesia,"Ciputat,  Jakarta"
Action Relief,Indigenous People, Indonesia,Sigli
Agency for Basic Community Development,Indigenous People, Myanmar,Sanchaung Township
ANAKK - Sta. Cruz Inc.,Indigenous People, Philippines,Municipality of Sta. Cruz
"Antipolo Seminary Foundation, Inc. ",Indigenous People, Philippines,Paraaque City
Association for Children's Community & Development,Indigenous People, Philippines,"Cebu City,  Philippines"
Association for the Rights of Children in Southeast Asia,Indigenous People, Philippines,Quezon City
Ateneo Human Rights Center,Indigenous People, Philippines,Makati
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Indigenous People, Philippines,Baguio City
CARE-Venture International,Indigenous People, Singapore,Singapore
Center for Public Health and Community Development (CEPHAD),Indigenous People, Vietnam,Hanoi
Cooperation and Development Group (CDG),Indigenous People, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Indigenous People, Philippines,Baguio City
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Indigenous People, Philippines,"Project 3,  Quezon City"
Council for the Restoration of Filipino Values (CRFV),Indigenous People, Philippines,Baguio City
ECOLINK Philippines,Indigenous People, Philippines,Oroquieta City
Foundation for Older Persons' Development (FOPDEV),Indigenous People, Thailand,Chiang Mai Universiry
"GMA Kapuso Foundation, Inc.",Indigenous People, Philippines,Quezon City
Green Life Association,Indigenous People, Lao People's Democratic Republic," Pakse,  Champasak"
"Green Valley College Foundation,Inc.",Indigenous People, Philippines,Koronadal
Greenway,Indigenous People, Thailand,Krong Hoykrong
Institution for Development of Rural and Indigenous People (IDRAP),Indigenous People, Indonesia,Kendari
Interfaith Communication Forum (ICF/FORKASI),Indigenous People, Indonesia,KAbupaten Gorontalo
International Association for Transformation-Philippines,Indigenous People, Philippines,Tabuk
International tribal alliance for community development and environmental restoration,Indigenous People, Philippines,Quezon
Kalinga Filipino,Indigenous People, Philippines,Quezon City
Lakas ng Ekonomiya ng Alyansng Pilipino,Indigenous People, Philippines,Mangatarem
Lembaga Pemantau Pembangunan Daerah,Indigenous People, Indonesia,Medan
Life Development Center,Indigenous People, Thailand,Chiang Mai
LSM Metroxylon Maluku,Indigenous People, Indonesia,Ambon
Martin Ampaguey Foundation,Indigenous People, Philippines,Baguio City
Masarek Simeulue Institute,Indigenous People, Indonesia,Sinabang
"Mindanao Integrated Resource Development, Inc. (MIRD)",Indigenous People, Philippines,Zamboanga City
National Youth Parliament Alumni Association,Indigenous People, Philippines,Quezon
Natural Health Foundation of the Philippines Inc,Indigenous People, Philippines,Manila
Natural Health Foundation of the Philippines Inc,Indigenous People, Philippines,Manila
Open Heart Foundation Worldwide,Indigenous People, Philippines,Quezon City
Peacemakers' Circle,Indigenous People, Philippines,Quezon City
Pertubuhan Kebajikan Mesra Rawang Selangor,Indigenous People, Malaysia,Rawang
"Philippine NGO Support Program, Inc. (PHANSuP)",Indigenous People, Philippines,Quezon City
PHILSOCORDS,Indigenous People, Philippines,Zamboanga
PNAN,Indigenous People, Singapore,Singapore
Poverty Reduction and Development Association (PoR-DeA),Indigenous People, Lao People's Democratic Republic,Sisattanak distr.
Rejoice Thailand,Indigenous People, Thailand,Suthep Muang
Rumah Zakat Indonesia Foundation,Indigenous People, Indonesia,Bandung
"Science Associates for Development Programme ""SADP""",Indigenous People, Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),Indigenous People, Lao People's Democratic Republic,"Chanthabouri dist., "
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Indigenous People, Philippines,Cotabato City
"Suluk International Advocacy Foundation,Inc",Indigenous People, Philippines,"Patikul,  Sulu"
Surigao Economic Development Foundation Inc.,Indigenous People, Philippines,Surigao City
The Consortium for Community Development and Social Justice Inc.,Indigenous People, Philippines,Quezon City
The People Improvement Organization (PIO),Indigenous People, Cambodia,Phnom Penh
"Tribal Cooperation for Rural Development, Inc. (TRICORD NGO) ",Indigenous People, Philippines, Aritao
Tribal Media Group,Indigenous People, Myanmar,"Tedim PO., "
"Women's Federation for World Peace, Philippines",Indigenous People, Philippines,Quezon City Metro
Xavier University Governance and Leadership Institute,Indigenous People, Philippines,Cagayan de Oro City
Ya Suka Sumba,Indigenous People, Indonesia,Waitabula
Yayasan Bina Dharma,Indigenous People, Indonesia,Kabupaten Soppeng
Youth Volunteer For Action on Development ,Indigenous People, Lao People's Democratic Republic,Vientiane
Action Relief,Human Rights, Indonesia,Sigli
Albert Schweitzer Familienwerk Foundation Philippines,Human Rights, Philippines,n/a
ANAKK - Sta. Cruz Inc.,Human Rights, Philippines,Municipality of Sta. Cruz
Asia Society for Social Improvement and Sustainable Transformation,Human Rights, Philippines,Makati City
Asian Federation Against Involuntary Disappearances (AFAD),Human Rights, Philippines,Quezon City
Association for Children's Community & Development,Human Rights, Philippines,"Cebu City,  Philippines"
Association for the Rights of Children in Southeast Asia,Human Rights, Philippines,Quezon City
Ateneo Human Rights Center,Human Rights, Philippines,Makati
Cambodian Human Rights and Development Association (ADHOC),Human Rights, Cambodia,Beng Raing Daun Penh P.P
Cambodian League for the Promotion and Defense of Human Rights (LICADHO),Human Rights, Cambodia,Phnom Penh
Cambodian NGOs Alliance for Cooperation (CNAC),Human Rights, Cambodia,Dangkor
"CARE, Inc. (Christian Action for Relief & Empowerment)",Human Rights, Philippines,Las Pinas City
"Center for Alternative Resources, Authentic Technology Services (CARATS), Inc.",Human Rights, Philippines,"Buhangin District,  Davao"
Center for Asia Pacific Women in Politics (CAPWIP),Human Rights, Philippines,Paranaque City
Centre for Regional Information and Studies (PATTIRO),Human Rights, Indonesia,Jakarta Selatan
CIVIC Bangalore,Human Rights, Indonesia,Bangalore -560052
Cooperation and Development Group (CDG),Human Rights, Vietnam,Hanoi
Council for the Restoration of Filipino Values (CRFV),Human Rights, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Human Rights, Philippines,Baguio City
ECOLINK Philippines,Human Rights, Philippines,Oroquieta City
ERA Consumer Malaysia,Human Rights, Malaysia,Petaling Jaya
Federation of Indian NGOs Malaysia,Human Rights, Malaysia,PETALING JAYA
Fleur-de-Lis Centre for PEACE Inc.,Human Rights, Philippines,Bacolod City
Goodwill Group Foundation,Human Rights, Thailand,Bangkok
"Green Valley College Foundation,Inc.",Human Rights, Philippines,Koronadal
"Harvest Christian School International of Cebu, Inc.",Human Rights, Philippines,Cebu
Homenet Indonesia (MWPRI),Human Rights, Indonesia,Malang
Institute for Research and Empowering Society (INRES),Human Rights, Indonesia,Surakarta
Institution for Development of Rural and Indigenous People (IDRAP),Human Rights, Indonesia,Kendari
Interfaith Communication Forum (ICF/FORKASI),Human Rights, Indonesia,KAbupaten Gorontalo
Kampong Thom Farmers Association  (KTFA),Human Rights, Cambodia,Phnom Penh
Komando Barisan Rakyat/ KOBRA,Human Rights, Indonesia,Karawang
Komite Monitoring Perdamaian dan Demokrasi/Committee for Peace and Democracy Monitoring,Human Rights, Indonesia,"Syiah Kuala,  Banda Aceh"
Komite Pemantau Aparatur Negara Republik Indonesia (KOPANRI),Human Rights, Indonesia,Jakarta Timur
Lembaga Pemantau Pembangunan Daerah,Human Rights, Indonesia,Medan
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Human Rights, Indonesia,Purwokerto
LICADHO,Human Rights, Cambodia,Phnom Penh
LKTS - Lembaga Kajin untuk Transformasi Sosial,Human Rights, Indonesia,Boyolali
LSM Metroxylon Maluku,Human Rights, Indonesia,Ambon
MAHITA,Human Rights, Malaysia,Hyderabad
Marinduque Council for Environmental Concerns (MACEC),Human Rights, Philippines,"Cathedral Compound,  Boac"
Merah-Putih Foundation ,Human Rights, Indonesia,Palu
"Mindanao Integrated Resource Development, Inc. (MIRD)",Human Rights, Philippines,Zamboanga City
Our Friends Organization ,Human Rights, Cambodia,Phnom Penh
Pelita Ilmu Foundation,Human Rights, Indonesia,Jakarta Selatan
People's Agricultural Plan for the 21st Century Inc. (PAP 21),Human Rights, Philippines,Bacolod City
Philippine Peace and Solidarity Council,Human Rights, Philippines,"Novaliches,  Quezon city"
PHILSOCORDS,Human Rights, Philippines,Zamboanga
PhnomSrey Association for Development,Human Rights, Cambodia,KampongCham
Police Watch and Human Rights Committee,Human Rights, Malaysia,Kuala Lumpur
Poverty Reduction and Development Association (PoR-DeA),Human Rights, Lao People's Democratic Republic,Sisattanak distr.
Regional Development Action Association ,Human Rights, Cambodia,Siem Reap
Rejoice Thailand,Human Rights, Thailand,Suthep Muang
Research Center for Aceh Development Studies (ReCADev),Human Rights, Indonesia,Lhokseumawe
Sao Sary Foundation,Human Rights, Cambodia,Chbar Morn
"Science Associates for Development Programme ""SADP""",Human Rights, Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),Human Rights, Lao People's Democratic Republic,"Chanthabouri dist., "
Secular Nation Foundation,Human Rights, Malaysia,Kuala Lumpur
"Share A Child Movement, Inc.",Human Rights, Philippines,Cebu City
SILAKA,Human Rights, Cambodia,Phnom Penh
"Suluk International Advocacy Foundation,Inc",Human Rights, Philippines,"Patikul,  Sulu"
ThinkActPeace Foundation - Philippines,Human Rights, Philippines,Las Pinas City
Tribal Media Group,Human Rights, Myanmar,"Tedim PO., "
Women Initiative and Children Education Foundation,Human Rights, Indonesia,Sigli
World Youth Foundation (WYF),Human Rights, Malaysia,Lebuh Ayer Keroh
Xavier University Governance and Leadership Institute,Human Rights, Philippines,Cagayan de Oro City
Yayasan Bina Potensi Masyarakat (YAPIM) / Institute of Potency Community Motivator ,Human Rights, Indonesia, Sukun Malang
Yayasan Pusaka Indonesia,Human Rights, Indonesia,Medan
Youth Volunteer For Action on Development ,Human Rights, Lao People's Democratic Republic,Vientiane
ACT Foundation (Aksi Cepat Tanggap),Health & Nutrition, Indonesia,"Ciputat,  Jakarta"
Action Relief,Health & Nutrition, Indonesia,Sigli
Agency for Basic Community Development,Health & Nutrition, Myanmar,Sanchaung Township
"Agusan for People's Health Development Foundation, Inc. ",Health & Nutrition, Philippines,Prosperidad
"Alay Kapwa Educational Foundation, Inc. ",Health & Nutrition, Philippines,Manila
Albert Schweitzer Familienwerk Foundation Philippines,Health & Nutrition, Philippines,n/a
American Association of the Philippines,Health & Nutrition, Philippines,Makati City
"American Women's Club of the Philippines, Inc. ",Health & Nutrition, Philippines,Makati City
"Amigonian Youth Center Foundation, Inc. ",Health & Nutrition, Philippines,Cavite
ANAKK - Sta. Cruz Inc.,Health & Nutrition, Philippines,Municipality of Sta. Cruz
"Antipolo Seminary Foundation, Inc. ",Health & Nutrition, Philippines,Paraaque City
Asia Society for Social Improvement and Sustainable Transformation,Health & Nutrition, Philippines,Makati City
"Asian Hospital Charities, Inc. ",Health & Nutrition, Philippines,Muntinlupa City
"Asilo de Molo, Inc. ",Health & Nutrition, Philippines,Iloilo City
Association for Children's Community & Development,Health & Nutrition, Philippines,"Cebu City,  Philippines"
Cambodian Health Education Development (CHED),Health & Nutrition, Cambodia,Phnom Penh
Cambodian Volunteers for Community Development,Health & Nutrition, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Health & Nutrition, Cambodia,Phnom Penh
"CARE, Inc. (Christian Action for Relief & Empowerment)",Health & Nutrition, Philippines,Las Pinas City
