address,cause_area,description,name,website
"66 Linaw Street, Sta. Mesa Heights, Quezon City","Charitable,Social Welfare,Social Development","Company Description:
It was a study on the drop-out problem in the Philippines, published by the Bureau of Public Schools in 1965 that prompted French Jesuit, Fr. Pierre Tritz, S.J. to embark on what was to become his passion for the next thirty seven years, and in the process to give up his nationality and acquire Filipino citizenship. Thus, the Educational Research and Development Assistance (ERDA) Foundation, Inc. was founded in September 1974 and was officially registered with the Securities and Exchange Commission (SEC) as a non-stock, non-profit organization on May 9, 1975. With its experience for the past 37 years, ERDA aims to promote the total development, physical, social and economic aspects of poor children. Aside from educational assistance, ERDA has also developed programs for the families of the beneficiaries as well as their communities. Its main office is located at the #66 Linaw St., Sta. Mesa Heights, Quezon City. The Foundation has 32 regular staff, 17 project-based staff, 4 part-time staff, 5 contractual workers and 15 members of the Board of Trustees. It was certified for 5 years on August 22, 2007 and which ended on August 21, 2012. Its purposes (V-M-G), among others are, �to envision a nation where all children have access to quality education that they might have decent human life and prepare them for a better future; to improve the quality of life of marginalized Filipino children and youth by providing greater access to basic education through educational assistance, capability building and advocacy activities while effectively strengthening their capacities, their families and stakeholders in the community; to participate in initiatives and efforts toward ensuring access to quality basic education, to enable families to support and maintain their children in school; and to ensure viability and sustainability�. The Foundation�s programs/projects focused on the following areas: Health and Medical Services, Livelihood, Continuing Education and Ec","Educational Research and Development Assistance (ERDA), Foundation, Inc. ",www.erda.ph 
"804 A. Arnaiz Avenue, San Lorenzo Village, Makati City",Charitable,"Company Description:
The El Cielito Foundation Inc. (ECFI) was registered with the SEC as a non-stock, non-profit corporation on May 3, 2004 by a group of incorporators who were interested in organizing activities that will help alleviate poverty through education and entrepreneurial opportunities. It is a family/operating non-government organization. Its main office is located at 804 A. Arnaiz Avenue, San Lorenzo Village, Makati City. The foundation has one (1) regular staff, two (2) seconded staff, 18 volunteers and six (6) members of the Board of Trustees.
Its purposes (V-M-G), among others, are �to spearhead / initiate an integrated approach towards poverty alleviation through education; to elicit the spirit of solidarity and volunteerism among the youth; to help foster social responsibility through individual and/ or corporate giving; and to help preserve and strengthen family values necessary for nation-building�. The Foundation�s programs/projects now focus on the following, among others:  1. Education and Youth Development Program/Scholarship Grants � provides financial assistance to college students in different schools and public high school students. Also provides values formation, English proficiency classes and leadership and interpersonal skills trainings. 2. Livelihood Projects - provides entrepreneurial development skills through its soap making projects for the marginalized youth and their mothers in the Municipality of Bacoor, Cavite. It was certified for one (1) year on April 6, 2006; three (3 years on October 4, 2007 and has applied for renewal of certification.
�","El Cielito Foundation, Inc. ", 
"Ateneo de Manila Campus, Loyola Heights, Quezon City","Charitable,Research","Company Description:
El Observatorio de Manila, Inc. or Manila Observatory was registered with the SEC as a non-stock, non-profit corporation on February 2, 1994 (this is the second incorporation life after its 50th year - original ) by a group of incorporators who were interested in the systematic observation of Philippine weather. It is an operating//research organization. Its main office is located within the campus of Ateneo de Manila University in Quezon City. The foundation has 17 regular staff, 25 project-based staff, 5 part-time staff, 3 contractual staff and nine (9) members of the Board of Trustees. Its purposes, among others, are �to conduct scientific research in the physical & related sciences with the intention of contributing to an understanding of their nature & for human development as well as the protection & preservation of the environment�. The Foundation�s programs now focus on the following areas: climate change assistance, environmental geomatics, ionosphere/geo-magnetics, urban air quality/instrumentation technology development, regional climate studies, solid earth dynamics, etc. It was certified for 5 years on November 20, 2002 that ended on November 19, 2007. For its 1st Renewal, it was certified for another 5 years on September 15, 2008 which ended September 14, 2013. ","El Observatorio de Manila, Inc. ",www.observatory.ph 
"CMS Compound, Gov. Cuenco Avenue, Banilad, Cebu City","Charitable,Social Welfare","Company Description:
Emergency Rescue Unit Foundation Phils., Inc. (ERUF) is a non-stock, non-profit corporation registered with SEC on April 22, 1986. Prior to its formal incorporation, the displaced paramedics of the Mandaue City Fire Department together with a group of civic-oriented citizens felt the need to provide emergency medical rescue services to the residents of Metro Cebu. Hence, the birth of ERUF which became functional as early as 1986. It is an operating organization classified as a social welfare and service delivery organization with a special purpose for emergency rescue. Today, ERUF prides itself in having modern equipment and vehicles ranging from, among others, fully equipped trauma vans, extrication equipment, fire trucks, a variety of communication equipment, search and rescue apparatus and over ten (10) ambulances based in different strategic locations in Metro Cebu. ERUF has formal arrangements with the cities of Cebu, Mandaue and Lapu-Lapu to provide free emergency medical services to its residents in exchange for a subsidy. Its main office is located at CMC Compound, Gov. Cuenco Ave., Banilad, Cebu City. The Foundation has 36 regular staff, 30 volunteers and 11 members of the Board of Trustees.
It was certified for three (3) years in 2000; five (5) years in 2005; another five (5) years in 2011 and which ended on December 15, 2015. Its primary purpose is to save lives and mitigate loss of properties against accidents and calamities through the setting up of nationwide paramedic network to competently provide emergency medical and pre-hospital care, rescue and rehabilitation services as well as training programs that can effectively respond to the needs of the community. Their program areas include education and training, disaster and relief and skills training catering to all residents in the areas of operational responsibility.
�",Emergency Rescue Unit Foundation Phil. Inc. , www.eruf161.com.ph 
"Certeza cor. Lorenzo dela Paz Sts., Pandacan, Manila","Charitable,Educational","Company Description:
ERDA TECH Foundation, Inc. was established by Fr. Pierre Tritz, S.J. in 1991 as his response to the worsening problem of poverty and unemployment in the Philippines. It is duly registered with the Securities and Exchange Commission (SEC) on January 29, 1993 as a non-stock, non-profit technical and vocational educational and training institution serving the socially disadvantaged youth of Metro Manila.� It is the first in the Philippines to offer a five-year high school curriculum with a dual training system.� The curriculum exposes the students to the regular academic high school courses required by DepEd and to intensive job preparation that includes in-plant training and work ethics training. In 2008, the school was adopted by Xavier School which resulted in significant changes and improvements insuring the future of the school beyond the lifetime of its founder. For the past 20 years, ERDA Tech has been faithful in its mission of educating and training less fortunate Filipino youth. Its objective then, and now, is to produce high school graduates for immediate employment as skilled workers. With the advent of DepEd�s K to 12 basic education program, ERDA Tech has decided to focus on poor but deserving Senior High School students beginning school year 2016-2017 interested in pursuing the Technical-Vocational track, and prepare them to qualify upon graduation, for immediate employment as skilled workers equipped with the desired competencies and work values. Its main office is located at Certeza cor. Lorenzo dela Paz Sts., Brgy. 839, Zone 91, 6th District, Pandacan, Manila. The foundation has 27 regular staff (17 academic and 10 non-academic), 5 full-time seconded staff from Xavier School, 1 volunteer, 2 retainer basis and 15 members of the Board of Trustees.
�
It was first certified for 5 years on April 25, 2003 which ended on April 24, 2008. First Renewal was certified for 3 years on August 10, 2014 and which will end on November 4, 2016.
�
Its purposes, among others, are, �a technical vocational high school for the less fortunate youth which seeks to form its students into becoming God-loving, highly skilled, self-sufficient and socially responsible citizens; to provide disadvantaged youth with quality tech-voc high school education and training, preparing them for work after graduation equipped with employable technical skills, sound academic training and Christian values; and to expose and prepare students to the alternative option of immediate employment after high school by gearing education to work. The foundation�s programs now offering Senior High School Diploma focused on the Tech-Voc track on emerging technologies in line with the K-12 Philippine Educational Reform.
�
�","ERDA TECH Foundation, Inc. ",www.erdatech.edu.ph 
"G/F Benpress Bldg., Exchange Road cor. Meralco Ave., 1600 Pasig City","Charitable,Cultural","Company Description:
Eugenio Lopez Foundation, Inc. was incorporated with the Securities and Exchange Commission on June 17, 1968 as a non-stock, non-profit corporation. It was established in honor of the late Don Eugenio Lopez, Sr., a patron of Philippine Arts and Culture, to ensure that his legacy shall continue through generations. The Foundation serves the general public through the operation of the Lopez Memorial Museum which was established on February 13, 1960 with about 20,000 Filipiniana collections, Philippine imprints from early 17th century, collections of maps from 17th to 18th century, Rizaliana collections and materials on Spanish and early American period, acquired and collected over the years by Don Eugenio. Its main office is located at the Ground Floor, Benpres Bldg., Exchange Road, Pasig City. The Foundation has 9 regular staff, 7 project-based staff, and 15 members of the Board of Trustees.
It was certified for five 5 years on December 14, 2005, which ended on December 13, 2010. On October 5, 2010, it was renewed for another 5 years which ended on August 25, 2015.
Its purposes, among others, are to support, promote and enrich its library holdings and art collections and thereby contribute meaningfully to the educational needs of readers and cultural fulfillment of art viewers. The Foundation�s programs mainly focus on:� Culture and Arts Education Program � which offers a wide diversity of workshops, thought-provoking public talks and roundtable conversations.� Conservation Program � a. Conservation Laboratory - conducts conservation research and analysis as well as the actual conservation and restoration of paintings and works on paper with the use of state-of-the-art equipmentb. Digitization Project � aims to preserve original and archival material and to enable greater access to these resources.� Exhibition Program � a semi-annual changing exhibition program since 2001 that seeks to interpret segments of its permanent collection alongside contemporary expressions.
�","Eugenio Lopez Foundation, Inc. ",www.lopez-museum.com 
"#75 Swaziland St., Better Living Subdivision, Para�aque City","Charitable,Educational","Company Description:
The European International School, Inc. is a non-stock, non-profit educational institution registered with the Securities and Exchange Commission on July 31, 2003 primarily to provide shared services to the Philippine- based operation of German School (Deutche Schule Manila, also known as German School Manila) and the French School (Ecole Franzaise de Manille, also known as Lycee Francais de Manille). Both German School and the French School were set up to be a venue for elementary and secondary school education of the dependents of foreign diplomatic personnel as well as other foreign temporary residents/students and local residents of the Philippines. Its main office is located at #75 Swaziland St., Better Living Subd., Para�aque City. The Foundation has 15 Regular Staff, 32 Program-based Staff, 24 Part-time staff, and 10 members of the Board of Trustees.
European International School was given a Government Recognition by the Department of Education (DepEd) in 2006 for its Nursery/Kindergarten program; Elementary and Secondary Courses. It was also given a Certificate of Authorization to offer the Diploma Program of the International Baccalaureate Organization in June 2003. This opened up options for students both German School & French School ages 16-19 to take program making them eligible for entry into higher education anywhere around the world.
Its purposes among others are to nurture the children of various nationalities, developing them into responsible, productive and self-reliant members of the society with an appreciation of various foreign and local cultures.
�","European International School, Inc. ",www.eis-manila.org 
"4th Floor, Cheng Bldg. 212 Haig Street, Brgy. Daang Bakal, Mandaluyong City","Religious,Charitable","Company Description:
The Evangelion Foundation, Inc. (SFI) was registered with the SEC as a non-stock, non-profit corporation on June 6, 1997 to empower people by inculcating gospel values through training and values formation. The Foundation operates nationwide conducting various �power seminars� to �allow human resources to move toward holistic development�. The Foundation is being managed by Rev. Fr. Edwin Mercado and is assisted by eleven (11) regular staff, and eleven (11) Board Members.
�
����������� It was certified for five (5) years on June 28, 2004 which ended on June 27, 2009. On April 08, 2010, the Foundation was certified for five (5) years which ended on January 28, 2015.
�
����������� Its purposes, among others, are �to inculcate Gospel values in persons, and effect a personal change with a sense of mission directed towards transforming structures in the marketplace�.� The training is a 2-day seminar/workshop which includes the following: 1) Finding the Core Value 2) Living the Core Value 3) Living the Corporate Value 4) Quantifying the Corporate Core Values 5) Becoming a High-Performing Team.
�
Its sources of income include donations from corporations.�","Evangelion Foundation, Inc. ",evangelionfoundation.org 
"32nd Street cor. University Parkway, Bonifacio Global City, 1634 Taguig City","Charitable,Educational","Company Description:
Every Nation Leadership Institute, Inc., (formerly known as Victory Leadership Institute) is a non-stock, non-profit institution registered with the Securities and Exchange Commission on April 27, 2000, established primarily to establish and conduct a university system, opening and maintaining the necessary school, colleges and institutions, and offering therein elementary, secondary, collegiate and post graduate courses of study, as well as, technical, vocational and special courses. It is an educational institution located at 32nd Street corner University Parkway, Bonifacio Global City, Taguig. The institution has 32 regular staff, 5 project-based staff and 6 Board of Trustees.
It was certified for one (1) year on May 15, 2002 which ended on May 14, 2003. The institution renewed its certification on February 26, 2004 and was granted with a five (5) � year certification which had lapsed on February 25, 2009. The organization only submitted its application for its 3rd renewal on February 16, 2015 when a new person was assigned to handle its application for re-certification.
Its purposes, among others, are �to develop leaders in every sphere of life which will help transform families, business, government, education, media, sports and the arts for the glory of God.� The Foundation�s programs now focus on pre-school education and non-diploma courses for adult education in church leadership and character development.
�","Every Nation Leadership Institute, Inc. (formerly Victory Leadership Institute, Inc.) ",www.enli.org.ph 
"46/F One Corporate Center, Julia Vargas corner Meralco Ave., Pasig City","Charitable,Social Development","Company Description:
The Far East Broadcasting Company (Philippines), Inc. was registered with Securities and Exchange Commission as non-stock, non-profit, religious corporation on June 10, 1997. Its main office is located at One Corporate Center, Julia Vargas cor. Meralco Avenue, Ortigas Center, Pasig City. The foundation has a regular staff of 108, and 11 members of the Board of Trustees. Its purposes, among others, are �to spread the principles of biblical Christianity, promote musical appreciation and cultural and social development, disseminate information along these lines and promote such other activities as well as inure to the general betterment of the peoples of the Philippines and neighboring countries through the broadcast media.�
The Foundation�s programs now focus on the following areas: 1) Local and International Broadcasts - Taking the Gospel where traditional missionaries can't; 2) Disaster Response - Responding with His love in times of crisis; 3) Transforming Communities - Building relationships and supporting sustainable change; 4) Equipping and Empowering the Local Church. This is the Foundation�s third application for PCNC Certification. It was granted a 5-year certification for donee institution status on June 06, 2001which ended on June 05, 2006. On PCNC�s second visit, it was granted a 5-year certification on September 29, 2007 which ended on September 28, 2012 Total donations received was Php 95,380,389 for the year 2012.�","Far East Broadcasting Company (Philippines), Inc. ",www.febc.org.ph 
"Fr. Urios University Campus, San Francisco St., Butuan City","Charitable,Social Development","Company Description:
The Father Saturnino Urios University Foundation, Inc. was registered with the SEC as a non-stock, non-profit corporation on April 23, 2012 by a group of incorporators who were interested in professionalizing the social development arm of Father Saturnino Urios University. It is a an operating organization . Its main office is located at Fr. Urios University Campus, Butuan City. The foundation has 1 full time staff , 2 project-based staff; 4 seconded staff, and 5 members of the Board of Trustees.
It was certified for 1 year on September 15, 2014 and which ended on August 7, 2015.
As a social development arm of the University (Father Saturnino Urios University, Inc), together with the Community Extension Service Officer, develops, implements, evaluates and sustains program in various development areas which includes 1) education; 2) environmental conservation, protection & sustainability 3) health & community development; 4) leadership and development and 5) emergency response. The geographical scope of programs is within the Caraga Region.
�","Father Saturnino Urios University Foundation, Inc. ", 
"T. de Leon Street, Karuhatan, Valenzuela City","Charitable,Educational","Company Description:
Febias College of Bible, Inc. or Febias is an interdenominational school, which provides training for future pastors, Christian workers and evangelical leaders. Febias, which was then called Far Eastern Bible Institute and Seminary (FEBIAS),� was founded in 1948 by a group of American servicemen. The school is located at Karuhatan Road, Valenzuela City. The school has a regular faculty & staff of 37, Part-Time staff of 19, volunteers of 4, and 15 members of the Board of Trustees, there is one vacant seat to be occupied soon.�
It was registered with Securities and Exchange Commission (SEC) on May 30, 1969 and it began to operate under the permit of the then Bureau of Private Schools now Commission on Higher Education. In 1971, Febias was granted by the government to offer a four-year Bachelor of Arts Program. The following year, the school�s management was turned over to Filipinos.� At present, Febias offers the following courses: (a) AB in Theology, (b) Missionary Aviation; (c) AB in Christian Ministries; (d) Bachelor of Elementary Education (e) Basic Bible Course( f) MA in Theology��� (g)Certificate in Ministerial Studies, and (h) Nursery/Kindergarten Course.
It was certified for five (5) years� on April 25, 2003 which ended on April 24, 2008, the organization renewed its certification on March 10, 2009 which will end on March 9, 2014.
Its purposes, among others are, �to provide opportunities for excellent training and development of men and women of God, Christian leaders who excel and have spiritual cutting edge in various areas of ministry. The school operates in Valenzuela, students come from Manila and different provinces.
�","Febias College of Bible, Inc. ",www.febias.edu.ph 
"Room 113, Krizia Bldg., Gorordo Ave. Cebu City ","Charitable,Social Welfare","Company Description:
The Feed the Children Philippines, Inc. (FTCP) was registered with the SEC as a non-stock, non-profit corporation on May 12, 1989 by a group of incorporators who were interested in dealing with disadvantaged children and assisting parents and surrounding areas build more child-friendly communities. It started in the Philippines in 1984-1988 as an outreach program of Feed the Children � Oklahoma founded by Dr. Larry Jones in 1979. It is a social development and social welfare organization with its main office at 969 Julio Diaz Street, Guadalupe, Cebu City. FTCP�s programs are aligned with FTC-Oklahoma global directions. The foundation has a regular staff of 19, project-based staff of 7 and 9 members of the Board of Trustees.
It was certified for 5 years on May 14, 2002 and was renewed on November 28, 2007. The last certification given on December 2, 2010 expired on September 30, 2015.
Its purpose is to reduce and eliminate child hunger by using an integrated community development program that assists children, their families and communities achieve self-sufficiency through, food and nutrition, education, health and water, livelihood development and disaster risk management.
The sources of income include donations and grants from foundations and individuals, foreign organization such as Feed the Children Oklahoma, investment in stocks and bonds and indirect income. They have an approved budget of Php 312.27M for the year. Total donations received for the last two years amounted to Php 448.62M.","Feed The Children Philippines, Inc. ",www.ftcphils.org 
"Unit 104, 1310 Benavidez Street, Sta. Cruz, Manila",Charitable,"Company Description:
The Fei Hua Good News Foundation Inc. was registered with the SEC as a non-stock, non-profit corporation on May 5, 2005 by a group of incorporators who were interested in promoting the word of God in the Tagalog language and in English through cable television in various cities in the Philippines and Taiwan on a 24/7 airing. It is an operating charitable organization located at Unit 104 1310 Benavides St., Sta. Cruz, Manila. The foundation has 1 regular staff, 1 outsourced staff, 5 regular volunteers and 5 members of the Board of Trustees.
�
It was certified for 1 year on December 6, 2007 and ended on December 5, 2008. It was again certified by PCNC for 3 years on November 17, 2009� which expired on November 16, 2012. �Another 3-year certification was granted on June 19, 2014 that expired on June 18, 2017.
�
Its purposes (V-M-G), among others, are �to make known the message and the love of Christ to the world�. The Foundation�s programs/projects now focus on the following areas:� a.) Promotion of GOODTV Christian Television Program and distribution of GOODTV Christian DVD and religious literatures; b.) Assisting missionaries, ministers, and other servants of God engaged in social welfare, charitable and other humanitarian activities; and �c.) Scholarship support to students of Hope Christian School. The organization operates nationwide covering 80 cities and in Taiwan.
�","Fei Hua Good News Foundation, Inc. ", 
"Yusay Arcade, Araneta St., Brgy. 15, Bacolod City","Charitable,Social Development","Company Description:
The Felix G. Yusay Foundation, Inc. (FGYFI) was registered with the Securities and Exchange Commission (SEC) as a non-stock, non-profit organization on December 20, 2007 by the Yusay Family in honor of the Patriarch of the �family who was a Philanthropist and businessman. It is a family/corporate Foundation. ��Its main office is located at Yusay Arcade, Araneta Street, Bacolod City. The foundation has 2 regular staff; 1 part-time staff; 2 regular volunteers and 7 members of the Board of Trustees.
�
����������� Its purposes (V-M-G), among others, are �to serve and enhance the quality of life of the poor and the needy through access to education, medical assistance, support sports to achieve their full potential, environmental protection and preservation and livelihood for self-sufficiency.�� The foundation�s programs/projects focus on the following areas:� health, education, social welfare and development, livelihood and sports.� Geographical scope of programs: Islands of Negros and Panay.�
�
Its sources of income include donations, grants, fund raising activities, trade and merchandising and membership fees.","Felix G. Yusay Foundation, Inc. ", 
"3/F M11 Annex 1 Bldg., April Extn., Vico Subdivision, Bahay Toro, Congressional Avenue, Quezon City","Charitable,Training","Company Description:
The Fellowship of Christians in Government, Inc. (FOCIG) is a non-stock, non-profit organization duly registered with the Securities and Exchange Commission on April 3, 1991 to primarily establish a network of Bible Study groups and fellowships in various government agencies and was organized to go and build committed Christian public servants, thus, begun the unfolding of a vision for a clean and honest government bureaucracy. It is an operating organization. Its main office is located at 3rd Floor, Arete Square Bldg., April Extension, Vico Subdivision, Congressional Ave., Quezon City. The Foundation has 4 regular staff, 1 part-time staff, 9 members of the Board of Trustees.
It was first certified for 3 years on October 13, 2003 and which ended on October 12, 2006. First Renewal was for 5 years on June 21, 2007 and which ended on June 20, 2012. Second Renewal was for 3 years on September 11, 2012 and which ended on July 25, 2015.
Its purposes, among others, are �Christians united in advancing a righteous and transformative government�; to mentor and empower strategic public servants to advance righteousness and to serve with Integrity, Social Responsibility, Excellence, Respect for Authority and Individual, Visible Commitment, Evangelism and Discipleship. The organization�s programs are now focused on the following areas: (1) Leadership and Values Seminar (Leadership and Parenting Seminar, Mentoring Leadership Seminar, Couples Seminar); (2) Small Group Mentoring; and (3) Partnering and Networking.
�","Fellowship of Christians in Government, Inc. (FOCIG) ",www.focig.com 
"6/F Federation Center Building, Muelle de Binondo, Manila","Charitable,Social Welfare","Company Description:
The FFCCCII Foundation Inc. was registered with the Securities and Exchange Commission (SEC) as a non-stock, non-profit corporation on January 14, 2010 by the Federation of Filipino-Chinese Chambers of Commerce & Industry, Inc., which is the largest organization of Filipino businessmen with Chinese heritage to focus on the corporate social responsibility programs/projects of the federation�s various members. Widely recognized as a partner in nation-building, FFCCCII�s dedication and commitment to the pursuit of progress and improvement of Filipino lives can be seen in its many programs such as health services, development of education and disaster relief operations. Its main office is located at 6/F Federation Center Bldg. Muelle de Binondo St., San Nicolas, Manila. The Foundation has 2 regular staff, 4 seconded staff from FFCCCII and 48 members of the Board of Trustees.
�
The Foundation is both a grant-making and an operating organization.
�
����������� It was first certified for 1 year on December 21, 2011 and which ended on December 7, 2012. First Renewal was for 3 years on December 26, 2012 and which ended on December 7, 2015.
��
����������� Its purposes, among others, are �to focus on economic prosperity of the nation and alleviate poverty; to devote time, talent and resources to projects that will contribute to the country�s economic and cultural development; and to conduct and maintain educational, charitable and social welfare projects�.�� �The Foundation�s programs are focused on the following: (1) Operation: Barrio Schools; (2) �Libreng Gamutan� Medical Mission; and (3) Relief Operations. Geographical scope of areas: nationwide. ��
�
Its sources of income include donations and contributions from members, corporations and individuals.�","FFCCCII Foundation, Inc. ",www.ffcccii.com.ph 
"2/F & 3/F New Form Realty Bldg., 1924 Taft Ave., Pasay City",Charitable,"Company Description:
Food for Hungry Minds School, Inc. (FHMS) was registered with the SEC as a non-stock, non-profit corporation on April 13, 2004. It�s a school providing scholarship to those residing in Pandacan and Paco, Manila and Malolos, Bulacan. Its main office is located at the Union Church of Manila, Rada cor. Legaspi Sts. Legaspi Village, Makati City. The foundation has 15 regular staff, 65 volunteers, and 9 members of the Board of Trustees.
It was first certified for one year on December 6, 2007 which ended on December 5, 2008, renewed certification and was given three (3) years on March 2, 2010 which ended on November 25, 2012.
Its purposes (V-M-G), among others, are �to provide high performance education initiatives to disadvantaged children inspiring and empowering them to succeed in life�. The Foundation operates an elementary school in Makati and Malolos, Bulacan. The Foundation also provides scholarship grants to High School and College students enrolled in different schools.
�","Food for Hungry Minds School, Inc. ",www.foodforhungryminds.org 
"2/F Bonifacio Technology Center, 31st St. cor. 2nd Ave., BGC, Taguig City",Charitable,"Company Description:
The Fort Bonifacio Development Foundation was registered with the Securities and Exchange Commission as a non-stock corporation on June 11, 1996. However, it did not implement programs since 2003 and was reactivated only in June 2010. It launched the Believes, Grows, and Cares (BGC) Program for the Bonifacio Global City to help other communities in Taguig City. Its office is located at 2/f Bonifacio Technology Center, 31st Street corner 2nd Avenue, Bonifacio Global City, Taguig, Metro Manila. The Foundation has two regular staff. Currently, it has four (4) members of the Board of Trustees of the five that it should have as per Articles of Incorporation).They are still looking for one more, it�s part of the recommendations Its vision is for residents and businesses in Bonifacio Global City to reach out to other communities. Its mission is to promote social responsibility among residents and businesses in Bonifacio Global City, working with the Local Government of Taguig, and promote growth of the rest of the city.� The Foundation�s programs include providing education and trainings, health and nutrition, physical infrastructure, enterprise development, and employment. Its operation covers all the barangays of Taguig. It has partnered with the local government of Taguig on three main program areas: education, health, and employment.�","Fort Bonifacio Development Foundation, Inc. ", 
"3/F, Commerce & Industry Plaza, 1030 Campus cor. Park Aves., McKinely Town ",Charitable,"Company Description:
The Foundation for Crime Prevention, Inc. was registered with the Securities and Exchange Commission (SEC) as a non-stock, non-profit corporation on July 9, 1996. It is supported by a network of business organizations and individual businessmen in the Philippines bound by a common desire to promote peace and order by undertaking crime prevention initiatives through Hotline 117 and Streetwatch which were adopted by DILG as Patrol 117. It is an operating organization. Its main office is located at the Philippine Chamber of Commerce and Industry, 3rd Floor, Commerce & Industry Plaza 1030 Campus Ave., cor. Park Ave., McKinley Town Center, Fort Bonifacio, Taguig City.� The foundation has 2 regular staff, 3 part-time staff, 30 volunteers and 14 members of the Board of Trustees.
�
����������� It was first certified for 3 years on October 1, 2003 and which ended on September 30, 2006. First Renewal was for 3 years on September 15, 2008 and which ended on September 14, 2011. Second Renewal was for 3 years on May 7, 2012 and which ended on April 16, 2015.
�
����������� Its purposes, among others, are �to be a partner in crime prevention engaging communities in preserving peace and order as a means to achieve development and progress; to promote and help preserve peace and order by undertaking crime prevention initiatives in the communities they serve; engage and encourage citizens� active and proactive response to crime prevention; and advocate crime prevention and supports the advocacy program of Hotline 117.
The Foundation�s programs focused on the following areas:� 1) Patrol 117 Call Center; 2) Crime Prevention Information and Awareness Campaign; 3) Streetwatch Program; and 4) Institute for Crime Prevention and Emergency Dispatch.
�
�","Foundation for Crime Prevention, Inc. ", 
"3/F Orcel II Bldg., 1611 Quezon Ave., Brgy. West Triangle, Quezon City","Charitable,Non-formal Education","Company Description:
The Foundation for Information Technology Education and Development Inc. was registered with the SEC as a non-stock, non-profit corporation on November 14, 1997 by a group of incorporators who were interested in helping people and communities harness technology for learning. It is an operating organization. Its main office is located at 3F Orcel II Building, 1611 Quezon Avenue, Brgy. West Trianage, Quezon City. The foundation has a regular staff of 7, project-based of 2, and 5 members of the Board of Trustees.
This is the Foundation�s second renewal for PCNC Certification. It was granted a five (5) year certification on April 3, 2004 which ended on April 2, 2009. On its first renewal, it was granted another 5 year certification on November 3, 2009 which ended on November 2, 214.
Its purposes, among others, are �to help people and communities to harness information and communication technologies (ICT) for learning, to develop, test and replicate appropriate, effective and sustainable models and methodologies of ICT use for improving educational outcomes, broadening access to education, and fostering cultural understanding�. The organization is committed in developing, testing, and replicating appropriate, effective, and sustainable models and methodologies of ICT use for improving educational outcomes, broadening access to education, and fostering cultural understanding. The Foundation has three focus areas : Research , Policy and Advocacy program.
�","Foundation for Information Technology Education and Development, Inc. ",www.fit-ed.org 
"3rd Floor, PCCI Corporate Centre, 118 L.P. Leviste St., Salcedo Village, Makati City","Charitable,Social Development","Company Description:
The Foundation for Liberty and Prosperity (FLP) was registered with the SEC as a non-stock, non-profit corporation on October 27, 2011. It was established to perpetuate the core judicial philosophy of retired Chief Justice Artemio V. Panganiban_that � jurists and lawyers should not only safeguard the liberty of our people but must also nurture their prosperity under the rule of law.� Its office is located at 3/F PCCI Corporate Center 118 L.P. Leviste Street, Salcedo Village, Makati City. The foundation has 2 full-time staff, 1 outsourced bookkeeper, and 9 members of the Board of Trustees.
�
Its purposes (V-M-G), among others are: To educate the people regarding the fundamental and essential interrelation between liberty and prosperity by organizing, maintaining and supporting projects aimed at promoting, educating, training, developing, assisting and protecting liberty and prosperity under the rule of law.
�
The foundation�s programs/projects focus the following areas in order to promote liberty and prosperity for the Filipino people:� Professorial Chair Program; Scholarship and; Advocacy.
�
The Foundation was certified for one year on August 20, 2015 that lapsed on June 15, 2016.
�
In 2015 and the first three quarters of 2016 were devoted to the acquisition of one floor (709.3512 square meters), located at the 3rd Floor, PCCI�Corporate Centre, 118 L.P. Leviste Street, Salcedo Village, Makati.� Majority of the office spaces in the floor is rented out as a sustainability mechanism of the Foundation.� Programs were only re-started in the last quarter of 2016.
�
Its sources of income include donations from institutions such as Metrobank Foundation, Metro Pacific Investments Corporation, Tan Yan Kee Foundation, Ayala Foundation and various individuals. Other sources of revenues are from rentals and interest income. �","Foundation for Liberty and Prosperity, Inc. ",http://libpros.com 
