address,city,contact_number,country,description,email,name,website
"Jl. Kol Atmo. No. 52/1114
Palembang 30125 - SUMATERA SELATAN",,0711-356986,Indonesia,"['Jl. Kol Atmo. No. 52/1114', 'Palembang 30125 - SUMATERA SELATAN', 'Ph. 0711-356986,360042; 0812780589 Fax. 0711-317983', 'Email: Pansos@palembang.wasantara.net.id']",Pansos@palembang.wasantara.net.id,Yayasan Sosial Pansos  Bodronoyo(YS Pansos Bodronoyo),
"Jl. Ciremai 1041 RT 01
Lubuk Linggau 31625 - SUMATERA SELATAN",,0733-22502,Indonesia,"['Jl. Ciremai 1041 RT 01', 'Lubuk Linggau 31625 - SUMATERA SELATAN', 'Ph. 0733-22502 ']",,Yayasan Suluh Masyarakat,
"Desa S. Trikoyo
Kecamatan Tugumulyo
Lubuk Linggau - SUMATERA SELATAN",,0733-71256,Indonesia,"['Desa S. Trikoyo\nKecamatan Tugumulyo', 'Lubuk Linggau - SUMATERA SELATAN', 'Ph. 0733-71256 ']",,Yayasan Walisongo(Yasin),
"Jl. Bakti Husada No 66 Rt 10 Rw 03 Lingkar Barat
Kecamatan Gading Cempaka
Bengkulu 38225 KOTA BENGKULU - BENGKULU",,081367401020,Indonesia,"['Jl. Bakti Husada No 66 Rt 10 Rw 03 Lingkar Barat\nKecamatan Gading Cempaka', 'Bengkulu 38225 KOTA BENGKULU - BENGKULU', 'Ph. 081367401020 (Erwin Basrin) ', 'Email: akar.bengkulu@gmail.com', 'Web: www.akar.or.id']",akar.bengkulu@gmail.com,Akar foundation(Akar),www.akar.or.id
"Jalan Kenanga No.28 A Kelurahan Kebun Kenanga
Bengkulu 38223 - BENGKULU",,0736- 23728,Indonesia,"['Jalan Kenanga No.28 A Kelurahan Kebun Kenanga', 'Bengkulu 38223 - BENGKULU', 'Ph. 0736- 23728; 0813 6740 1020 ', 'Email: ama_bkl@telkom.net']",ama_bkl@telkom.net,Aliansi Masyarakat Adat Bengkulu(AMA Bengkulu),
"Jl. Indragiri I no.3
Padang Harapan
Bengkulu 38225 - BENGKULU",,0736-348186,Indonesia,"['Jl. Indragiri I no.3\nPadang Harapan', 'Bengkulu 38225 - BENGKULU', 'Ph. 0736-348186, 08127836335 Fax. 0736-348186', 'Email: cahaya.pr@bengkulu.wasantara.net.id', 'Web: www.cahayaperempuan.org']",cahaya.pr@bengkulu.wasantara.net.id,Cayaha Perempuan WCC Bengkulu(WCC Bengkulu),www.cahayaperempuan.org
"Jl. Kapuas No. 15 Padang Harapan
Bengkulu 38225 - BENGKULU",,0736-25260,Indonesia,"['Jl. Kapuas No. 15 Padang Harapan', 'Bengkulu 38225 - BENGKULU', 'Ph. 0736-25260, 0816393724 Fax. 0736-25260', 'Email: ccrbkl@yahoo.com']",ccrbkl@yahoo.com,Centra Citra Remaja Raflesia(CCRR),
"Jl. Cendrawasi Rt 02/no.6
Pasar Melintang
Bengkulu 38115 - BENGKULU",,0736-23268,Indonesia,"['Jl. Cendrawasi Rt 02/no.6\nPasar Melintang', 'Bengkulu 38115 - BENGKULU', 'Ph. 0736-23268 Fax. 0736-32368']",,Demokrasi Rakyat untuk Perubahan(Derap),
"Jl.Jend. Sudirman no.75
Kel. Air Putih
Curup - BENGKULU",,,Indonesia,"['Jl.Jend. Sudirman no.75\nKel. Air Putih', 'Curup - BENGKULU']",,Kantor Bantuan Hukum Bengkulu Cab. Curup(KBHB-Curup),
"Mushola Fatwa
Jl. Merpati I Rt 01 no.28
Rawa Makmur
Bengkulu 38121 - BENGKULU",,0816390724,Indonesia,"['Mushola Fatwa\nJl. Merpati I Rt 01 no.28\nRawa Makmur', 'Bengkulu 38121 - BENGKULU', 'Ph. 0816390724 ']",,Kelompok Pengajian Fatwa Ulama(KPFU),
"Jl. Unib Permai III Blok I No. 41
Pematang Gubernur
Bengkulu - BENGKULU",,0736 - 28591,Indonesia,"['Jl. Unib Permai III Blok I No. 41\nPematang Gubernur', 'Bengkulu - BENGKULU', 'Ph. 0736 - 28591 ']",,Masif(MASIF),
"Jl. Kapuas Raya No.15
Padang Harapan
Bengkulu 3800 - BENGKULU",,0736-25260,Indonesia,"['Jl. Kapuas Raya No.15\nPadang Harapan', 'Bengkulu 3800 - BENGKULU', 'Ph. 0736-25260; 08127809272 Fax. 0736-25260', 'Email: pkbi.bengkulu@gmail.com']",pkbi.bengkulu@gmail.com,Perkumpulan Keluarga Berencana Indonesia-Bengkulu(PKBI-Bengkulu),
"Jl. Affan Bakhsin no.75
Manna - BENGKULU",,0739-21147,Indonesia,"['Jl. Affan Bakhsin no.75', 'Manna - BENGKULU', 'Ph. 0739-21147, 081229360193 Fax. 0736-21928', 'Email: pkbibkl@bengkulu.wasantara.net.id']",pkbibkl@bengkulu.wasantara.net.id,PKBI- Bengkulu Selatan(PKBI),
"Jl. Kesehatan I No.06 RT 02 Anggut Bawah
Bengkulu 38223 - BENGKULU",,0736-23344,Indonesia,"['Jl. Kesehatan I No.06 RT 02 Anggut Bawah', 'Bengkulu 38223 - BENGKULU', 'Ph. 0736-23344; 081373845705 ', 'Email: susihandayani.arba@gmail.com']",susihandayani.arba@gmail.com,Pusat Pendidikan dan Pemberdayaan untuk Perempuan dan Anak(PUPA),
"D/a KBHB Cab. Curup
Jl. Nusirwan Gg. Bambu no.51C
Curup - BENGKULU",,0732-23936,Indonesia,"['D/a KBHB Cab. Curup\nJl. Nusirwan Gg. Bambu no.51C', 'Curup - BENGKULU', 'Ph. 0732-23936 ']",,Serikat Tani Bengkulu(STAB),
"Jl.Musium V No 5 Rt.IX Kelurahan Tanah Patah Kecamatan Ratu Agung
Bengkulu 38224 - BENGKULU",,0736-341859,Indonesia,"['Jl.Musium V No 5 Rt.IX Kelurahan Tanah Patah Kecamatan Ratu Agung', 'Bengkulu 38224 - BENGKULU', 'Ph. 0736-341859; 085609845011 (Mirna) Fax. 0736-341859', 'Email: walhibengkulu@yahoo.com', 'Web: www.walhibengkulu.org']",walhibengkulu@yahoo.com,Walhi Bengkulu(Walhi Bengkulu),www.walhibengkulu.org
"Jl. Durian no.118
Lingkar Timur
Bengkulu 3812 - BENGKULU",,0736-26393,Indonesia,"['Jl. Durian no.118\nLingkar Timur', 'Bengkulu 3812 - BENGKULU', 'Ph. 0736-26393 Fax. 0736-26393', 'Email: yasva@bengkulu.wasantara.net.id']",yasva@bengkulu.wasantara.net.id,Yayasan Advokasi Perempuan dan Anak (Yasva),
"Jl. Cendrawasih No. 23 B. RT/RW. 05/02 Kelurahan Kebun Grand
Bengkulu 38222 - BENGKULU",,0736-344239,Indonesia,"['Jl. Cendrawasih No. 23 B. RT/RW. 05/02 Kelurahan Kebun Grand', 'Bengkulu 38222 - BENGKULU', 'Ph. 0736-344239/347150/21001; 0812 ', 'Email: buana_rafflesia@telkom.net; thomy_bkl@telkom.net']",buana_rafflesia@telkom.net; thomy_bkl@telkom.net,Yayasan Buana Raflesia(BeRr),
"Desa Kembang Seri, Kec. Talang Empat
Bengkulu Utara 38385 - BENGKULU",,0736-343603,Indonesia,"['Desa Kembang Seri, Kec. Talang Empat', 'Bengkulu Utara 38385 - BENGKULU', 'Ph. 0736-343603 ']",,Yayasan Bunga Bhakti Bengkulu(YBBB),
"Jl. Ir. Soekarno no.12 
Dusun I, Rt 1 Argomakmur
Bengkulu 38614 - BENGKULU",,0737-521231,Indonesia,"['Jl. Ir. Soekarno no.12 \nDusun I, Rt 1 Argomakmur', 'Bengkulu 38614 - BENGKULU', 'Ph. 0737-521231 Fax. 0737-521500']",,Yayasan Duta Bhakti Makmur(DBM),
"Jl. Kinibalu No. 43.RT.09.RW 03 Kebun Tebeng 
Kecamatan Ratu Agung
Kota Bengkulu - BENGKULU",,081377567007,Indonesia,"['Jl. Kinibalu No. 43.RT.09.RW 03 Kebun Tebeng \nKecamatan Ratu Agung', 'Kota Bengkulu - BENGKULU', 'Ph. 081377567007 (Barlian) ', 'Email: genesis711@yahoo.co.id; supin.bklu@gmail.com']",genesis711@yahoo.co.id; supin.bklu@gmail.com,Yayasan Genesis(Genesis),
"Jl S. Parman VI Rt 07/no.2
Padang Jati
Bengkulu - BENGKULU",,0736-344505,Indonesia,"['Jl S. Parman VI Rt 07/no.2\nPadang Jati', 'Bengkulu - BENGKULU', 'Ph. 0736-344505 Fax. 0736-38227']",,Yayasan Ibu dan Anak Sejahtera(Yidas),
"Jl. Jati no.72 Rt 09
Sawah Luar
Bengkulu - BENGKULU",,0736-344241,Indonesia,"['Jl. Jati no.72 Rt 09\nSawah Luar', 'Bengkulu - BENGKULU', 'Ph. 0736-344241 ']",,Yayasan Kalam(Kalam),
"Jl.Timur Indah Ujung Rt 09/04 No.9
Kec. Singaran Pati
Bengkulu - BENGKULU",,081278068188,Indonesia,"['Jl.Timur Indah Ujung Rt 09/04 No.9\nKec. Singaran Pati', 'Bengkulu - BENGKULU', 'Ph. 081278068188 ', 'Email: iwan_kanopi@yahoo.com']",iwan_kanopi@yahoo.com,Yayasan Kanopi Bengkulu(Kanopi),
Bengkulu 38229 - BENGKULU,,0736- 22770,Indonesia,"['Bengkulu 38229 - BENGKULU', 'Ph. 0736- 22770;0813 6766 0167 ', 'Email: karti_bkl@telkom.net']",karti_bkl@telkom.net,Yayasan Karunia Tumbuhan Indonesia(KarTI),
"Jl. Merpati Rt 01 no.29 Rawa Makmur
Bengkulu - BENGKULU",,0736-466477,Indonesia,"['Jl. Merpati Rt 01 no.29 Rawa Makmur', 'Bengkulu - BENGKULU', 'Ph. 0736-466477 ']",,"Yayasan Karya Enggano(Ahmad Tanjung, BSc.)",
"Jln.  Sungai Rupat 9 No. 60 Rt. 41 Rw.08 Kel. Pagar Dewa Kec. Selebar Kota Bengkulu 38211.
Bengkulu 38211 - BENGKULU",,0736-24815,Indonesia,"['Jln.  Sungai Rupat 9 No. 60 Rt. 41 Rw.08 Kel. Pagar Dewa Kec. Selebar Kota Bengkulu 38211.', 'Bengkulu 38211 - BENGKULU', 'Ph. 0736-24815 ', 'Email: sekretariat@kelopakbengkulu.net, kelopakbengkulu@gmail.com', 'Web: www.kelopakbengkulu.net']","sekretariat@kelopakbengkulu.net, kelopakbengkulu@gmail.com",Yayasan Kelopak Bengkulu(Kelopak Bengkulu),www.kelopakbengkulu.net
"Jl. Sentot Ali Basyah No.22
Rt 03/RW 01 Kelurahan Bajak
Bengkulu 38118 - BENGKULU",,0736- 345758,Indonesia,"['Jl. Sentot Ali Basyah No.22\nRt 03/RW 01 Kelurahan Bajak', 'Bengkulu 38118 - BENGKULU', 'Ph. 0736- 345758; 082175668588 Fax. 0736- 345758']",,Yayasan Konservasi Sumatra(YKS),
"Jl. Sumatra 1 no 16 RT 1 RW 3 Kelurahan Sukamerindu Kecamatan Sungai Serut
Bengkulu - BENGKULU",,081266301072,Indonesia,"['Jl. Sumatra 1 no 16 RT 1 RW 3 Kelurahan Sukamerindu Kecamatan Sungai Serut', 'Bengkulu - BENGKULU', 'Ph. 081266301072 ']",,Yayasan Layak Bengkulu(Layak Bengkulu),
"Sepakat I Rt 26 Sawah Lebar
Bengkulu 38228 - BENGKULU",,0736-23389,Indonesia,"['Sepakat I Rt 26 Sawah Lebar', 'Bengkulu 38228 - BENGKULU', 'Ph. 0736-23389 ']",,Yayasan Melati,
"Jl. Hibrida 15 No. 25 Rt 14 Rw 04 Kelurahan Sidomulyo Kec. Gading Cempaka
Bengkulu 38229 - BENGKULU",,0736-344963,Indonesia,"['Jl. Hibrida 15 No. 25 Rt 14 Rw 04 Kelurahan Sidomulyo Kec. Gading Cempaka', 'Bengkulu 38229 - BENGKULU', 'Ph. 0736-344963 Fax. 0736-347150', 'Email: mitradesa@telkom.net']",mitradesa@telkom.net,Yayasan Mitra Desa(YMD),
"Jl. Bhakti Husada no.11 Pagar Dewa
Bengkulu 38211 - BENGKULU",,0736-52769,Indonesia,"['Jl. Bhakti Husada no.11 Pagar Dewa', 'Bengkulu 38211 - BENGKULU', 'Ph. 0736-52769 Fax. 0736-51458', 'Email: sasmita@bengkulu.wasantara.net.id']",sasmita@bengkulu.wasantara.net.id,Yayasan Sasmita(Sasmita),
"Jl. Iskandar Ong no.93
Curup 39111 - BENGKULU",,0732-22191,Indonesia,"['Jl. Iskandar Ong no.93', 'Curup 39111 - BENGKULU', 'Ph. 0732-22191 ']",,Yayasan Telur Matahari(YTM),
"Jl. Kenanga No.8A RT.10/03 Kel. Nusa Indah Kec. Ratu Agung
Bengkulu 38224 - BENGKULU",,0736-321984,Indonesia,"['Jl. Kenanga No.8A RT.10/03 Kel. Nusa Indah Kec. Ratu Agung', 'Bengkulu 38224 - BENGKULU', 'Ph. 0736-321984 ', 'Email: ulayat@ulayat.or.id', 'Web: www.ulayat.or.id']",ulayat@ulayat.or.id,Yayasan Ulayat Bengkulu(Ulayat),www.ulayat.or.id
"Jl. Sabri Said I no.1
Labuhan Ratu. Kedaton
Bandar Lampung 35142 - LAMPUNG",,0721-700440,Indonesia,"['Jl. Sabri Said I no.1\nLabuhan Ratu. Kedaton', 'Bandar Lampung 35142 - LAMPUNG', 'Ph. 0721-700440 Fax. 0721-700440', 'Email: alas-hutan@plasa.com']",alas-hutan@plasa.com,Alam Lingkungan Antisipasi dan Solusi (ALAS),
"Jl. BPPM Madinah
Desa Sri Bhawono
Lampung Tengah 34199 - LAMPUNG",,,Indonesia,"['Jl. BPPM Madinah\nDesa Sri Bhawono', 'Lampung Tengah 34199 - LAMPUNG']",,Balai Pengkajian dan Pengembangan Masyarakat(BPPM),
"Jl. A. Yani 941
Kota Gajah
Lampung Tengah 34153 - LAMPUNG",,0725-7020135,Indonesia,"['Jl. A. Yani 941\nKota Gajah', 'Lampung Tengah 34153 - LAMPUNG', 'Ph. 0725-7020135 Fax. 0725-48317', 'Email: bs_koga@telkom.net']",bs_koga@telkom.net,Bina Swadaya Guswil Lampung(BSGuswil Lampung),
"Jl. Rajabasa 2 Blok D No.21 Perumnas Way Halim Kecamatan Way Halim
Bandar Lampung - LAMPUNG",,081272115872,Indonesia,"['Jl. Rajabasa 2 Blok D No.21 Perumnas Way Halim Kecamatan Way Halim', 'Bandar Lampung - LAMPUNG', 'Ph. 081272115872 : 085279090622 (Murti Rahayu) ', 'Email: ccc_lampung@yahoo.com']",ccc_lampung@yahoo.com,Children Crisis Center(CCC),
"Jl. Letnan Adnan Sanjaya ,Lintas  Timur Dusun 2 Mataram Marga
kecamatan Sukadana
Sukadana LAMPUNG TIMUR - LAMPUNG",,085279621637,Indonesia,"['Jl. Letnan Adnan Sanjaya ,Lintas  Timur Dusun 2 Mataram Marga\nkecamatan Sukadana', 'Sukadana LAMPUNG TIMUR - LAMPUNG', 'Ph. 085279621637 ', 'Email: gentalamtim@yahoo.co.id']",gentalamtim@yahoo.co.id,Gerakan Cinta Lampung Timur(Genta Lamtim),
"Jl. Kyai Hanafiah Lintas Timur No.76
Desa Mataram Marga Kecamatan Sukadana
Sukadana - LAMPUNG",,085279621637,Indonesia,"['Jl. Kyai Hanafiah Lintas Timur No.76\nDesa Mataram Marga Kecamatan Sukadana', 'Sukadana - LAMPUNG', 'Ph. 085279621637 ']",,Gerakan Pemuda Cinta Lamtim(Gempa),
"Jl. RA Kartini Gg Idrus No.27
Kelurahan Palapa Kec. tanjung Karang Pusat
Bandar Lampung 35116 - LAMPUNG",,0721- 3669625,Indonesia,"['Jl. RA Kartini Gg Idrus No.27\nKelurahan Palapa Kec. tanjung Karang Pusat', 'Bandar Lampung 35116 - LAMPUNG', 'Ph. 0721- 3669625 Fax. 0721-  773013', 'Email: kbh-lpg@indo.net.id', 'Web: www.kbh-lampung.blogspot.com']",kbh-lpg@indo.net.id,Kantor Bantuan Hukum Lampung(KBH Lampung),www.kbh-lampung.blogspot.com
"Jl. MH Thamrin No. 37 Gotong Royong
Bandar Lampung 35119 - LAMPUNG",,0721-254570,Indonesia,"['Jl. MH Thamrin No. 37 Gotong Royong', 'Bandar Lampung 35119 - LAMPUNG', 'Ph. 0721-254570 Fax. 0721-254570', 'Email: koaklampung@telkom.net']",koaklampung@telkom.net,Komite Anti Korupsi(KOAK),
"Jl.Dahlia No.8 15 Polos Metro Pusat
Lampung - LAMPUNG",,,Indonesia,"['Jl.Dahlia No.8 15 Polos Metro Pusat', 'Lampung - LAMPUNG']",,Koperasi Sejahtera Mandiri(Sejahtera Mandiri),
"Jl. MH. Thamrin No.14, Gotong Royong
Bandar Lampung 35119 KOTA BANDAR LAMPUNG - LAMPUNG",,0721-264550,Indonesia,"['Jl. MH. Thamrin No.14, Gotong Royong', 'Bandar Lampung 35119 KOTA BANDAR LAMPUNG - LAMPUNG', 'Ph. 0721-264550 ;08-129436011 (Sely) Fax. 0721- 259307', 'Email: sely_damarperempuan@yahoo.com; damar_perempuan@yahoo.com']",sely_damarperempuan@yahoo.com; damar_perempuan@yahoo.com,Lembaga Advokasi Perempuan Damar(Perempuan Damar),
"Jl. Tulangbawang 18
Bandar Lampung 35118 - LAMPUNG",,0721-251767,Indonesia,"['Jl. Tulangbawang 18', 'Bandar Lampung 35118 - LAMPUNG', 'Ph. 0721-251767 Fax. 0721-251767']",,Lembaga Dana Atmaja(LDA),
"Gedung PC NU Lampung Tengah : Jl. Proklamator Raya (Jalan Lintas Sumatera) No. 134 Seputih Jaya, Gunung Sugih, Lampung Tengah, Lampung. 
HP: 0813 6924 2460 (Purwanto/Ketua)
HP: 0852 6924 6924 (Saifur Rijal/Sekretaris)
HP: 0815 7855 1832 (Akhmad Syarief Kurniawan/Bendahara)
Lampung Tengah - LAMPUNG",,0813 6924 2460,Indonesia,"['Gedung PC NU Lampung Tengah : Jl. Proklamator Raya (Jalan Lintas Sumatera) No. 134 Seputih Jaya, Gunung Sugih, Lampung Tengah, Lampung. \nHP: 0813 6924 2460 (Purwanto/Ketua)\nHP: 0852 6924 6924 (Saifur Rijal/Sekretaris)\nHP: 0815 7855 1832 (Akhmad Syarief Kurniawan/Bendahara)', 'Lampung Tengah - LAMPUNG', 'Ph. 0813 6924 2460 (Purwanto/Ketua); 0852 6924 6924 (Saifur Rijal/Sekretaris); 0815 7855 1832 (Akhmad Syarief Kurniawan/Bendahara) ']",,Lembaga Kajian dan Pengembangan Sumber Daya Manusia Nahdlatul Ulama Lampung Tengah(Lapeksdam NU Lampung),
"Jl. Teuku Umar no.58/64
Penengahan
Bandar Lampung - LAMPUNG",,0721-705068,Indonesia,"['Jl. Teuku Umar no.58/64\nPenengahan', 'Bandar Lampung - LAMPUNG', 'Ph. 0721-705068 Fax. 0721-705068']",,Lembaga Konsultasi & Pembelaan Hak Tenaga Kerja Lampung(LKPTK),
"Universitas Muhamadiyah Metro
Jl. KH Dewantara 116
Metro 34100 - LAMPUNG",,0725-42445,Indonesia,"['Universitas Muhamadiyah Metro\nJl. KH Dewantara 116', 'Metro 34100 - LAMPUNG', 'Ph. 0725-42445 Fax. 0725-42445']",,Lembaga Penelitian Universitas Muhamadiyah Metro(LPUMM),
"Jl. Kurungan Nyawa no. 40
Bandar Lampung - LAMPUNG",,0721-704284,Indonesia,"['Jl. Kurungan Nyawa no. 40', 'Bandar Lampung - LAMPUNG', 'Ph. 0721-704284 ']",,Lembaga Pengembangan Sosial Ekonomi Rakyat(LEPSER),
"Jl. Jati III no.112
Lingk. IV Kel. Tanjung Raya
Kec. Tanjung Karang Timur
Bandar Lampung 35128 - LAMPUNG",,0721-260564,Indonesia,"['Jl. Jati III no.112\nLingk. IV Kel. Tanjung Raya\nKec. Tanjung Karang Timur', 'Bandar Lampung 35128 - LAMPUNG', 'Ph. 0721-260564; 08154022265 ']",,Lentera Resistance(Lentera),
"Jl. Veteran no.28/130
Kalianda, Lampung Selatan - LAMPUNG",,,Indonesia,"['Jl. Veteran no.28/130', 'Kalianda, Lampung Selatan - LAMPUNG']",,LP2NU Kalianda,
"Jl. Tegineneng Raya no. 65
Bandar Lampung - LAMPUNG",,0725-26099,Indonesia,"['Jl. Tegineneng Raya no. 65', 'Bandar Lampung - LAMPUNG', 'Ph. 0725-26099 ']",,LPMD,
"Jl. Melati II/95A Pringsewu
Tanggamus - LAMPUNG",,0729-21295,Indonesia,"['Jl. Melati II/95A Pringsewu', 'Tanggamus - LAMPUNG', 'Ph. 0729-21295 ']",,LPSM Yasadhana ,
"Jl. A. Yani no 155
Metro - LAMPUNG",,0725-46901,Indonesia,"['Jl. A. Yani no 155', 'Metro - LAMPUNG', 'Ph. 0725-46901 ']",,LSPM SAKAI SAMBAYAN,
"Jl. Jati No.29 Tanjung Raya
Bandar Lampung 35128 KOTA BANDAR LAMPUNG - LAMPUNG",,0821-77912931,Indonesia,"['Jl. Jati No.29 Tanjung Raya', 'Bandar Lampung 35128 KOTA BANDAR LAMPUNG - LAMPUNG', 'Ph. 0821-77912931 ']",,Peduli Pendidikan dan Pembangunan(P3),
"Jl. Abdi Negara no.1
Gula Galik,
Bandar Lampung 35214 - LAMPUNG",,0721-487483,Indonesia,"['Jl. Abdi Negara no.1\nGula Galik,', 'Bandar Lampung 35214 - LAMPUNG', 'Ph. 0721-487483, 988395, 081179172 Fax. 0721-487483']",,Perkumpulan Keluarga Berencana Indonesia  Lampung(PKBI Lampung),
"Jl. Teuku Umar No. 58/64, Penengahan
Bandar Lampung 35112 - LAMPUNG",,0721-705068,Indonesia,"['Jl. Teuku Umar No. 58/64, Penengahan', 'Bandar Lampung 35112 - LAMPUNG', 'Ph. 0721-705068 Fax. 0721-705068', 'Email: watala@indo.net.id']",watala@indo.net.id,Perkumpulan Watala(Watala),
"Komplek Islamic Center
Jl. Sukarno - Hatta Rajabasa
Bandar Lampung - LAMPUNG",,0721-781231,Indonesia,"['Komplek Islamic Center\nJl. Sukarno - Hatta Rajabasa', 'Bandar Lampung - LAMPUNG', 'Ph. 0721-781231 ']",,Pusat Inkubasi Bisnis Usaha Kecil Indonesia(PINBUK),
"Jl. Jl. Lembayung no. 59
Metro - LAMPUNG",,0725-42113,Indonesia,"['Jl. Jl. Lembayung no. 59', 'Metro - LAMPUNG', 'Ph. 0725-42113 ']",,Pusat Pengembangan Sosial Ekonomi(PPSE),
"Jl. Hasanuddin 4
Metro 34111 - LAMPUNG",,0725-42117,Indonesia,"['Jl. Hasanuddin 4', 'Metro 34111 - LAMPUNG', 'Ph. 0725-42117 Fax. 0725-42117', 'Email: jokomursitho@yahoo.com']",jokomursitho@yahoo.com,Social Community Action Network(SCAN),
"Jl. Tengku Umar Gg. Kelelawar No. 53 (samping pasar koga)
Bandar Lampung KOTA BANDAR LAMPUNG - LAMPUNG",,,Indonesia,"['Jl. Tengku Umar Gg. Kelelawar No. 53 (samping pasar koga)', 'Bandar Lampung KOTA BANDAR LAMPUNG - LAMPUNG', 'Email: sp-lampung@solidaritasperempuan.org']",sp-lampung@solidaritasperempuan.org,Solidaritas Perempuan Sebay Lampung(SP Sebay Lampung),
"Teuku Umar Jl. Tupai/ Bhakti Gg. Kancil No. 34 Sidodadi, Kedaton
Bandar Lampung 35147 KOTA BANDAR LAMPUNG - LAMPUNG",,0721-706552,Indonesia,"['Teuku Umar Jl. Tupai/ Bhakti Gg. Kancil No. 34 Sidodadi, Kedaton', 'Bandar Lampung 35147 KOTA BANDAR LAMPUNG - LAMPUNG', 'Ph. 0721-706552; 081274356804 Fax. 0721-706552', 'Email: lampung@walhi.or.id / walhilampung@yahoo,com']","lampung@walhi.or.id / walhilampung@yahoo,com",Wahana Lingkungan Hidup Indonesia Daerah Lampung(Walhi Lampung),
"Jl. Jend. Ryancudu Gg. erintis 3 No.24
Kel. Way Dadi
bandar Lampubg 35134 - LAMPUNG",,0721-482513,Indonesia,"['Jl. Jend. Ryancudu Gg. erintis 3 No.24\nKel. Way Dadi', 'bandar Lampubg 35134 - LAMPUNG', 'Ph. 0721-482513 Fax. 0721-472445', 'Email: wnc.lampung@yahoo.com']",wnc.lampung@yahoo.com,Wanacala(Wanacala),
"Perum Tj. Raya Permai Blok F/3
Tanjung Seneng
Bandar Lampung . - LAMPUNG",,0721-700116,Indonesia,"['Perum Tj. Raya Permai Blok F/3\nTanjung Seneng', 'Bandar Lampung . - LAMPUNG', 'Ph. 0721-700116 ']",,Yasagoma,
"Jl. Yos Sudarso 15 Polos
Metro 34111 KOTA METRO - LAMPUNG",,0725-42872,Indonesia,"['Jl. Yos Sudarso 15 Polos', 'Metro 34111 KOTA METRO - LAMPUNG', 'Ph. 0725-42872 ', 'Email: yabima@yabima.org', 'Web: www.yabima.org']",yabima@yabima.org,Yayasan Bimbingan Mandiri(Yabima),www.yabima.org
"Jl. A. Yani no.11
Metro 34111 - LAMPUNG",,0725-46117,Indonesia,"['Jl. A. Yani no.11', 'Metro 34111 - LAMPUNG', 'Ph. 0725-46117; 47259 Fax. 0725-49995', 'Email: ylpmd@indo.net.id;samjarot@telkom.net']",ylpmd@indo.net.id;samjarot@telkom.net,Yayasan Bina Sejahtera(YBS),
"Pastoran Katolik Kotagajah
Lampung Tengah - LAMPUNG",,0725-48002,Indonesia,"['Pastoran Katolik Kotagajah', 'Lampung Tengah - LAMPUNG', 'Ph. 0725-48002 ']",,Yayasan Dian Karya Insani(YDKI),
"Jl, Kesehatan 45, Pringsewu Tanggamus
Lampung - LAMPUNG",,0729-21011,Indonesia,"['Jl, Kesehatan 45, Pringsewu Tanggamus', 'Lampung - LAMPUNG', 'Ph. 0729-21011 Fax. 0729-21335']",,Yayasan Dwi Bakti(YDB),
"Jl. Utama no. 5 Ambarawa Pringsewu
Tanggamus 35376 - LAMPUNG",,0729-7000500,Indonesia,"['Jl. Utama no. 5 Ambarawa Pringsewu', 'Tanggamus 35376 - LAMPUNG', 'Ph. 0729-7000500; 08154011912 ', 'Email: yayasanyasmida@yahoo.com']",yayasanyasmida@yahoo.com,Yayasan Islam Miftahul Huda(YASMIDA),
"Jl. Imam Bonjol Gg Marga dua no.71
Metro - LAMPUNG",,0725-44096,Indonesia,"['Jl. Imam Bonjol Gg Marga dua no.71', 'Metro - LAMPUNG', 'Ph. 0725-44096 Fax. 0725-43195']",,Yayasan Mitra Abadi Lampung,
"Jl.Imam bonjol Gang marga 2 no.6
Metro Lampung 03411 - LAMPUNG",,0725-44096,Indonesia,"['Jl.Imam bonjol Gang marga 2 no.6', 'Metro Lampung 03411 - LAMPUNG', 'Ph. 0725-44096;08154036950 ', 'Email: karwono@yahoo.com']",karwono@yahoo.com,Yayasan Mitra Abadi Lampung(YMAL),
"Jl. Sejahtera, PAL 10 Kel. Sumber Rejo -Kemiling
Bandar Lampung - LAMPUNG",,0721- 272359,Indonesia,"['Jl. Sejahtera, PAL 10 Kel. Sumber Rejo -Kemiling', 'Bandar Lampung - LAMPUNG', 'Ph. 0721- 272359 Fax. 0721- 272359', 'Email: info@mitrabentala.org', 'Web: www.mitrabentala.org']",info@mitrabentala.org,Yayasan Mitra Bentala(Yamitra),www.mitrabentala.org
"Jl. Ratu Dibalau no. 121
Tanjung Seneng Kedaton
Bandar Lampung - LAMPUNG",,0721-706477,Indonesia,"['Jl. Ratu Dibalau no. 121\nTanjung Seneng Kedaton', 'Bandar Lampung - LAMPUNG', 'Ph. 0721-706477 ']",,Yayasan Mitra Karya Pratama(YMKP),
"Jl. Agus Salim, Kompleks Indopan
Way Lnik Panjang
Bandar Lampung 35244 - LAMPUNG",,0721-341076,Indonesia,"['Jl. Agus Salim, Kompleks Indopan\nWay Lnik Panjang', 'Bandar Lampung 35244 - LAMPUNG', 'Ph. 0721-341076 ']",,Yayasan Pelestarian Pantai Nusantara(YPPN),
